G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Portland,WCC,W,81,52,,1,0,W 1
2,Fri Nov 16 2012,REG,,North Carolina-Wilmington,CAA,W,85,47,,2,0,W 2
3,Sun Nov 18 2012,REG,,Wofford,Southern,W,73,50,,3,0,W 3
4,Tue Nov 20 2012,REG,,Hampton,MEAC,W,75,67,,4,0,W 4
5,Sat Nov 24 2012,REG,,Richmond,A-10,W,73,48,,5,0,W 5
6,Wed Nov 28 2012,REG,,St. Bonaventure,A-10,W,69,64,,6,0,W 6
7,Sat Dec 1 2012,REG,@,Robert Morris,NEC,L,76,84,,6,1,L 1
8,Wed Dec 5 2012,REG,@,Memphis,CUSA,L,58,84,,6,2,L 2
9,Sat Dec 8 2012,REG,,Oakland,Summit,W,78,61,,7,2,W 1
10,Sat Dec 15 2012,REG,,Winthrop,Big South,L,49,50,,7,3,L 1
11,Wed Dec 19 2012,REG,@,Massachusetts,A-10,L,76,85,,7,4,L 2
12,Sat Dec 22 2012,REG,,Maryland-Eastern Shore,MEAC,W,93,57,,8,4,W 1
13,Sat Dec 29 2012,REG,@,Oklahoma,Big 12,L,63,74,,8,5,L 1
14,Sat Jan 5 2013,REG,,Marshall,CUSA,W,94,57,,9,5,W 1
15,Wed Jan 9 2013,REG,,Buffalo,MAC,W,86,68,,10,5,W 2
16,Sat Jan 12 2013,REG,@,Western Michigan,MAC,W,61,59,,11,5,W 3
17,Wed Jan 16 2013,REG,,Northern Illinois,MAC,W,81,63,,12,5,W 4
18,Sat Jan 19 2013,REG,,Toledo,MAC,W,76,67,,13,5,W 5
19,Wed Jan 23 2013,REG,@,Miami (OH),MAC,W,74,62,,14,5,W 6
20,Sat Jan 26 2013,REG,@,Kent State,MAC,W,69,68,,15,5,W 7
21,Sat Feb 2 2013,REG,@,Akron,MAC,L,72,86,,15,6,L 1
22,Wed Feb 6 2013,REG,@,Ball State,MAC,W,69,42,,16,6,W 1
23,Sat Feb 9 2013,REG,,Bowling Green State,MAC,W,72,63,,17,6,W 2
24,Wed Feb 13 2013,REG,@,Central Michigan,MAC,W,82,63,,18,6,W 3
25,Sat Feb 16 2013,REG,,Kent State,MAC,W,78,75,OT,19,6,W 4
26,Wed Feb 20 2013,REG,,Eastern Michigan,MAC,W,73,50,,20,6,W 5
27,Sat Feb 23 2013,REG,@,Belmont,OVC,L,62,81,,20,7,L 1
28,Wed Feb 27 2013,REG,,Akron,MAC,L,81,88,OT,20,8,L 2
29,Sat Mar 2 2013,REG,@,Bowling Green State,MAC,W,78,65,,21,8,W 1
30,Tue Mar 5 2013,REG,@,Buffalo,MAC,W,72,69,,22,8,W 2
31,Sat Mar 9 2013,REG,,Miami (OH),MAC,W,58,54,,23,8,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Western Michigan,MAC,W,74,63,,24,8,W 4
33,Sat Mar 16 2013,CTOURN,N,Akron,MAC,L,46,65,,24,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Tue Mar 19 2013,NIT,@,Denver,WAC,L,57,61,,24,10,L 2
