G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,California-Davis,Big West,W,73,65,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Akron,MAC,W,69,65,OT,2,0,W 2
3,Fri Nov 16 2012,REG,N,Tennessee,SEC,W,62,45,,3,0,W 3
4,Sun Nov 18 2012,REG,N,North Carolina State,ACC,W,76,56,,4,0,W 4
5,Sun Nov 25 2012,REG,,Portland State,Big Sky,W,81,58,,5,0,W 5
6,Sat Dec 1 2012,REG,@,Virginia Tech,ACC,L,71,81,,5,1,L 1
7,Wed Dec 5 2012,REG,,South Florida,Big East,W,61,49,,6,1,W 1
8,Sat Dec 8 2012,REG,,Missouri State,MVC,W,62,42,,7,1,W 2
9,Sun Dec 16 2012,REG,,Central Arkansas,Southland,W,91,63,,8,1,W 3
10,Wed Dec 19 2012,REG,,Texas-Arlington,WAC,W,69,44,,9,1,W 4
11,Sat Dec 22 2012,REG,,Tennessee Tech,OVC,W,78,42,,10,1,W 5
12,Mon Dec 31 2012,REG,,Gonzaga,WCC,L,68,69,,10,2,L 1
13,Sat Jan 5 2013,REG,@,Kansas State,Big 12,L,67,73,,10,3,L 2
14,Wed Jan 9 2013,REG,,Texas Christian,Big 12,W,63,45,,11,3,W 1
15,Sat Jan 12 2013,REG,@,Oklahoma,Big 12,L,68,77,,11,4,L 1
16,Sat Jan 19 2013,REG,,Texas Tech,Big 12,W,79,45,,12,4,W 1
17,Mon Jan 21 2013,REG,@,Baylor,Big 12,L,54,64,,12,5,L 1
18,Sat Jan 26 2013,REG,,West Virginia,Big 12,W,80,66,,13,5,W 1
19,Wed Jan 30 2013,REG,,Iowa State,Big 12,W,78,76,,14,5,W 2
20,Sat Feb 2 2013,REG,@,Kansas,Big 12,W,85,80,,15,5,W 3
21,Wed Feb 6 2013,REG,,Baylor,Big 12,W,69,67,OT,16,5,W 4
22,Sat Feb 9 2013,REG,@,Texas,Big 12,W,72,59,,17,5,W 5
23,Wed Feb 13 2013,REG,@,Texas Tech,Big 12,W,91,67,,18,5,W 6
24,Sat Feb 16 2013,REG,,Oklahoma,Big 12,W,84,79,OT,19,5,W 7
25,Wed Feb 20 2013,REG,,Kansas,Big 12,L,67,68,2OT,19,6,L 1
26,Sat Feb 23 2013,REG,@,West Virginia,Big 12,W,73,57,,20,6,W 1
27,Wed Feb 27 2013,REG,@,Texas Christian,Big 12,W,64,47,,21,6,W 2
28,Sat Mar 2 2013,REG,,Texas,Big 12,W,78,65,,22,6,W 3
29,Wed Mar 6 2013,REG,@,Iowa State,Big 12,L,76,87,,22,7,L 1
30,Sat Mar 9 2013,REG,,Kansas State,Big 12,W,76,70,,23,7,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Baylor,Big 12,W,74,72,,24,7,W 2
32,Fri Mar 15 2013,CTOURN,N,Kansas State,Big 12,L,57,68,,24,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Thu Mar 21 2013,NCAA,N,Oregon,Pac-12,L,55,68,,24,9,L 2
