G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Louisiana-Monroe,Sun Belt,W,85,51,,1,0,W 1
2,Fri Nov 16 2012,REG,@,Texas-Arlington,WAC,W,63,59,,2,0,W 2
3,Thu Nov 22 2012,REG,N,Texas-El Paso,CUSA,W,68,61,,3,0,W 3
4,Fri Nov 23 2012,REG,N,Gonzaga,WCC,L,47,72,,3,1,L 1
5,Sun Nov 25 2012,REG,N,West Virginia,Big 12,W,77,70,,4,1,W 1
6,Wed Nov 28 2012,REG,@,Oral Roberts,Southland,W,63,62,,5,1,W 2
7,Fri Nov 30 2012,REG,,Northwestern State,Southland,W,69,65,,6,1,W 3
8,Tue Dec 4 2012,REG,@,Arkansas,SEC,L,78,81,,6,2,L 1
9,Sat Dec 15 2012,REG,N,Texas A&M,SEC,W,64,54,,7,2,W 1
10,Tue Dec 18 2012,REG,,Stephen F. Austin,Southland,L,55,56,,7,3,L 1
11,Sat Dec 29 2012,REG,,Ohio,MAC,W,74,63,,8,3,W 1
12,Mon Dec 31 2012,REG,,Texas A&M-Corpus Christi,Southland,W,72,42,,9,3,W 2
13,Sat Jan 5 2013,REG,@,West Virginia,Big 12,W,67,57,,10,3,W 3
14,Sat Jan 12 2013,REG,,Oklahoma State,Big 12,W,77,68,,11,3,W 4
15,Wed Jan 16 2013,REG,,Texas Tech,Big 12,W,81,63,,12,3,W 5
16,Sat Jan 19 2013,REG,@,Kansas State,Big 12,L,60,69,,12,4,L 1
17,Mon Jan 21 2013,REG,,Texas,Big 12,W,73,67,,13,4,W 1
18,Sat Jan 26 2013,REG,@,Kansas,Big 12,L,54,67,,13,5,L 1
19,Wed Jan 30 2013,REG,@,Baylor,Big 12,W,74,71,,14,5,W 1
20,Sat Feb 2 2013,REG,,Kansas State,Big 12,L,50,52,,14,6,L 1
21,Mon Feb 4 2013,REG,@,Iowa State,Big 12,L,64,83,,14,7,L 2
22,Sat Feb 9 2013,REG,,Kansas,Big 12,W,72,66,,15,7,W 1
23,Mon Feb 11 2013,REG,,Texas Christian,Big 12,W,75,48,,16,7,W 2
24,Sat Feb 16 2013,REG,@,Oklahoma State,Big 12,L,79,84,OT,16,8,L 1
25,Wed Feb 20 2013,REG,@,Texas Tech,Big 12,W,86,71,,17,8,W 1
26,Sat Feb 23 2013,REG,,Baylor,Big 12,W,90,76,,18,8,W 2
27,Wed Feb 27 2013,REG,@,Texas,Big 12,L,86,92,OT,18,9,L 1
28,Sat Mar 2 2013,REG,,Iowa State,Big 12,W,86,69,,19,9,W 1
29,Wed Mar 6 2013,REG,,West Virginia,Big 12,W,83,70,,20,9,W 2
30,Sat Mar 9 2013,REG,@,Texas Christian,Big 12,L,67,70,,20,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Iowa State,Big 12,L,66,73,,20,11,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 22 2013,NCAA,N,San Diego State,MWC,L,55,70,,20,12,L 3
