G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Holy Cross,Patriot,L,45,46,,0,1,L 1
2,Sat Nov 10 2012,REG,,Morgan State,MEAC,W,72,61,,1,1,W 1
3,Sun Nov 11 2012,REG,,Texas-San Antonio,WAC,L,70,79,,1,2,L 1
4,Sat Nov 17 2012,REG,@,Cleveland State,Horizon,L,55,67,,1,3,L 2
5,Wed Nov 21 2012,REG,,Virginia Military Institute,Big South,L,71,76,,1,4,L 3
6,Sat Nov 24 2012,REG,@,Murray State,OVC,L,72,79,,1,5,L 4
7,Sat Dec 1 2012,REG,@,William & Mary,CAA,L,62,71,,1,6,L 5
8,Tue Dec 4 2012,REG,,Richmond,A-10,L,53,80,,1,7,L 6
9,Fri Dec 7 2012,REG,,Virginia Commonwealth,A-10,L,70,83,,1,8,L 7
10,Fri Dec 14 2012,REG,,Central Florida,CUSA,L,71,75,,1,9,L 8
11,Tue Dec 18 2012,REG,@,College of Charleston,Southern,L,65,76,,1,10,L 9
12,Sat Dec 22 2012,REG,N,Virginia,ACC,W,63,61,,2,10,W 1
13,Sat Dec 29 2012,REG,,Fairfield,MAAC,L,54,55,,2,11,L 1
14,Wed Jan 2 2013,REG,,James Madison,CAA,L,55,58,,2,12,L 2
15,Sat Jan 5 2013,REG,,Delaware,CAA,L,72,84,,2,13,L 3
16,Thu Jan 10 2013,REG,@,George Mason,CAA,L,46,71,,2,14,L 4
17,Wed Jan 16 2013,REG,@,North Carolina-Wilmington,CAA,L,60,65,,2,15,L 5
18,Sat Jan 19 2013,REG,,Georgia State,CAA,L,54,69,,2,16,L 6
19,Sat Jan 26 2013,REG,@,James Madison,CAA,L,46,56,,2,17,L 7
20,Wed Jan 30 2013,REG,,Towson,CAA,L,66,68,,2,18,L 8
21,Sat Feb 2 2013,REG,@,Georgia State,CAA,L,63,83,,2,19,L 9
22,Mon Feb 4 2013,REG,,George Mason,CAA,L,74,85,,2,20,L 10
23,Thu Feb 7 2013,REG,@,Drexel,CAA,W,78,66,,3,20,W 1
24,Sat Feb 9 2013,REG,,Northeastern,CAA,L,74,79,OT,3,21,L 1
25,Mon Feb 11 2013,REG,@,Delaware,CAA,L,73,75,,3,22,L 2
26,Sat Feb 16 2013,REG,,William & Mary,CAA,L,62,74,,3,23,L 3
27,Wed Feb 20 2013,REG,,North Carolina-Wilmington,CAA,W,84,61,,4,23,W 1
28,Sun Feb 24 2013,REG,@,Hofstra,CAA,L,59,70,,4,24,L 1
29,Thu Feb 28 2013,REG,,Drexel,CAA,L,77,81,,4,25,L 2
30,Sat Mar 2 2013,REG,@,Northeastern,CAA,W,81,74,,5,25,W 1
