G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Northern Arizona,Big Sky,W,83,73,,1,0,W 1
2,Mon Nov 12 2012,REG,,Portland State,Big Sky,W,80,69,,2,0,W 2
3,Fri Nov 16 2012,REG,,Vanderbilt,SEC,W,74,48,,3,0,W 3
4,Mon Nov 19 2012,REG,,Jacksonville State,OVC,W,67,45,,4,0,W 4
5,Fri Nov 23 2012,REG,@,Nevada-Las Vegas,MWC,W,83,79,,5,0,W 5
6,Sat Nov 24 2012,REG,N,Cincinnati,Big East,L,66,77,,5,1,L 1
7,Thu Nov 29 2012,REG,,Texas-San Antonio,WAC,W,95,78,,6,1,W 1
8,Sat Dec 1 2012,REG,,Arkansas-Pine Bluff,SWAC,W,80,59,,7,1,W 2
9,Sat Dec 8 2012,REG,,Idaho State,Big Sky,W,87,35,,8,1,W 3
10,Sat Dec 15 2012,REG,,Nebraska,Big Ten,W,60,38,,9,1,W 4
11,Wed Dec 19 2012,REG,@,Texas-El Paso,CUSA,L,84,91,3OT,9,2,L 1
12,Sat Dec 22 2012,REG,,Houston Baptist,GWC,W,91,50,,10,2,W 1
13,Mon Dec 31 2012,REG,,Nevada,MWC,W,56,43,,11,2,W 2
14,Sun Jan 6 2013,REG,@,Oregon State,Pac-12,W,79,66,,12,2,W 3
15,Thu Jan 10 2013,REG,,Arizona,Pac-12,W,70,66,,13,2,W 4
16,Sun Jan 13 2013,REG,,Arizona State,Pac-12,W,68,65,,14,2,W 5
17,Thu Jan 17 2013,REG,@,Southern California,Pac-12,W,76,74,,15,2,W 6
18,Sat Jan 19 2013,REG,@,UCLA,Pac-12,W,76,67,,16,2,W 7
19,Wed Jan 23 2013,REG,,Washington State,Pac-12,W,68,61,,17,2,W 8
20,Sat Jan 26 2013,REG,,Washington,Pac-12,W,81,76,,18,2,W 9
21,Wed Jan 30 2013,REG,@,Stanford,Pac-12,L,52,76,,18,3,L 1
22,Sat Feb 2 2013,REG,@,California,Pac-12,L,54,58,,18,4,L 2
23,Thu Feb 7 2013,REG,,Colorado,Pac-12,L,47,48,,18,5,L 3
24,Sat Feb 9 2013,REG,,Utah,Pac-12,W,73,64,,19,5,W 1
25,Wed Feb 13 2013,REG,@,Washington,Pac-12,W,65,52,,20,5,W 2
26,Sat Feb 16 2013,REG,@,Washington State,Pac-12,W,79,77,OT,21,5,W 3
27,Thu Feb 21 2013,REG,,California,Pac-12,L,46,48,,21,6,L 1
28,Sat Feb 23 2013,REG,,Stanford,Pac-12,W,77,66,,22,6,W 1
29,Thu Feb 28 2013,REG,,Oregon State,Pac-12,W,85,75,,23,6,W 2
30,Thu Mar 7 2013,REG,@,Colorado,Pac-12,L,53,76,,23,7,L 1
31,Sat Mar 9 2013,REG,@,Utah,Pac-12,L,62,72,,23,8,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Washington,Pac-12,W,80,77,OT,24,8,W 1
33,Fri Mar 15 2013,CTOURN,N,Utah,Pac-12,W,64,45,,25,8,W 2
34,Sat Mar 16 2013,CTOURN,N,UCLA,Pac-12,W,78,69,,26,8,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,Oklahoma State,Big 12,W,68,55,,27,8,W 4
36,Sat Mar 23 2013,NCAA,N,Saint Louis,A-10,W,74,57,,28,8,W 5
37,Fri Mar 29 2013,NCAA,N,Louisville,Big East,L,69,77,,28,9,L 1
