G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Saint Francis (PA),NEC,W,65,58,,1,0,W 1
2,Thu Nov 15 2012,REG,N,North Carolina State,ACC,L,55,72,,1,1,L 1
3,Fri Nov 16 2012,REG,N,Providence,Big East,W,55,52,OT,2,1,W 1
4,Sun Nov 18 2012,REG,N,Akron,MAC,L,60,85,,2,2,L 1
5,Fri Nov 23 2012,REG,,Bucknell,Patriot,W,60,57,,3,2,W 1
6,Wed Nov 28 2012,REG,,Boston College,ACC,L,61,73,,3,3,L 1
7,Sat Dec 1 2012,REG,,Pennsylvania,Ivy,W,58,47,,4,3,W 1
8,Wed Dec 5 2012,REG,@,La Salle,A-10,L,57,82,,4,4,L 1
9,Sat Dec 8 2012,REG,,Army,Patriot,W,78,70,,5,4,W 1
10,Sat Dec 15 2012,REG,,Delaware State,MEAC,W,80,76,OT,6,4,W 2
11,Sun Dec 23 2012,REG,,New Hampshire,AEC,W,72,45,,7,4,W 3
12,Sat Dec 29 2012,REG,,Duquesne,A-10,W,84,74,,8,4,W 4
13,Thu Jan 3 2013,REG,@,Wisconsin,Big Ten,L,51,60,,8,5,L 1
14,Mon Jan 7 2013,REG,,Indiana,Big Ten,L,51,74,,8,6,L 2
15,Thu Jan 10 2013,REG,,Northwestern,Big Ten,L,54,70,,8,7,L 3
16,Sun Jan 13 2013,REG,@,Purdue,Big Ten,L,42,60,,8,8,L 4
17,Wed Jan 16 2013,REG,,Michigan State,Big Ten,L,72,81,,8,9,L 5
18,Sat Jan 19 2013,REG,,Nebraska,Big Ten,L,64,68,,8,10,L 6
19,Wed Jan 23 2013,REG,@,Indiana,Big Ten,L,49,72,,8,11,L 7
20,Sat Jan 26 2013,REG,,Ohio State,Big Ten,L,51,65,,8,12,L 8
21,Thu Jan 31 2013,REG,@,Iowa,Big Ten,L,67,76,,8,13,L 9
22,Tue Feb 5 2013,REG,,Purdue,Big Ten,L,49,58,,8,14,L 10
23,Sat Feb 9 2013,REG,@,Nebraska,Big Ten,L,53,67,,8,15,L 11
24,Thu Feb 14 2013,REG,,Iowa,Big Ten,L,72,74,,8,16,L 12
25,Sun Feb 17 2013,REG,@,Michigan,Big Ten,L,71,79,,8,17,L 13
26,Thu Feb 21 2013,REG,@,Illinois,Big Ten,L,59,64,,8,18,L 14
27,Wed Feb 27 2013,REG,,Michigan,Big Ten,W,84,78,,9,18,W 1
28,Sat Mar 2 2013,REG,@,Minnesota,Big Ten,L,44,73,,9,19,L 1
29,Thu Mar 7 2013,REG,@,Northwestern,Big Ten,W,66,59,,10,19,W 1
30,Sun Mar 10 2013,REG,,Wisconsin,Big Ten,L,60,63,,10,20,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Michigan,Big Ten,L,66,83,,10,21,L 2
