G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Mount St. Mary's,NEC,W,80,48,,1,0,W 1
2,Mon Nov 12 2012,REG,,Fordham,A-10,W,86,51,,2,0,W 2
3,Tue Nov 13 2012,REG,,Lehigh,Patriot,W,78,53,,3,0,W 3
4,Sat Nov 17 2012,REG,,Oakland,Summit,W,72,62,OT,4,0,W 4
5,Wed Nov 21 2012,REG,N,Michigan,Big Ten,L,62,67,,4,1,L 1
6,Fri Nov 23 2012,REG,N,Delaware,CAA,W,85,59,,5,1,W 1
7,Tue Nov 27 2012,REG,,Howard,MEAC,W,70,46,,6,1,W 2
8,Sat Dec 1 2012,REG,,Detroit Mercy,Horizon,W,74,61,,7,1,W 3
9,Wed Dec 5 2012,REG,N,Duquesne,A-10,W,66,45,,8,1,W 4
10,Sat Dec 8 2012,REG,,North Florida,A-Sun,W,89,47,,9,1,W 5
11,Sat Dec 15 2012,REG,,Bethune-Cookman,MEAC,W,89,40,,10,1,W 6
12,Wed Dec 19 2012,REG,,Delaware State,MEAC,W,71,43,,11,1,W 7
13,Sun Dec 23 2012,REG,,Kennesaw State,A-Sun,W,59,43,,12,1,W 8
14,Mon Dec 31 2012,REG,,Cincinnati,Big East,L,61,70,,12,2,L 1
15,Sat Jan 5 2013,REG,@,Rutgers,Big East,L,62,67,,12,3,L 2
16,Tue Jan 8 2013,REG,@,Georgetown,Big East,W,73,45,,13,3,W 1
17,Sat Jan 12 2013,REG,,Marquette,Big East,L,67,74,OT,13,4,L 1
18,Wed Jan 16 2013,REG,@,Villanova,Big East,W,58,43,,14,4,W 1
19,Sat Jan 19 2013,REG,,Connecticut,Big East,W,69,61,,15,4,W 2
20,Tue Jan 22 2013,REG,@,Providence,Big East,W,68,64,,16,4,W 3
21,Sat Jan 26 2013,REG,,DePaul,Big East,W,93,55,,17,4,W 4
22,Mon Jan 28 2013,REG,@,Louisville,Big East,L,61,64,,17,5,L 1
23,Sat Feb 2 2013,REG,,Syracuse,Big East,W,65,55,,18,5,W 1
24,Mon Feb 4 2013,REG,,Seton Hall,Big East,W,56,46,,19,5,W 2
25,Sat Feb 9 2013,REG,@,Cincinnati,Big East,W,62,52,,20,5,W 3
26,Sat Feb 16 2013,REG,@,Marquette,Big East,L,69,79,,20,6,L 1
27,Mon Feb 18 2013,REG,,Notre Dame,Big East,L,42,51,,20,7,L 2
28,Sun Feb 24 2013,REG,@,St. John's (NY),Big East,W,63,47,,21,7,W 1
29,Wed Feb 27 2013,REG,,South Florida,Big East,W,64,44,,22,7,W 2
30,Sun Mar 3 2013,REG,,Villanova,Big East,W,73,64,OT,23,7,W 3
31,Sat Mar 9 2013,REG,@,DePaul,Big East,W,81,66,,24,7,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Syracuse,Big East,L,59,62,,24,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Thu Mar 21 2013,NCAA,N,Wichita State,MVC,L,55,73,,24,9,L 2
