G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Texas Tech,Big 12,L,79,89,,0,1,L 1
2,Sun Nov 11 2012,REG,,Schreiner,,W,80,51,,1,1,W 1
3,Tue Nov 13 2012,REG,,Arlington Baptist,,W,91,38,,2,1,W 2
4,Thu Nov 15 2012,REG,@,Texas A&M,SEC,L,59,81,,2,2,L 1
5,Sun Nov 18 2012,REG,@,Texas Christian,Big 12,L,39,44,,2,3,L 2
6,Tue Nov 20 2012,REG,@,Alabama-Birmingham,CUSA,L,70,76,,2,4,L 3
7,Fri Nov 23 2012,REG,N,Navy,Patriot,W,42,40,,3,4,W 1
8,Sat Nov 24 2012,REG,N,Fairleigh Dickinson,NEC,L,70,84,,3,5,L 1
9,Wed Nov 28 2012,REG,,Houston,CUSA,W,81,80,,4,5,W 1
10,Fri Dec 7 2012,REG,,Dallas Christian,,W,107,59,,5,5,W 2
11,Sat Dec 15 2012,REG,@,UCLA,Pac-12,L,53,95,,5,6,L 1
12,Sat Dec 22 2012,REG,@,California,Pac-12,L,53,85,,5,7,L 2
13,Sat Dec 29 2012,REG,@,Houston,CUSA,L,75,80,,5,8,L 3
14,Wed Jan 2 2013,REG,@,Alcorn State,SWAC,L,54,68,,5,9,L 4
15,Fri Jan 4 2013,REG,@,Southern,SWAC,L,45,50,,5,10,L 5
16,Sun Jan 6 2013,REG,,Texas Southern,SWAC,L,60,65,,5,11,L 6
17,Sat Jan 12 2013,REG,,Grambling,SWAC,W,60,44,,6,11,W 1
18,Mon Jan 14 2013,REG,,Jackson State,SWAC,W,73,59,,7,11,W 2
19,Sat Jan 19 2013,REG,@,Mississippi Valley State,SWAC,L,64,73,,7,12,L 1
20,Mon Jan 21 2013,REG,@,Arkansas-Pine Bluff,SWAC,L,51,55,,7,13,L 2
21,Sat Jan 26 2013,REG,,Alabama State,SWAC,W,74,72,,8,13,W 1
22,Mon Jan 28 2013,REG,,Alabama A&M,SWAC,W,65,46,,9,13,W 2
23,Sat Feb 2 2013,REG,@,Texas Southern,SWAC,L,48,84,,9,14,L 1
24,Sat Feb 9 2013,REG,@,Grambling,SWAC,W,63,53,,10,14,W 1
25,Mon Feb 11 2013,REG,@,Jackson State,SWAC,L,60,65,,10,15,L 1
26,Sat Feb 16 2013,REG,,Mississippi Valley State,SWAC,W,80,77,,11,15,W 1
27,Mon Feb 18 2013,REG,,Arkansas-Pine Bluff,SWAC,L,47,76,,11,16,L 1
28,Sat Feb 23 2013,REG,@,Alabama State,SWAC,W,65,56,,12,16,W 1
29,Mon Feb 25 2013,REG,@,Alabama A&M,SWAC,W,61,57,OT,13,16,W 2
30,Thu Feb 28 2013,REG,,Alcorn State,SWAC,L,75,81,,13,17,L 1
31,Sat Mar 2 2013,REG,,Southern,SWAC,L,39,61,,13,18,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Alcorn State,SWAC,W,67,59,,14,18,W 1
33,Fri Mar 15 2013,CTOURN,N,Jackson State,SWAC,W,88,75,,15,18,W 2
34,Sat Mar 16 2013,CTOURN,N,Southern,SWAC,L,44,45,,15,19,L 1
