G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,@,Clemson,ACC,L,44,77,,0,1,L 1
2,Wed Nov 14 2012,REG,@,Georgia Tech,ACC,L,38,52,,0,2,L 2
3,Sun Nov 18 2012,REG,@,Creighton,MVC,L,58,87,,0,3,L 3
4,Tue Nov 20 2012,REG,@,Wisconsin,Big Ten,L,43,88,,0,4,L 4
5,Fri Nov 23 2012,REG,N,Cornell,Ivy,L,55,89,,0,5,L 5
6,Sat Nov 24 2012,REG,N,Florida A&M,MEAC,L,55,69,,0,6,L 6
7,Tue Nov 27 2012,REG,,Toccoa Falls,,W,97,38,,1,6,W 1
8,Sun Dec 9 2012,REG,@,Furman,Southern,L,57,81,,1,7,L 1
9,Wed Dec 12 2012,REG,,North Greenville,,W,91,83,,2,7,W 1
10,Sat Dec 15 2012,REG,,Jacksonville State,OVC,L,59,66,OT,2,8,L 1
11,Tue Dec 18 2012,REG,@,Tennessee,SEC,L,62,78,,2,9,L 2
12,Sat Dec 22 2012,REG,@,Appalachian State,Southern,L,70,78,,2,10,L 3
13,Sat Dec 29 2012,REG,@,South Carolina,SEC,L,60,76,,2,11,L 4
14,Tue Jan 1 2013,REG,,Montreat,,W,77,35,,3,11,W 1
15,Sat Jan 5 2013,REG,,Virginia Military Institute,Big South,L,77,86,,3,12,L 1
16,Wed Jan 9 2013,REG,@,Coastal Carolina,Big South,L,43,61,,3,13,L 2
17,Sat Jan 12 2013,REG,,Campbell,Big South,L,46,62,,3,14,L 3
18,Wed Jan 16 2013,REG,@,Winthrop,Big South,L,51,62,,3,15,L 4
19,Sat Jan 19 2013,REG,,Liberty,Big South,W,68,60,,4,15,W 1
20,Wed Jan 23 2013,REG,,Charleston Southern,Big South,L,59,79,,4,16,L 1
21,Sat Jan 26 2013,REG,@,Longwood,Big South,W,82,71,,5,16,W 1
22,Wed Jan 30 2013,REG,,North Carolina-Asheville,Big South,L,74,77,,5,17,L 1
23,Sat Feb 2 2013,REG,@,High Point,Big South,L,68,78,,5,18,L 2
24,Wed Feb 6 2013,REG,,Gardner-Webb,Big South,W,57,54,,6,18,W 1
25,Sat Feb 9 2013,REG,@,Radford,Big South,L,65,76,,6,19,L 1
26,Wed Feb 13 2013,REG,,Coastal Carolina,Big South,L,53,60,,6,20,L 2
27,Sat Feb 16 2013,REG,,Winthrop,Big South,W,64,57,,7,20,W 1
28,Tue Feb 19 2013,REG,@,Charleston Southern,Big South,L,54,72,,7,21,L 1
29,Sat Feb 23 2013,REG,,Citadel,Southern,W,68,65,,8,21,W 1
30,Wed Feb 27 2013,REG,@,North Carolina-Asheville,Big South,L,62,74,,8,22,L 1
31,Sat Mar 2 2013,REG,@,Gardner-Webb,Big South,L,57,76,,8,23,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 5 2013,CTOURN,N,Campbell,Big South,L,73,81,OT,8,24,L 3
