G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Buffalo,MAC,W,57,53,,1,0,W 1
2,Tue Nov 13 2012,REG,,Northeastern,CAA,L,66,67,,1,1,L 1
3,Fri Nov 16 2012,REG,,Rutgers,Big East,L,52,58,,1,2,L 2
4,Wed Nov 21 2012,REG,@,Syracuse,Big East,L,53,73,,1,3,L 3
5,Sat Nov 24 2012,REG,@,Lafayette,Patriot,W,72,53,,2,3,W 1
6,Wed Nov 28 2012,REG,@,Wagner,NEC,L,42,48,OT,2,4,L 1
7,Sat Dec 1 2012,REG,@,Kent State,MAC,W,62,50,,3,4,W 1
8,Sat Dec 8 2012,REG,,Drexel,CAA,L,57,64,,3,5,L 1
9,Sat Dec 15 2012,REG,N,Fordham,A-10,L,60,63,,3,6,L 2
10,Thu Dec 20 2012,REG,,Rider,MAAC,W,62,45,,4,6,W 1
11,Sat Dec 22 2012,REG,,Bucknell,Patriot,W,79,67,,5,6,W 2
12,Sun Dec 30 2012,REG,@,Akron,MAC,L,58,62,,5,7,L 1
13,Sat Jan 5 2013,REG,@,Elon,Southern,W,74,64,,6,7,W 1
14,Sat Jan 12 2013,REG,,Pennsylvania,Ivy,W,65,53,,7,7,W 2
15,Sun Jan 27 2013,REG,,College of New Jersey,,W,71,33,,8,7,W 3
16,Fri Feb 1 2013,REG,,Cornell,Ivy,W,76,59,,9,7,W 4
17,Sat Feb 2 2013,REG,,Columbia,Ivy,W,72,66,,10,7,W 5
18,Fri Feb 8 2013,REG,,Brown,Ivy,W,63,46,,11,7,W 6
19,Sat Feb 9 2013,REG,,Yale,Ivy,L,65,69,,11,8,L 1
20,Fri Feb 15 2013,REG,@,Dartmouth,Ivy,W,73,55,,12,8,W 1
21,Sat Feb 16 2013,REG,@,Harvard,Ivy,L,57,69,,12,9,L 1
22,Fri Feb 22 2013,REG,@,Columbia,Ivy,W,65,40,,13,9,W 1
23,Sat Feb 23 2013,REG,@,Cornell,Ivy,W,72,53,,14,9,W 2
24,Fri Mar 1 2013,REG,,Harvard,Ivy,W,58,53,,15,9,W 3
25,Sat Mar 2 2013,REG,,Dartmouth,Ivy,W,68,63,,16,9,W 4
26,Fri Mar 8 2013,REG,@,Yale,Ivy,L,66,71,,16,10,L 1
27,Sat Mar 9 2013,REG,@,Brown,Ivy,L,67,80,,16,11,L 2
28,Tue Mar 12 2013,REG,@,Pennsylvania,Ivy,W,71,58,,17,11,W 1
