G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,NJIT,GWC,W,64,63,,1,0,W 1
2,Mon Nov 12 2012,REG,,Bryant,NEC,W,81,49,,2,0,W 2
3,Thu Nov 15 2012,REG,N,Massachusetts,A-10,L,75,77,,2,1,L 1
4,Fri Nov 16 2012,REG,N,Penn State,Big Ten,L,52,55,OT,2,2,L 2
5,Sun Nov 18 2012,REG,N,North Carolina-Asheville,Big South,W,72,67,,3,2,W 1
6,Fri Nov 23 2012,REG,,Fairfield,MAAC,W,66,47,,4,2,W 2
7,Tue Nov 27 2012,REG,,Holy Cross,Patriot,W,61,42,,5,2,W 3
8,Sat Dec 1 2012,REG,,Mississippi State,SEC,W,73,63,,6,2,W 4
9,Thu Dec 6 2012,REG,,Rhode Island,A-10,W,72,57,,7,2,W 5
10,Tue Dec 18 2012,REG,,Colgate,Patriot,W,79,45,,8,2,W 6
11,Sat Dec 22 2012,REG,@,Boston College,ACC,L,68,71,,8,3,L 1
12,Fri Dec 28 2012,REG,@,Brown,Ivy,L,68,69,,8,4,L 2
13,Wed Jan 2 2013,REG,@,Louisville,Big East,L,62,80,,8,5,L 3
14,Sat Jan 5 2013,REG,,DePaul,Big East,L,73,83,,8,6,L 4
15,Wed Jan 9 2013,REG,,Syracuse,Big East,L,66,72,,8,7,L 5
16,Sun Jan 13 2013,REG,@,Seton Hall,Big East,W,67,55,,9,7,W 1
17,Wed Jan 16 2013,REG,@,Georgetown,Big East,L,65,74,,9,8,L 1
18,Sat Jan 19 2013,REG,,Villanova,Big East,W,69,66,,10,8,W 1
19,Tue Jan 22 2013,REG,,Pittsburgh,Big East,L,64,68,,10,9,L 1
20,Sat Jan 26 2013,REG,@,Marquette,Big East,L,71,81,,10,10,L 2
21,Thu Jan 31 2013,REG,,Connecticut,Big East,L,79,82,OT,10,11,L 3
22,Sun Feb 3 2013,REG,@,Villanova,Big East,W,55,52,,11,11,W 1
23,Wed Feb 6 2013,REG,,Cincinnati,Big East,W,54,50,,12,11,W 2
24,Wed Feb 13 2013,REG,@,South Florida,Big East,W,76,66,,13,11,W 3
25,Sat Feb 16 2013,REG,,Notre Dame,Big East,W,71,54,,14,11,W 4
26,Wed Feb 20 2013,REG,@,Syracuse,Big East,L,59,84,,14,12,L 1
27,Sat Feb 23 2013,REG,@,Rutgers,Big East,W,76,72,,15,12,W 1
28,Sat Mar 2 2013,REG,,St. John's (NY),Big East,W,62,59,,16,12,W 2
29,Tue Mar 5 2013,REG,,Seton Hall,Big East,W,76,66,,17,12,W 3
30,Sat Mar 9 2013,REG,@,Connecticut,Big East,L,59,63,OT,17,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,Cincinnati,Big East,L,44,61,,17,14,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 20 2013,NIT,,Charlotte,A-10,W,75,66,,18,14,W 1
33,Mon Mar 25 2013,NIT,,Robert Morris,NEC,W,77,68,,19,14,W 2
34,Wed Mar 27 2013,NIT,@,Baylor,Big 12,L,68,79,,19,15,L 1
