G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Bucknell,Patriot,L,65,70,,0,1,L 1
2,Sun Nov 11 2012,REG,,Hofstra,CAA,W,83,54,,1,1,W 1
3,Thu Nov 15 2012,REG,N,Villanova,Big East,L,81,89,OT,1,2,L 1
4,Fri Nov 16 2012,REG,N,Oregon State,Pac-12,L,58,66,,1,3,L 2
5,Wed Nov 21 2012,REG,,North Carolina-Wilmington,CAA,W,66,40,,2,3,W 1
6,Wed Nov 28 2012,REG,@,Clemson,ACC,W,73,61,,3,3,W 2
7,Sat Dec 1 2012,REG,,Xavier,A-10,L,57,63,,3,4,L 1
8,Tue Dec 4 2012,REG,,Lamar,Southland,W,72,39,,4,4,W 1
9,Sat Dec 8 2012,REG,@,Eastern Michigan,MAC,L,44,47,,4,5,L 1
10,Sat Dec 15 2012,REG,N,Notre Dame,Big East,L,68,81,,4,6,L 2
11,Tue Dec 18 2012,REG,,Ball State,MAC,W,66,56,,5,6,W 1
12,Sat Dec 29 2012,REG,,William & Mary,CAA,W,73,66,,6,6,W 2
13,Wed Jan 2 2013,REG,,Illinois,Big Ten,W,68,61,,7,6,W 3
14,Sat Jan 5 2013,REG,@,Michigan State,Big Ten,L,61,84,,7,7,L 1
15,Tue Jan 8 2013,REG,,Ohio State,Big Ten,L,64,74,,7,8,L 2
16,Sun Jan 13 2013,REG,,Penn State,Big Ten,W,60,42,,8,8,W 1
17,Wed Jan 16 2013,REG,@,Nebraska,Big Ten,W,65,56,,9,8,W 2
18,Sat Jan 19 2013,REG,,West Virginia,Big 12,W,79,52,,10,8,W 3
19,Thu Jan 24 2013,REG,@,Michigan,Big Ten,L,53,68,,10,9,L 1
20,Sun Jan 27 2013,REG,,Iowa,Big Ten,W,65,62,OT,11,9,W 1
21,Wed Jan 30 2013,REG,,Indiana,Big Ten,L,60,97,,11,10,L 1
22,Sat Feb 2 2013,REG,@,Northwestern,Big Ten,L,60,75,,11,11,L 2
23,Tue Feb 5 2013,REG,@,Penn State,Big Ten,W,58,49,,12,11,W 1
24,Sat Feb 9 2013,REG,,Michigan State,Big Ten,L,65,78,,12,12,L 1
25,Wed Feb 13 2013,REG,@,Illinois,Big Ten,L,59,79,,12,13,L 2
26,Sat Feb 16 2013,REG,@,Indiana,Big Ten,L,55,83,,12,14,L 3
27,Sun Feb 24 2013,REG,,Northwestern,Big Ten,W,74,43,,13,14,W 1
28,Wed Feb 27 2013,REG,@,Iowa,Big Ten,L,48,58,,13,15,L 1
29,Sun Mar 3 2013,REG,@,Wisconsin,Big Ten,W,69,56,,14,15,W 1
30,Wed Mar 6 2013,REG,,Michigan,Big Ten,L,75,80,,14,16,L 1
31,Sat Mar 9 2013,REG,,Minnesota,Big Ten,W,89,73,,15,16,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Nebraska,Big Ten,L,55,57,,15,17,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CBI,,Western Illinois,Summit,W,81,67,,16,17,W 1
34,Mon Mar 25 2013,CBI,,Santa Clara,WCC,L,83,86,,16,18,L 1
