G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Hartford,AEC,W,65,61,,1,0,W 1
2,Mon Nov 12 2012,REG,,American,Patriot,L,55,61,,1,1,L 1
3,Fri Nov 16 2012,REG,N,Iona,MAAC,W,98,92,OT,2,1,W 1
4,Sun Nov 18 2012,REG,N,Connecticut,Big East,L,83,89,2OT,2,2,L 1
5,Mon Nov 19 2012,REG,N,George Mason,CAA,L,58,74,,2,3,L 2
6,Tue Nov 27 2012,REG,,Lehigh,Patriot,L,66,77,,2,4,L 3
7,Wed Dec 5 2012,REG,,Colgate,Patriot,W,67,56,,3,4,W 1
8,Sat Dec 8 2012,REG,,Vermont,AEC,L,46,53,,3,5,L 1
9,Sun Dec 16 2012,REG,@,Boston University,AEC,L,62,69,OT,3,6,L 2
10,Fri Dec 21 2012,REG,@,Albany (NY),AEC,W,59,57,,4,6,W 1
11,Sat Dec 29 2012,REG,,Maine,AEC,L,71,76,,4,7,L 1
12,Thu Jan 3 2013,REG,,St. Francis (NY),NEC,L,61,63,,4,8,L 2
13,Sat Jan 5 2013,REG,,Long Island University,NEC,W,82,74,,5,8,W 1
14,Thu Jan 10 2013,REG,@,Bryant,NEC,L,95,103,,5,9,L 1
15,Sat Jan 12 2013,REG,,Sacred Heart,NEC,L,74,80,,5,10,L 2
16,Mon Jan 14 2013,REG,@,Hampton,MEAC,L,64,70,,5,11,L 3
17,Thu Jan 17 2013,REG,@,Saint Francis (PA),NEC,W,75,66,OT,6,11,W 1
18,Sat Jan 19 2013,REG,@,Robert Morris,NEC,L,75,87,,6,12,L 1
19,Thu Jan 24 2013,REG,,Central Connecticut State,NEC,W,85,78,,7,12,W 1
20,Sat Jan 26 2013,REG,,Fairleigh Dickinson,NEC,W,58,56,,8,12,W 2
21,Thu Jan 31 2013,REG,@,Mount St. Mary's,NEC,L,73,77,,8,13,L 1
22,Sat Feb 2 2013,REG,@,Wagner,NEC,W,74,69,,9,13,W 1
23,Thu Feb 7 2013,REG,,Monmouth,NEC,W,79,63,,10,13,W 2
24,Thu Feb 14 2013,REG,,Robert Morris,NEC,W,63,61,,11,13,W 3
25,Sat Feb 16 2013,REG,,Saint Francis (PA),NEC,W,71,55,,12,13,W 4
26,Thu Feb 21 2013,REG,@,Sacred Heart,NEC,W,81,74,,13,13,W 5
27,Sat Feb 23 2013,REG,,Bryant,NEC,W,69,58,,14,13,W 6
28,Mon Feb 25 2013,REG,@,Central Connecticut State,NEC,L,65,67,,14,14,L 1
29,Thu Feb 28 2013,REG,@,St. Francis (NY),NEC,W,78,67,,15,14,W 1
30,Sat Mar 2 2013,REG,@,Long Island University,NEC,L,90,96,,15,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 6 2013,CTOURN,@,Long Island University,NEC,L,83,91,,15,16,L 2
