G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Wake Forest,ACC,L,67,79,,0,1,L 1
2,Mon Nov 12 2012,REG,,Cincinnati Christian,,W,76,71,OT,1,1,W 1
3,Fri Nov 16 2012,REG,N,Towson,CAA,L,67,75,,1,2,L 1
4,Sat Nov 17 2012,REG,N,Kennesaw State,A-Sun,W,67,58,,2,2,W 1
5,Sun Nov 18 2012,REG,@,Eastern Kentucky,OVC,L,75,83,,2,3,L 1
6,Wed Nov 21 2012,REG,,Brevard,,W,81,53,,3,3,W 1
7,Sat Nov 24 2012,REG,@,Citadel,Southern,W,74,61,,4,3,W 2
8,Wed Nov 28 2012,REG,,Hampton,MEAC,W,73,64,,5,3,W 3
9,Tue Dec 4 2012,REG,@,Delaware,CAA,L,59,68,,5,4,L 1
10,Sat Dec 8 2012,REG,,William & Mary,CAA,L,55,60,,5,5,L 2
11,Wed Dec 19 2012,REG,@,Charlotte,A-10,L,52,68,,5,6,L 3
12,Sat Dec 22 2012,REG,@,West Virginia,Big 12,L,62,72,,5,7,L 4
13,Sat Dec 29 2012,REG,,Central Pennsylvania College,,W,95,68,,6,7,W 1
14,Wed Jan 2 2013,REG,@,North Carolina A&T,MEAC,L,77,81,,6,8,L 1
15,Sat Jan 5 2013,REG,,Charleston Southern,Big South,L,74,81,,6,9,L 2
16,Wed Jan 9 2013,REG,,High Point,Big South,W,59,54,,7,9,W 1
17,Sat Jan 12 2013,REG,@,North Carolina-Asheville,Big South,L,61,79,,7,10,L 1
18,Wed Jan 16 2013,REG,,Longwood,Big South,W,82,72,,8,10,W 1
19,Sat Jan 19 2013,REG,@,Gardner-Webb,Big South,W,52,51,,9,10,W 2
20,Wed Jan 23 2013,REG,@,Campbell,Big South,L,60,69,,9,11,L 1
21,Sat Jan 26 2013,REG,,Winthrop,Big South,W,58,57,,10,11,W 1
22,Wed Jan 30 2013,REG,,Virginia Military Institute,Big South,L,69,70,,10,12,L 1
23,Sat Feb 2 2013,REG,@,Coastal Carolina,Big South,L,52,62,,10,13,L 2
24,Tue Feb 5 2013,REG,@,Liberty,Big South,L,70,75,,10,14,L 3
25,Sat Feb 9 2013,REG,,Presbyterian,Big South,W,76,65,,11,14,W 1
26,Wed Feb 13 2013,REG,@,Virginia Military Institute,Big South,W,82,79,,12,14,W 2
27,Sat Feb 16 2013,REG,@,Longwood,Big South,L,61,76,,12,15,L 1
28,Tue Feb 19 2013,REG,,Campbell,Big South,L,66,72,OT,12,16,L 2
29,Sun Feb 24 2013,REG,@,Siena,MAAC,L,57,65,OT,12,17,L 3
30,Wed Feb 27 2013,REG,@,High Point,Big South,W,63,58,,13,17,W 1
31,Sat Mar 2 2013,REG,,Liberty,Big South,L,56,73,,13,18,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 5 2013,CTOURN,N,Winthrop,Big South,L,58,60,OT,13,19,L 2
