G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,St. Thomas (TX),,L,59,72,,0,1,L 1
2,Wed Nov 14 2012,REG,,St. Edward's,,W,75,63,,1,1,W 1
3,Sat Nov 17 2012,REG,@,Temple,A-10,L,63,77,,1,2,L 1
4,Thu Nov 22 2012,REG,N,Georgia Tech,ACC,L,36,54,,1,3,L 2
5,Fri Nov 23 2012,REG,N,Drake,MVC,L,66,77,,1,4,L 3
6,Sun Nov 25 2012,REG,N,Drexel,CAA,L,47,55,,1,5,L 4
7,Sat Dec 1 2012,REG,,Houston Baptist,GWC,W,61,53,,2,5,W 1
8,Wed Dec 12 2012,REG,,Long Island University,NEC,L,70,97,,2,6,L 1
9,Sat Dec 15 2012,REG,,Hartford,AEC,L,51,58,,2,7,L 2
10,Wed Dec 19 2012,REG,,Chicago State,GWC,W,63,60,OT,3,7,W 1
11,Sat Dec 22 2012,REG,,Texas Christian,Big 12,L,63,65,,3,8,L 1
12,Sat Dec 29 2012,REG,@,Texas,Big 12,L,41,57,,3,9,L 2
13,Sat Jan 5 2013,REG,@,Harvard,Ivy,L,62,92,,3,10,L 3
14,Wed Jan 9 2013,REG,,Southern Mississippi,CUSA,L,52,75,,3,11,L 4
15,Sat Jan 12 2013,REG,@,Tulsa,CUSA,L,51,64,,3,12,L 5
16,Wed Jan 16 2013,REG,,Memphis,CUSA,L,51,77,,3,13,L 6
17,Sat Jan 19 2013,REG,,New Orleans,Ind,W,95,71,,4,13,W 1
18,Wed Jan 23 2013,REG,@,Central Florida,CUSA,L,67,78,,4,14,L 1
19,Sat Jan 26 2013,REG,@,Tulane,CUSA,L,66,73,,4,15,L 2
20,Wed Jan 30 2013,REG,,Houston,CUSA,W,79,69,,5,15,W 1
21,Sat Feb 2 2013,REG,,East Carolina,CUSA,L,63,79,,5,16,L 1
22,Wed Feb 6 2013,REG,@,Texas-El Paso,CUSA,L,53,65,,5,17,L 2
23,Sat Feb 9 2013,REG,,Southern Methodist,CUSA,L,39,61,,5,18,L 3
24,Wed Feb 13 2013,REG,@,Marshall,CUSA,L,70,71,,5,19,L 4
25,Sat Feb 16 2013,REG,@,Alabama-Birmingham,CUSA,L,57,80,,5,20,L 5
26,Sat Feb 23 2013,REG,,Tulane,CUSA,L,64,89,,5,21,L 6
27,Wed Feb 27 2013,REG,@,Southern Methodist,CUSA,L,55,67,,5,22,L 7
28,Sat Mar 2 2013,REG,,Texas-El Paso,CUSA,L,56,67,,5,23,L 8
29,Wed Mar 6 2013,REG,@,Houston,CUSA,L,62,84,,5,24,L 9
30,Sat Mar 9 2013,REG,,Tulsa,CUSA,L,71,77,,5,25,L 10
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,Houston,CUSA,L,67,72,,5,26,L 11
