G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Robert Morris,NEC,W,79,54,,1,0,W 1
2,Tue Nov 13 2012,REG,,Stony Brook,AEC,L,46,54,,1,1,L 1
3,Sat Nov 17 2012,REG,,Monmouth,NEC,W,65,62,,2,1,W 1
4,Mon Nov 19 2012,REG,@,South Carolina,SEC,L,76,88,,2,2,L 1
5,Wed Nov 21 2012,REG,@,Southern Methodist,CUSA,L,70,83,,2,3,L 2
6,Fri Nov 23 2012,REG,N,Jacksonville,A-Sun,W,86,71,,3,3,W 1
7,Sun Nov 25 2012,REG,N,Milwaukee,Horizon,W,74,60,,4,3,W 2
8,Thu Nov 29 2012,REG,,La Salle,A-10,L,52,63,,4,4,L 1
9,Sat Dec 1 2012,REG,@,Drexel,CAA,W,75,66,,5,4,W 1
10,Fri Dec 7 2012,REG,@,Siena,MAAC,W,62,56,,6,4,W 2
11,Sun Dec 9 2012,REG,,Fairfield,MAAC,L,52,65,,6,5,L 1
12,Thu Dec 20 2012,REG,@,Princeton,Ivy,L,45,62,,6,6,L 2
13,Fri Dec 28 2012,REG,@,Rutgers,Big East,L,56,68,,6,7,L 3
14,Mon Dec 31 2012,REG,@,Delaware,CAA,L,66,73,,6,8,L 4
15,Fri Jan 4 2013,REG,@,Loyola (MD),MAAC,L,65,71,,6,9,L 5
16,Sun Jan 6 2013,REG,,Siena,MAAC,W,72,53,,7,9,W 1
17,Thu Jan 10 2013,REG,@,Manhattan,MAAC,W,69,60,,8,9,W 2
18,Sun Jan 13 2013,REG,,Loyola (MD),MAAC,W,64,57,,9,9,W 3
19,Thu Jan 17 2013,REG,@,Saint Peter's,MAAC,W,66,54,,10,9,W 4
20,Sun Jan 20 2013,REG,,Iona,MAAC,W,67,62,,11,9,W 5
21,Fri Jan 25 2013,REG,,Canisius,MAAC,L,50,67,,11,10,L 1
22,Sun Jan 27 2013,REG,,Manhattan,MAAC,L,51,62,,11,11,L 2
23,Fri Feb 1 2013,REG,@,Fairfield,MAAC,L,59,69,,11,12,L 3
24,Sun Feb 3 2013,REG,@,Marist,MAAC,W,64,58,,12,12,W 1
25,Thu Feb 7 2013,REG,,Niagara,MAAC,W,72,69,,13,12,W 2
26,Sat Feb 9 2013,REG,@,Iona,MAAC,L,71,78,,13,13,L 1
27,Thu Feb 14 2013,REG,,Saint Peter's,MAAC,W,72,57,,14,13,W 1
28,Sun Feb 17 2013,REG,,Marist,MAAC,W,67,63,,15,13,W 2
29,Sat Feb 23 2013,REG,,Charleston Southern,Big South,W,61,54,,16,13,W 3
30,Thu Feb 28 2013,REG,@,Niagara,MAAC,W,68,59,,17,13,W 4
31,Sat Mar 2 2013,REG,@,Canisius,MAAC,W,65,61,,18,13,W 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,Fairfield,MAAC,L,42,43,,18,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,CIT,@,Hartford,AEC,W,63,54,,19,14,W 1
34,Sat Mar 23 2013,CIT,@,East Carolina,CUSA,L,54,75,,19,15,L 1
