G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Saint Peter's,MAAC,L,52,56,,0,1,L 1
2,Mon Nov 12 2012,REG,,Sacred Heart,NEC,W,88,62,,1,1,W 1
3,Fri Nov 16 2012,REG,@,Princeton,Ivy,W,58,52,,2,1,W 2
4,Tue Nov 20 2012,REG,,Boston University,AEC,W,81,79,,3,1,W 3
5,Sun Nov 25 2012,REG,@,North Carolina-Greensboro,Southern,W,87,80,,4,1,W 4
6,Sat Dec 1 2012,REG,@,Mississippi,SEC,L,67,80,,4,2,L 1
7,Sat Dec 8 2012,REG,N,Iona,MAAC,W,81,73,,5,2,W 1
8,Tue Dec 11 2012,REG,,George Washington,A-10,W,68,65,,6,2,W 2
9,Sun Dec 16 2012,REG,,Alabama-Birmingham,CUSA,W,88,79,,7,2,W 3
10,Fri Dec 21 2012,REG,,Howard,MEAC,W,79,55,,8,2,W 4
11,Fri Dec 28 2012,REG,,Rider,MAAC,W,68,56,,9,2,W 5
12,Wed Jan 2 2013,REG,@,Syracuse,Big East,L,53,78,,9,3,L 1
13,Sat Jan 5 2013,REG,,Pittsburgh,Big East,W,67,62,,10,3,W 1
14,Wed Jan 9 2013,REG,@,St. John's (NY),Big East,W,58,56,,11,3,W 2
15,Sat Jan 12 2013,REG,,Cincinnati,Big East,L,58,68,,11,4,L 1
16,Thu Jan 17 2013,REG,,South Florida,Big East,W,70,67,,12,4,W 1
17,Sat Jan 19 2013,REG,@,Notre Dame,Big East,L,66,69,,12,5,L 1
18,Wed Jan 23 2013,REG,,St. John's (NY),Big East,L,60,72,,12,6,L 2
19,Sun Jan 27 2013,REG,@,Connecticut,Big East,L,54,66,,12,7,L 3
20,Wed Jan 30 2013,REG,@,Cincinnati,Big East,L,54,62,,12,8,L 4
21,Wed Feb 6 2013,REG,,Louisville,Big East,L,48,68,,12,9,L 5
22,Sat Feb 9 2013,REG,,Georgetown,Big East,L,63,69,,12,10,L 6
23,Tue Feb 12 2013,REG,,Seton Hall,Big East,W,57,55,,13,10,W 1
24,Sat Feb 16 2013,REG,@,DePaul,Big East,L,69,75,,13,11,L 1
25,Mon Feb 18 2013,REG,@,Villanova,Big East,L,63,71,,13,12,L 2
26,Sat Feb 23 2013,REG,,Providence,Big East,L,72,76,,13,13,L 3
27,Sat Mar 2 2013,REG,@,Georgetown,Big East,L,51,64,,13,14,L 4
28,Tue Mar 5 2013,REG,,Marquette,Big East,L,54,60,,13,15,L 5
29,Fri Mar 8 2013,REG,@,Seton Hall,Big East,W,56,51,,14,15,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Tue Mar 12 2013,CTOURN,N,DePaul,Big East,W,76,57,,15,15,W 2
31,Wed Mar 13 2013,CTOURN,N,Notre Dame,Big East,L,61,69,,15,16,L 1
