G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,California-Merced,,W,96,62,,1,0,W 1
2,Wed Nov 14 2012,REG,,Cal State Bakersfield,Ind,W,85,67,,2,0,W 2
3,Fri Nov 16 2012,REG,@,Utah,Pac-12,W,74,71,,3,0,W 3
4,Tue Nov 20 2012,REG,,California-Davis,Big West,L,76,87,,3,1,L 1
5,Sat Nov 24 2012,REG,@,Central Arkansas,Southland,W,71,68,,4,1,W 1
6,Tue Nov 27 2012,REG,,Dominican (CA),,W,77,68,,5,1,W 2
7,Sat Dec 1 2012,REG,@,Arizona State,Pac-12,L,70,90,,5,2,L 1
8,Sat Dec 8 2012,REG,@,San Jose State,WAC,L,57,62,,5,3,L 2
9,Wed Dec 19 2012,REG,,Montana State,Big Sky,W,62,57,,6,3,W 1
10,Fri Dec 21 2012,REG,,Montana,Big Sky,L,60,61,,6,4,L 1
11,Thu Jan 3 2013,REG,@,Northern Arizona,Big Sky,L,50,57,,6,5,L 2
12,Mon Jan 7 2013,REG,,Southern Utah,Big Sky,W,64,59,,7,5,W 1
13,Thu Jan 10 2013,REG,@,Portland State,Big Sky,L,69,87,,7,6,L 1
14,Sat Jan 12 2013,REG,@,Eastern Washington,Big Sky,W,60,53,,8,6,W 1
15,Thu Jan 17 2013,REG,@,Idaho State,Big Sky,L,59,60,,8,7,L 1
16,Sat Jan 19 2013,REG,@,Weber State,Big Sky,L,56,65,,8,8,L 2
17,Thu Jan 24 2013,REG,,North Dakota,Big Sky,W,67,58,,9,8,W 1
18,Sat Jan 26 2013,REG,,Northern Colorado,Big Sky,W,79,72,,10,8,W 2
19,Thu Jan 31 2013,REG,@,Southern Utah,Big Sky,L,67,79,,10,9,L 1
20,Mon Feb 4 2013,REG,,Northern Arizona,Big Sky,L,61,62,,10,10,L 2
21,Thu Feb 7 2013,REG,,Eastern Washington,Big Sky,W,61,55,,11,10,W 1
22,Sat Feb 9 2013,REG,,Portland State,Big Sky,W,77,71,,12,10,W 2
23,Thu Feb 14 2013,REG,@,North Dakota,Big Sky,L,48,49,,12,11,L 1
24,Sat Feb 16 2013,REG,@,Northern Colorado,Big Sky,L,64,78,,12,12,L 2
25,Sat Feb 23 2013,REG,@,California-Santa Barbara,Big West,W,51,50,,13,12,W 1
26,Thu Feb 28 2013,REG,,Weber State,Big Sky,L,55,70,,13,13,L 1
27,Sat Mar 2 2013,REG,,Idaho State,Big Sky,W,53,52,,14,13,W 1
28,Thu Mar 7 2013,REG,@,Montana,Big Sky,L,52,63,,14,14,L 1
29,Sat Mar 9 2013,REG,@,Montana State,Big Sky,L,55,71,,14,15,L 2
