G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Penn State,Big Ten,L,58,65,,0,1,L 1
2,Tue Nov 13 2012,REG,@,Niagara,MAAC,L,69,86,,0,2,L 2
3,Fri Nov 16 2012,REG,@,Youngstown State,Horizon,L,60,75,,0,3,L 3
4,Wed Nov 21 2012,REG,,Colgate,Patriot,L,76,85,,0,4,L 4
5,Sat Nov 24 2012,REG,@,Notre Dame,Big East,L,52,69,,0,5,L 5
6,Sat Dec 1 2012,REG,@,American,Patriot,L,51,61,,0,6,L 6
7,Tue Dec 4 2012,REG,@,Lafayette,Patriot,L,58,61,,0,7,L 7
8,Sat Dec 8 2012,REG,,Lehigh,Patriot,L,67,83,,0,8,L 8
9,Mon Dec 17 2012,REG,,Bucknell,Patriot,L,49,76,,0,9,L 9
10,Thu Dec 20 2012,REG,@,Kent State,MAC,L,48,77,,0,10,L 10
11,Fri Dec 28 2012,REG,,Cornell,Ivy,L,67,79,,0,11,L 11
12,Thu Jan 3 2013,REG,,Central Connecticut State,NEC,W,67,60,,1,11,W 1
13,Sat Jan 5 2013,REG,,Bryant,NEC,L,58,78,,1,12,L 1
14,Thu Jan 10 2013,REG,@,Monmouth,NEC,L,60,65,,1,13,L 2
15,Sat Jan 12 2013,REG,@,Fairleigh Dickinson,NEC,L,69,79,OT,1,14,L 3
16,Thu Jan 17 2013,REG,,Quinnipiac,NEC,L,66,75,OT,1,15,L 4
17,Sat Jan 19 2013,REG,,Sacred Heart,NEC,L,72,75,,1,16,L 5
18,Thu Jan 24 2013,REG,,Robert Morris,NEC,L,70,84,,1,17,L 6
19,Sat Jan 26 2013,REG,,Wagner,NEC,L,56,81,,1,18,L 7
20,Thu Jan 31 2013,REG,@,Long Island University,NEC,L,62,82,,1,19,L 8
21,Sat Feb 2 2013,REG,@,St. Francis (NY),NEC,W,64,61,,2,19,W 1
22,Wed Feb 6 2013,REG,@,Robert Morris,NEC,L,48,60,,2,20,L 1
23,Sat Feb 9 2013,REG,,Mount St. Mary's,NEC,L,58,69,,2,21,L 2
24,Thu Feb 14 2013,REG,@,Sacred Heart,NEC,W,64,60,,3,21,W 1
25,Sat Feb 16 2013,REG,@,Quinnipiac,NEC,L,55,71,,3,22,L 1
26,Thu Feb 21 2013,REG,,Fairleigh Dickinson,NEC,W,69,63,,4,22,W 1
27,Sat Feb 23 2013,REG,,Monmouth,NEC,W,70,68,,5,22,W 2
28,Thu Feb 28 2013,REG,@,Central Connecticut State,NEC,L,81,84,2OT,5,23,L 1
29,Sat Mar 2 2013,REG,@,Bryant,NEC,L,60,85,,5,24,L 2
