G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,,Yale,Ivy,W,61,35,,1,0,W 1
2,Fri Nov 16 2012,REG,N,Notre Dame,Big East,W,79,70,OT,2,0,W 2
3,Sat Nov 17 2012,REG,N,Florida State,ACC,L,66,73,,2,1,L 1
4,Tue Nov 20 2012,REG,,Harvard,Ivy,W,75,56,,3,1,W 1
5,Wed Nov 28 2012,REG,,American,Patriot,W,74,55,,4,1,W 2
6,Sat Dec 1 2012,REG,@,Creighton,MVC,L,51,80,,4,2,L 1
7,Tue Dec 4 2012,REG,@,Coppin State,MEAC,W,67,55,,5,2,W 1
8,Tue Dec 11 2012,REG,@,Villanova,Big East,L,61,65,,5,3,L 1
9,Sat Dec 22 2012,REG,,Fairfield,MAAC,L,57,60,,5,4,L 2
10,Fri Dec 28 2012,REG,,Iona,MAAC,W,96,91,,6,4,W 1
11,Mon Dec 31 2012,REG,@,Drexel,CAA,W,63,49,,7,4,W 2
12,Sat Jan 5 2013,REG,@,Morgan State,MEAC,W,70,60,,8,4,W 3
13,Wed Jan 9 2013,REG,,Butler,A-10,L,66,72,,8,5,L 1
14,Sat Jan 12 2013,REG,@,Duquesne,A-10,W,74,66,,9,5,W 1
15,Thu Jan 17 2013,REG,@,Virginia Commonwealth,A-10,L,86,92,OT,9,6,L 1
16,Sat Jan 19 2013,REG,,Pennsylvania,Ivy,W,79,59,,10,6,W 1
17,Wed Jan 23 2013,REG,,St. Bonaventure,A-10,L,64,73,,10,7,L 1
18,Sat Jan 26 2013,REG,,Xavier,A-10,W,59,49,,11,7,W 1
19,Wed Jan 30 2013,REG,@,Fordham,A-10,W,66,62,,12,7,W 2
20,Sat Feb 2 2013,REG,,Temple,A-10,W,70,69,,13,7,W 3
21,Wed Feb 6 2013,REG,@,Dayton,A-10,L,54,60,,13,8,L 1
22,Sat Feb 9 2013,REG,@,Massachusetts,A-10,L,62,80,,13,9,L 2
23,Wed Feb 13 2013,REG,,Richmond,A-10,W,61,55,,14,9,W 1
24,Sat Feb 16 2013,REG,@,La Salle,A-10,L,64,76,,14,10,L 1
25,Sat Feb 23 2013,REG,,George Washington,A-10,W,71,59,,15,10,W 1
26,Wed Feb 27 2013,REG,@,Saint Louis,A-10,L,53,70,,15,11,L 1
27,Sat Mar 2 2013,REG,,Fordham,A-10,W,82,56,,16,11,W 1
28,Wed Mar 6 2013,REG,,Rhode Island,A-10,W,81,44,,17,11,W 2
29,Sat Mar 9 2013,REG,@,Charlotte,A-10,L,40,52,,17,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,Xavier,A-10,W,58,57,,18,12,W 1
31,Fri Mar 15 2013,CTOURN,N,Virginia Commonwealth,A-10,L,79,82,,18,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 19 2013,NIT,,St. John's (NY),Big East,L,61,63,,18,14,L 2
