G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,South Carolina Upstate,A-Sun,W,76,59,,1,0,W 1
2,Wed Nov 14 2012,REG,,Santa Clara,WCC,L,62,74,,1,1,L 1
3,Mon Nov 19 2012,REG,N,Texas A&M,SEC,W,70,49,,2,1,W 1
4,Tue Nov 20 2012,REG,N,Kansas,Big 12,L,59,73,,2,2,L 1
5,Sat Nov 24 2012,REG,,Southern Illinois,MVC,W,61,51,,3,2,W 1
6,Wed Nov 28 2012,REG,@,Washington,Pac-12,L,61,66,,3,3,L 1
7,Sun Dec 2 2012,REG,,Valparaiso,Horizon,W,62,49,,4,3,W 1
8,Wed Dec 5 2012,REG,,North Texas,Sun Belt,W,67,63,,5,3,W 2
9,Sat Dec 15 2012,REG,,Tennessee-Martin,OVC,W,73,51,,6,3,W 3
10,Wed Dec 19 2012,REG,,Eastern Illinois,OVC,W,72,45,,7,3,W 4
11,Sat Dec 22 2012,REG,,Loyola Marymount,WCC,W,65,44,,8,3,W 5
12,Fri Dec 28 2012,REG,,Southern Illinois-Edwardsville,OVC,W,68,41,,9,3,W 6
13,Mon Dec 31 2012,REG,,New Mexico,MWC,W,60,46,,10,3,W 7
14,Fri Jan 4 2013,REG,,Savannah State,MEAC,W,67,59,,11,3,W 8
15,Thu Jan 10 2013,REG,,Massachusetts,A-10,W,70,62,,12,3,W 9
16,Sat Jan 12 2013,REG,@,Temple,A-10,L,54,64,,12,4,L 1
17,Sat Jan 19 2013,REG,,Rhode Island,A-10,L,80,82,OT,12,5,L 2
18,Wed Jan 23 2013,REG,@,Duquesne,A-10,W,73,64,,13,5,W 1
19,Sat Jan 26 2013,REG,@,St. Bonaventure,A-10,W,67,57,,14,5,W 2
20,Thu Jan 31 2013,REG,,Butler,A-10,W,75,58,,15,5,W 3
21,Sat Feb 2 2013,REG,,Dayton,A-10,W,81,52,,16,5,W 4
22,Wed Feb 6 2013,REG,@,Fordham,A-10,W,90,73,,17,5,W 5
23,Sat Feb 9 2013,REG,@,Richmond,A-10,W,56,46,,18,5,W 6
24,Sat Feb 16 2013,REG,,Charlotte,A-10,W,76,58,,19,5,W 7
25,Tue Feb 19 2013,REG,,Virginia Commonwealth,A-10,W,76,62,,20,5,W 8
26,Fri Feb 22 2013,REG,@,Butler,A-10,W,65,61,,21,5,W 9
27,Wed Feb 27 2013,REG,,Saint Joseph's,A-10,W,70,53,,22,5,W 10
28,Sat Mar 2 2013,REG,@,George Washington,A-10,W,66,58,,23,5,W 11
29,Wed Mar 6 2013,REG,@,Xavier,A-10,L,66,77,OT,23,6,L 1
30,Sat Mar 9 2013,REG,,La Salle,A-10,W,78,54,,24,6,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 15 2013,CTOURN,N,Charlotte,A-10,W,72,55,,25,6,W 2
32,Sat Mar 16 2013,CTOURN,N,Butler,A-10,W,67,56,,26,6,W 3
33,Sun Mar 17 2013,CTOURN,N,Virginia Commonwealth,A-10,W,62,56,,27,6,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Thu Mar 21 2013,NCAA,N,New Mexico State,WAC,W,64,44,,28,6,W 5
35,Sat Mar 23 2013,NCAA,N,Oregon,Pac-12,L,57,74,,28,7,L 1
