G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Sonoma State,,W,95,69,,1,0,W 1
2,Thu Nov 15 2012,REG,@,Utah State,WAC,W,67,58,,2,0,W 2
3,Sun Nov 18 2012,REG,,Eastern Washington,Big Sky,W,85,66,,3,0,W 3
4,Thu Nov 22 2012,REG,N,Drexel,CAA,W,76,64,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Pacific,Big West,L,66,76,,4,1,L 1
6,Sun Nov 25 2012,REG,N,Georgia Tech,ACC,L,56,65,,4,2,L 2
7,Sat Dec 1 2012,REG,,Cal Poly,Big West,W,86,68,,5,2,W 1
8,Wed Dec 5 2012,REG,@,Drake,MVC,W,88,73,,6,2,W 2
9,Tue Dec 11 2012,REG,,Jackson State,SWAC,W,120,67,,7,2,W 3
10,Wed Dec 19 2012,REG,,Pacific,Big West,W,74,46,,8,2,W 4
11,Sun Dec 23 2012,REG,@,Northern Iowa,MVC,L,75,82,,8,3,L 1
12,Thu Dec 27 2012,REG,,Rhode Island,A-10,W,82,59,,9,3,W 1
13,Sun Dec 30 2012,REG,,Yale,Ivy,W,78,62,,10,3,W 2
14,Mon Dec 31 2012,REG,,Harvard,Ivy,W,70,69,,11,3,W 3
15,Sat Jan 5 2013,REG,,Loyola Marymount,WCC,W,74,61,,12,3,W 4
16,Thu Jan 10 2013,REG,@,Gonzaga,WCC,L,78,83,,12,4,L 1
17,Sat Jan 12 2013,REG,,San Francisco,WCC,W,78,72,,13,4,W 1
18,Wed Jan 16 2013,REG,@,Brigham Young,WCC,W,70,69,,14,4,W 2
19,Sat Jan 19 2013,REG,@,Portland,WCC,W,60,38,,15,4,W 3
20,Thu Jan 24 2013,REG,,San Diego,WCC,W,81,48,,16,4,W 4
21,Sat Jan 26 2013,REG,,Pepperdine,WCC,W,84,72,,17,4,W 5
22,Wed Jan 30 2013,REG,@,San Francisco,WCC,W,67,63,,18,4,W 6
23,Sat Feb 2 2013,REG,,Portland,WCC,W,77,42,,19,4,W 7
24,Thu Feb 7 2013,REG,@,Santa Clara,WCC,W,84,63,,20,4,W 8
25,Sat Feb 9 2013,REG,@,San Diego,WCC,W,74,64,,21,4,W 9
26,Thu Feb 14 2013,REG,,Gonzaga,WCC,L,60,77,,21,5,L 1
27,Sat Feb 16 2013,REG,@,Loyola Marymount,WCC,W,61,50,,22,5,W 1
28,Thu Feb 21 2013,REG,,Brigham Young,WCC,W,64,57,,23,5,W 2
29,Sat Feb 23 2013,REG,,Creighton,MVC,W,74,66,,24,5,W 3
30,Wed Feb 27 2013,REG,@,Pepperdine,WCC,W,87,48,,25,5,W 4
31,Sat Mar 2 2013,REG,,Santa Clara,WCC,W,80,67,,26,5,W 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,San Diego,WCC,W,69,66,OT,27,5,W 6
33,Mon Mar 11 2013,CTOURN,N,Gonzaga,WCC,L,51,65,,27,6,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Tue Mar 19 2013,NCAA,N,Middle Tennessee,Sun Belt,W,67,54,,28,6,W 1
35,Thu Mar 21 2013,NCAA,N,Memphis,CUSA,L,52,54,,28,7,L 1
