G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Arkansas,SEC,L,68,73,,0,1,L 1
2,Tue Nov 13 2012,REG,,Hardin-Simmons,,W,82,31,,1,1,W 1
3,Thu Nov 15 2012,REG,@,Indiana,Big Ten,L,45,99,,1,2,L 1
4,Mon Nov 19 2012,REG,,Southern Mississippi,CUSA,L,49,61,,1,3,L 2
5,Tue Nov 20 2012,REG,,Liberty,Big South,W,64,50,,2,3,W 1
6,Wed Nov 21 2012,REG,,California-Irvine,Big West,W,65,63,OT,3,3,W 2
7,Tue Nov 27 2012,REG,@,Texas,Big 12,L,37,65,,3,4,L 1
8,Sat Dec 1 2012,REG,@,Northern Arizona,Big Sky,L,60,77,,3,5,L 2
9,Sat Dec 8 2012,REG,@,Houston Baptist,GWC,W,69,57,,4,5,W 1
10,Sat Dec 15 2012,REG,@,Samford,Southern,W,73,57,,5,5,W 2
11,Wed Dec 19 2012,REG,,Huston-Tillotson,,W,89,53,,6,5,W 3
12,Sat Dec 29 2012,REG,,Howard Payne,,W,90,49,,7,5,W 4
13,Fri Jan 4 2013,REG,,Texas A&M-Corpus Christi,Southland,W,61,57,,8,5,W 5
14,Mon Jan 7 2013,REG,,Northwestern State,Southland,L,64,73,,8,6,L 1
15,Thu Jan 10 2013,REG,@,Lamar,Southland,W,68,57,,9,6,W 1
16,Sat Jan 12 2013,REG,@,McNeese State,Southland,W,72,57,,10,6,W 2
17,Thu Jan 17 2013,REG,,Central Arkansas,Southland,W,63,52,,11,6,W 3
18,Sat Jan 19 2013,REG,,Oral Roberts,Southland,L,61,65,OT,11,7,L 1
19,Thu Jan 24 2013,REG,@,Southeastern Louisiana,Southland,L,65,69,,11,8,L 2
20,Sat Jan 26 2013,REG,@,Nicholls State,Southland,L,67,70,OT,11,9,L 3
21,Sat Feb 2 2013,REG,@,Texas A&M-Corpus Christi,Southland,W,55,51,,12,9,W 1
22,Thu Feb 7 2013,REG,,McNeese State,Southland,L,58,59,OT,12,10,L 1
23,Sat Feb 9 2013,REG,,Lamar,Southland,W,78,40,,13,10,W 1
24,Thu Feb 14 2013,REG,@,Oral Roberts,Southland,L,64,74,,13,11,L 1
25,Sat Feb 16 2013,REG,@,Central Arkansas,Southland,W,80,75,,14,11,W 1
26,Wed Feb 20 2013,REG,,Stephen F. Austin,Southland,L,44,50,,14,12,L 1
27,Sat Feb 23 2013,REG,@,Eastern Washington,Big Sky,L,76,81,,14,13,L 2
28,Thu Feb 28 2013,REG,,Nicholls State,Southland,L,53,56,,14,14,L 3
29,Sat Mar 2 2013,REG,,Southeastern Louisiana,Southland,W,54,45,,15,14,W 1
30,Thu Mar 7 2013,REG,@,Stephen F. Austin,Southland,L,42,57,,15,15,L 1
31,Sat Mar 9 2013,REG,@,Northwestern State,Southland,L,73,84,,15,16,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Central Arkansas,Southland,W,69,63,,16,16,W 1
33,Thu Mar 14 2013,CTOURN,N,Oral Roberts,Southland,W,58,55,,17,16,W 2
34,Fri Mar 15 2013,CTOURN,N,Northwestern State,Southland,L,52,55,,17,17,L 1
