G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,N,Syracuse,Big East,L,49,62,,0,1,L 1
2,Tue Nov 13 2012,REG,,San Diego Christian,,W,91,57,,1,1,W 1
3,Sat Nov 17 2012,REG,@,Missouri State,MVC,W,60,44,,2,1,W 2
4,Wed Nov 21 2012,REG,,Arkansas-Pine Bluff,SWAC,W,79,43,,3,1,W 3
5,Sun Nov 25 2012,REG,@,Southern California,Pac-12,W,66,60,,4,1,W 4
6,Sat Dec 1 2012,REG,N,UCLA,Pac-12,W,78,69,,5,1,W 5
7,Mon Dec 3 2012,REG,,Texas Southern,SWAC,W,74,62,,6,1,W 6
8,Thu Dec 6 2012,REG,,California-Santa Barbara,Big West,W,84,70,,7,1,W 7
9,Sat Dec 15 2012,REG,,San Diego,WCC,W,72,56,,8,1,W 8
10,Tue Dec 18 2012,REG,,Point Loma Nazarene,,W,76,49,,9,1,W 9
11,Sat Dec 22 2012,REG,N,San Francisco,WCC,W,80,58,,10,1,W 10
12,Sun Dec 23 2012,REG,N,Indiana State,MVC,W,62,55,,11,1,W 11
13,Tue Dec 25 2012,REG,N,Arizona,Pac-12,L,67,68,,11,2,L 1
14,Wed Jan 2 2013,REG,,Cal State Bakersfield,Ind,W,72,57,,12,2,W 1
15,Wed Jan 9 2013,REG,@,Fresno State,MWC,W,65,62,,13,2,W 2
16,Sat Jan 12 2013,REG,,Colorado State,MWC,W,79,72,OT,14,2,W 3
17,Wed Jan 16 2013,REG,,Nevada-Las Vegas,MWC,L,75,82,,14,3,L 1
18,Sat Jan 19 2013,REG,@,Wyoming,MWC,L,45,58,,14,4,L 2
19,Wed Jan 23 2013,REG,@,Nevada,MWC,W,78,57,,15,4,W 1
20,Sat Jan 26 2013,REG,,New Mexico,MWC,W,55,34,,16,4,W 2
21,Sat Feb 2 2013,REG,@,Air Force,MWC,L,67,70,,16,5,L 1
22,Wed Feb 6 2013,REG,,Boise State,MWC,W,63,62,,17,5,W 1
23,Sat Feb 9 2013,REG,,Fresno State,MWC,W,75,53,,18,5,W 2
24,Wed Feb 13 2013,REG,@,Colorado State,MWC,L,60,66,,18,6,L 1
25,Sat Feb 16 2013,REG,@,Nevada-Las Vegas,MWC,L,70,72,,18,7,L 2
26,Tue Feb 19 2013,REG,,Wyoming,MWC,W,79,51,,19,7,W 1
27,Sat Feb 23 2013,REG,,Nevada,MWC,W,88,75,,20,7,W 2
28,Wed Feb 27 2013,REG,@,New Mexico,MWC,L,60,70,,20,8,L 1
29,Wed Mar 6 2013,REG,,Air Force,MWC,W,58,51,,21,8,W 1
30,Sat Mar 9 2013,REG,@,Boise State,MWC,L,65,69,,21,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,Boise State,MWC,W,73,67,,22,9,W 1
32,Fri Mar 15 2013,CTOURN,N,New Mexico,MWC,L,50,60,,22,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Fri Mar 22 2013,NCAA,N,Oklahoma,Big 12,W,70,55,,23,10,W 1
34,Sun Mar 24 2013,NCAA,N,Florida Gulf Coast,A-Sun,L,71,81,,23,11,L 1
