G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,N,Stanford,Pac-12,L,62,74,,0,1,L 1
2,Tue Nov 13 2012,REG,,Cal State East Bay,,W,73,58,,1,1,W 1
3,Mon Nov 19 2012,REG,@,American,Patriot,W,67,53,,2,1,W 2
4,Sat Nov 24 2012,REG,,Columbia,Ivy,W,79,59,,3,1,W 3
5,Fri Nov 30 2012,REG,,Montana,Big Sky,W,78,68,,4,1,W 4
6,Tue Dec 4 2012,REG,,St. John's (NY),Big East,W,81,65,,5,1,W 5
7,Sat Dec 8 2012,REG,@,Pacific,Big West,L,59,67,,5,2,L 1
8,Sat Dec 15 2012,REG,@,Nevada,MWC,L,51,59,,5,3,L 2
9,Tue Dec 18 2012,REG,,Holy Cross,Patriot,L,63,73,,5,4,L 3
10,Sat Dec 22 2012,REG,N,San Diego State,MWC,L,58,80,,5,5,L 4
11,Sun Dec 23 2012,REG,N,Mississippi,SEC,L,78,85,,5,6,L 5
12,Tue Dec 25 2012,REG,N,East Tennessee State,A-Sun,W,67,49,,6,6,W 1
13,Sat Dec 29 2012,REG,,Dominican (CA),,W,93,76,,7,6,W 2
14,Wed Jan 2 2013,REG,@,Santa Clara,WCC,L,69,74,,7,7,L 1
15,Sat Jan 5 2013,REG,,Brigham Young,WCC,L,76,80,,7,8,L 2
16,Thu Jan 10 2013,REG,,San Diego,WCC,L,66,70,,7,9,L 3
17,Sat Jan 12 2013,REG,@,Saint Mary's (CA),WCC,L,72,78,,7,10,L 4
18,Thu Jan 17 2013,REG,,Santa Clara,WCC,L,54,85,,7,11,L 5
19,Sat Jan 19 2013,REG,,Loyola Marymount,WCC,W,62,53,,8,11,W 1
20,Thu Jan 24 2013,REG,@,Portland,WCC,W,75,72,,9,11,W 2
21,Sat Jan 26 2013,REG,@,Gonzaga,WCC,L,52,66,,9,12,L 1
22,Wed Jan 30 2013,REG,,Saint Mary's (CA),WCC,L,63,67,,9,13,L 2
23,Sat Feb 2 2013,REG,@,Pepperdine,WCC,W,86,78,,10,13,W 1
24,Sat Feb 9 2013,REG,@,Brigham Young,WCC,W,99,87,,11,13,W 2
25,Thu Feb 14 2013,REG,,Portland,WCC,L,76,78,,11,14,L 1
26,Sat Feb 16 2013,REG,,Gonzaga,WCC,L,61,71,,11,15,L 2
27,Thu Feb 21 2013,REG,@,Loyola Marymount,WCC,W,61,59,,12,15,W 1
28,Sat Feb 23 2013,REG,,Pepperdine,WCC,W,64,58,,13,15,W 2
29,Thu Feb 28 2013,REG,@,San Diego,WCC,W,83,70,,14,15,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 7 2013,CTOURN,N,Loyola Marymount,WCC,L,60,61,OT,14,16,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,REG,,Northern Kentucky,A-Sun,W,73,68,,15,16,W 1
