G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,New Orleans,Ind,L,68,72,,0,1,L 1
2,Tue Nov 13 2012,REG,,Houston,CUSA,L,75,77,,0,2,L 2
3,Thu Nov 15 2012,REG,,Weber State,Big Sky,W,68,67,OT,1,2,W 1
4,Tue Nov 20 2012,REG,,California-Santa Cruz,,W,94,54,,2,2,W 2
5,Mon Nov 26 2012,REG,@,Kansas,Big 12,L,57,70,,2,3,L 1
6,Sat Dec 1 2012,REG,@,Montana State,Big Sky,W,82,74,,3,3,W 1
7,Wed Dec 5 2012,REG,@,California-Davis,Big West,W,73,64,,4,3,W 2
8,Sat Dec 8 2012,REG,,Sacramento State,Big Sky,W,62,57,,5,3,W 3
9,Tue Dec 11 2012,REG,,Santa Clara,WCC,L,54,75,,5,4,L 1
10,Sat Dec 22 2012,REG,N,James Madison,CAA,L,68,77,,5,5,L 2
11,Sat Dec 29 2012,REG,@,Texas State,WAC,W,72,55,,6,5,W 1
12,Mon Dec 31 2012,REG,@,Texas-San Antonio,WAC,W,80,67,,7,5,W 2
13,Thu Jan 3 2013,REG,,Idaho,WAC,L,55,64,,7,6,L 1
14,Sat Jan 5 2013,REG,,Seattle,WAC,W,76,71,,8,6,W 1
15,Tue Jan 8 2013,REG,,New Orleans,Ind,W,71,64,,9,6,W 2
16,Fri Jan 11 2013,REG,@,Utah State,WAC,L,60,66,,9,7,L 1
17,Thu Jan 17 2013,REG,@,Denver,WAC,L,37,73,,9,8,L 2
18,Sat Jan 19 2013,REG,@,New Mexico State,WAC,L,53,70,,9,9,L 3
19,Thu Jan 24 2013,REG,,Louisiana Tech,WAC,L,54,76,,9,10,L 4
20,Sat Jan 26 2013,REG,,Texas-Arlington,WAC,L,47,66,,9,11,L 5
21,Thu Jan 31 2013,REG,@,Seattle,WAC,L,48,56,,9,12,L 6
22,Sat Feb 2 2013,REG,@,Idaho,WAC,L,63,66,,9,13,L 7
23,Fri Feb 8 2013,REG,,Utah State,WAC,L,36,63,,9,14,L 8
24,Thu Feb 14 2013,REG,,New Mexico State,WAC,L,57,67,,9,15,L 9
25,Sat Feb 16 2013,REG,,Denver,WAC,L,41,62,,9,16,L 10
26,Thu Feb 28 2013,REG,@,Texas-Arlington,WAC,L,74,81,,9,17,L 11
27,Sat Mar 2 2013,REG,@,Louisiana Tech,WAC,L,61,88,,9,18,L 12
28,Sat Mar 9 2013,REG,,Texas State,WAC,L,67,90,,9,19,L 13
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
29,Tue Mar 12 2013,CTOURN,N,Texas-San Antonio,WAC,L,49,67,,9,20,L 14
