G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Montana State,Big Sky,W,87,72,,1,0,W 1
2,Sat Nov 17 2012,REG,@,Virginia,ACC,L,43,83,,1,1,L 1
3,Wed Nov 21 2012,REG,,Pacific Lutheran,,W,58,49,,2,1,W 1
4,Wed Nov 28 2012,REG,@,Stanford,Pac-12,L,57,68,,2,2,L 1
5,Sun Dec 2 2012,REG,,Boise State,MWC,L,64,87,,2,3,L 2
6,Mon Dec 10 2012,REG,@,Eastern Washington,Big Sky,W,75,69,,3,3,W 1
7,Thu Dec 13 2012,REG,,Washington,Pac-12,L,74,87,,3,4,L 1
8,Mon Dec 17 2012,REG,,Jackson State,SWAC,L,82,91,,3,5,L 2
9,Wed Dec 19 2012,REG,,Northern Illinois,MAC,W,75,48,,4,5,W 1
10,Sat Dec 22 2012,REG,,Campbell,Big South,W,72,49,,5,5,W 2
11,Sat Dec 29 2012,REG,,Idaho,WAC,L,64,71,,5,6,L 1
12,Thu Jan 3 2013,REG,@,Utah State,WAC,L,66,75,,5,7,L 2
13,Sat Jan 5 2013,REG,@,San Jose State,WAC,L,71,76,,5,8,L 3
14,Thu Jan 10 2013,REG,,New Mexico State,WAC,L,82,83,2OT,5,9,L 4
15,Sat Jan 12 2013,REG,,Denver,WAC,L,51,64,,5,10,L 5
16,Thu Jan 17 2013,REG,@,Texas-Arlington,WAC,W,61,44,,6,10,W 1
17,Sat Jan 19 2013,REG,@,Louisiana Tech,WAC,L,71,78,,6,11,L 1
18,Thu Jan 24 2013,REG,,Texas-San Antonio,WAC,L,75,78,,6,12,L 2
19,Sat Jan 26 2013,REG,,Texas State,WAC,L,83,86,,6,13,L 3
20,Thu Jan 31 2013,REG,,San Jose State,WAC,W,56,48,,7,13,W 1
21,Sat Feb 2 2013,REG,,Utah State,WAC,L,46,68,,7,14,L 1
22,Thu Feb 7 2013,REG,@,Denver,WAC,L,55,72,,7,15,L 2
23,Sat Feb 9 2013,REG,@,New Mexico State,WAC,L,57,60,,7,16,L 3
24,Thu Feb 14 2013,REG,,Louisiana Tech,WAC,L,58,64,,7,17,L 4
25,Sat Feb 16 2013,REG,,Texas-Arlington,WAC,L,63,65,,7,18,L 5
26,Thu Feb 28 2013,REG,@,Texas State,WAC,L,65,67,,7,19,L 6
27,Sat Mar 2 2013,REG,@,Texas-San Antonio,WAC,W,53,37,,8,19,W 1
28,Wed Mar 6 2013,REG,N,Cal State Bakersfield,Ind,L,74,75,OT,8,20,L 1
29,Sat Mar 9 2013,REG,@,Idaho,WAC,L,72,76,,8,21,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Tue Mar 12 2013,CTOURN,N,Texas State,WAC,L,56,68,,8,22,L 3
