G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Missouri-Kansas City,Summit,W,75,36,,1,0,W 1
2,Mon Nov 12 2012,REG,,Norfolk State,MEAC,W,78,65,,2,0,W 2
3,Sat Nov 17 2012,REG,N,Washington,Pac-12,L,73,84,OT,2,1,L 1
4,Sun Nov 18 2012,REG,N,Rhode Island,A-10,W,60,55,,3,1,W 1
5,Wed Nov 21 2012,REG,,Maine,AEC,W,76,49,,4,1,W 2
6,Sun Nov 25 2012,REG,,Saint Peter's,MAAC,W,76,61,,5,1,W 3
7,Thu Nov 29 2012,REG,@,Louisiana State,SEC,L,67,72,,5,2,L 1
8,Tue Dec 4 2012,REG,,NJIT,GWC,W,68,59,,6,2,W 1
9,Sat Dec 8 2012,REG,@,Wake Forest,ACC,W,71,67,,7,2,W 2
10,Sun Dec 16 2012,REG,,North Carolina A&T,MEAC,W,77,66,,8,2,W 3
11,Wed Dec 19 2012,REG,,Longwood,Big South,W,79,61,,9,2,W 4
12,Sat Dec 22 2012,REG,N,Long Island University,NEC,W,89,58,,10,2,W 5
13,Fri Dec 28 2012,REG,,Stony Brook,AEC,W,60,59,,11,2,W 6
14,Wed Jan 2 2013,REG,@,DePaul,Big East,W,73,72,,12,2,W 7
15,Sat Jan 5 2013,REG,@,Notre Dame,Big East,L,74,93,,12,3,L 1
16,Wed Jan 9 2013,REG,,Louisville,Big East,L,58,73,,12,4,L 2
17,Sun Jan 13 2013,REG,,Providence,Big East,L,55,67,,12,5,L 3
18,Wed Jan 16 2013,REG,@,Marquette,Big East,L,62,69,,12,6,L 4
19,Wed Jan 23 2013,REG,,South Florida,Big East,W,55,47,,13,6,W 1
20,Sun Jan 27 2013,REG,@,St. John's (NY),Big East,L,67,71,,13,7,L 1
21,Wed Jan 30 2013,REG,@,Georgetown,Big East,L,52,74,,13,8,L 2
22,Sat Feb 2 2013,REG,,Cincinnati,Big East,L,59,65,,13,9,L 3
23,Mon Feb 4 2013,REG,@,Pittsburgh,Big East,L,46,56,,13,10,L 4
24,Sun Feb 10 2013,REG,,Connecticut,Big East,L,67,78,,13,11,L 5
25,Tue Feb 12 2013,REG,@,Rutgers,Big East,L,55,57,,13,12,L 6
26,Sat Feb 16 2013,REG,,Syracuse,Big East,L,65,76,,13,13,L 7
27,Tue Feb 19 2013,REG,,Marquette,Big East,L,46,67,,13,14,L 8
28,Sat Feb 23 2013,REG,@,Louisville,Big East,L,61,79,,13,15,L 9
29,Mon Feb 25 2013,REG,,Villanova,Big East,W,66,65,,14,15,W 1
30,Tue Mar 5 2013,REG,@,Providence,Big East,L,66,76,,14,16,L 1
31,Fri Mar 8 2013,REG,,Rutgers,Big East,L,51,56,,14,17,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 12 2013,CTOURN,N,South Florida,Big East,W,46,42,OT,15,17,W 1
33,Wed Mar 13 2013,CTOURN,N,Syracuse,Big East,L,63,75,,15,18,L 1
