G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Florida State,ACC,W,76,71,,1,0,W 1
2,Wed Nov 14 2012,REG,,William Carey,,W,82,64,,2,0,W 2
3,Mon Nov 19 2012,REG,N,Tennessee State,OVC,L,57,68,,2,1,L 1
4,Tue Nov 20 2012,REG,N,Monmouth,NEC,L,71,73,,2,2,L 2
5,Wed Nov 21 2012,REG,@,Georgia State,CAA,L,73,75,,2,3,L 3
6,Thu Nov 29 2012,REG,@,Florida Atlantic,Sun Belt,W,77,66,,3,3,W 1
7,Sat Dec 1 2012,REG,@,Florida International,Sun Belt,W,79,68,,4,3,W 2
8,Tue Dec 4 2012,REG,,New Mexico State,WAC,L,52,58,,4,4,L 1
9,Sat Dec 8 2012,REG,@,Alabama-Birmingham,CUSA,L,78,92,,4,5,L 2
10,Sun Dec 16 2012,REG,,Texas A&M-Corpus Christi,Southland,W,74,69,,5,5,W 1
11,Sat Dec 22 2012,REG,,Arkansas-Little Rock,Sun Belt,W,77,62,,6,5,W 2
12,Sat Dec 29 2012,REG,,Arkansas State,Sun Belt,L,54,63,,6,6,L 1
13,Thu Jan 3 2013,REG,@,Louisiana-Monroe,Sun Belt,W,77,72,,7,6,W 1
14,Sat Jan 5 2013,REG,,Middle Tennessee,Sun Belt,L,56,60,,7,7,L 1
15,Thu Jan 10 2013,REG,@,Louisiana-Lafayette,Sun Belt,W,91,89,2OT,8,7,W 1
16,Sat Jan 12 2013,REG,@,North Texas,Sun Belt,L,56,66,,8,8,L 1
17,Thu Jan 17 2013,REG,,Louisiana-Monroe,Sun Belt,W,71,56,,9,8,W 1
18,Thu Jan 24 2013,REG,,Western Kentucky,Sun Belt,W,65,57,,10,8,W 2
19,Sun Jan 27 2013,REG,,Florida International,Sun Belt,W,60,58,,11,8,W 3
20,Thu Jan 31 2013,REG,@,Arkansas State,Sun Belt,L,62,74,,11,9,L 1
21,Sat Feb 2 2013,REG,@,Arkansas-Little Rock,Sun Belt,W,70,66,,12,9,W 1
22,Thu Feb 7 2013,REG,,Troy,Sun Belt,W,65,62,,13,9,W 2
23,Sat Feb 9 2013,REG,,Florida Atlantic,Sun Belt,W,72,71,,14,9,W 3
24,Thu Feb 14 2013,REG,,Louisiana-Lafayette,Sun Belt,W,88,64,,15,9,W 4
25,Thu Feb 21 2013,REG,@,Middle Tennessee,Sun Belt,L,50,85,,15,10,L 1
26,Sat Feb 23 2013,REG,,North Texas,Sun Belt,W,69,57,,16,10,W 1
27,Thu Feb 28 2013,REG,@,Western Kentucky,Sun Belt,L,73,79,,16,11,L 1
28,Sat Mar 2 2013,REG,@,Troy,Sun Belt,W,53,49,,17,11,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
29,Sat Mar 9 2013,CTOURN,N,Western Kentucky,Sun Belt,L,59,62,,17,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 20 2013,CIT,@,Tulane,CUSA,L,73,84,,17,13,L 2
