G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Saint Louis,A-10,L,59,76,,0,1,L 1
2,Mon Nov 12 2012,REG,,Hiwassee,,W,90,36,,1,1,W 1
3,Sat Nov 17 2012,REG,@,Texas-San Antonio,WAC,L,59,67,,1,2,L 1
4,Tue Nov 20 2012,REG,@,Santa Clara,WCC,L,65,85,,1,3,L 2
5,Wed Nov 21 2012,REG,N,Eastern Washington,Big Sky,L,70,75,,1,4,L 3
6,Fri Nov 23 2012,REG,N,Utah Valley,GWC,W,75,50,,2,4,W 1
7,Thu Nov 29 2012,REG,@,North Carolina-Asheville,Big South,W,73,71,,3,4,W 2
8,Sun Dec 2 2012,REG,@,Kansas State,Big 12,L,53,72,,3,5,L 1
9,Sat Dec 8 2012,REG,,Texas-San Antonio,WAC,W,88,77,,4,5,W 1
10,Mon Dec 17 2012,REG,@,Baylor,Big 12,L,57,73,,4,6,L 1
11,Fri Dec 21 2012,REG,@,Tennessee State,OVC,L,64,67,,4,7,L 2
12,Sun Dec 30 2012,REG,,Coastal Georgia,,W,85,55,,5,7,W 1
13,Wed Jan 2 2013,REG,,Hampton,MEAC,W,68,49,,6,7,W 2
14,Sat Jan 5 2013,REG,@,Northern Kentucky,A-Sun,W,60,54,,7,7,W 3
15,Mon Jan 7 2013,REG,@,Lipscomb,A-Sun,W,98,61,,8,7,W 4
16,Thu Jan 10 2013,REG,,Florida Gulf Coast,A-Sun,L,71,72,OT,8,8,L 1
17,Sat Jan 12 2013,REG,,Stetson,A-Sun,L,64,66,,8,9,L 2
18,Thu Jan 17 2013,REG,@,Kennesaw State,A-Sun,W,66,54,,9,9,W 1
19,Sat Jan 19 2013,REG,@,Mercer,A-Sun,L,74,82,,9,10,L 1
20,Thu Jan 24 2013,REG,,North Florida,A-Sun,W,63,57,,10,10,W 1
21,Sat Jan 26 2013,REG,,Jacksonville,A-Sun,W,79,64,,11,10,W 2
22,Mon Jan 28 2013,REG,,East Tennessee State,A-Sun,W,88,71,,12,10,W 3
23,Thu Jan 31 2013,REG,,Lipscomb,A-Sun,W,83,71,,13,10,W 4
24,Sat Feb 2 2013,REG,,Northern Kentucky,A-Sun,L,65,70,,13,11,L 1
25,Thu Feb 7 2013,REG,@,Stetson,A-Sun,L,66,73,,13,12,L 2
26,Sat Feb 9 2013,REG,@,Florida Gulf Coast,A-Sun,L,49,74,,13,13,L 3
27,Thu Feb 14 2013,REG,,Mercer,A-Sun,L,59,70,,13,14,L 4
28,Sat Feb 16 2013,REG,,Kennesaw State,A-Sun,W,79,67,,14,14,W 1
29,Thu Feb 21 2013,REG,@,Jacksonville,A-Sun,L,64,68,,14,15,L 1
30,Sat Feb 23 2013,REG,@,North Florida,A-Sun,L,53,77,,14,16,L 2
31,Fri Mar 1 2013,REG,@,East Tennessee State,A-Sun,W,88,56,,15,16,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 7 2013,CTOURN,N,Jacksonville,A-Sun,W,76,62,,16,16,W 2
33,Fri Mar 8 2013,CTOURN,N,Mercer,A-Sun,L,64,72,,16,17,L 1
