G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Milwaukee,Horizon,W,82,75,OT,1,0,W 1
2,Fri Nov 16 2012,REG,,Morgan State,MEAC,W,87,71,,2,0,W 2
3,Mon Nov 19 2012,REG,,Rider,MAAC,W,88,76,,3,0,W 3
4,Wed Nov 21 2012,REG,,Elon,Southern,L,53,65,,3,1,L 1
5,Sat Nov 24 2012,REG,N,Missouri State,MVC,W,74,67,OT,4,1,W 1
6,Sun Nov 25 2012,REG,N,Arkansas-Little Rock,Sun Belt,W,74,62,,5,1,W 2
7,Thu Nov 29 2012,REG,@,St. John's (NY),Big East,L,65,89,,5,2,L 1
8,Sun Dec 2 2012,REG,,Clemson,ACC,L,55,64,,5,3,L 2
9,Fri Dec 7 2012,REG,,Jacksonville,A-Sun,W,91,74,,6,3,W 1
10,Wed Dec 19 2012,REG,,Appalachian State,Southern,W,74,69,,7,3,W 2
11,Sat Dec 22 2012,REG,N,Manhattan,MAAC,W,63,57,,8,3,W 3
12,Sat Dec 29 2012,REG,,Presbyterian,Big South,W,76,60,,9,3,W 4
13,Sat Jan 5 2013,REG,,South Carolina State,MEAC,W,80,69,,10,3,W 5
14,Wed Jan 9 2013,REG,@,Mississippi State,SEC,L,54,56,,10,4,L 1
15,Sat Jan 12 2013,REG,,Auburn,SEC,L,71,74,,10,5,L 2
16,Wed Jan 16 2013,REG,@,Louisiana State,SEC,W,82,73,OT,11,5,W 1
17,Sat Jan 19 2013,REG,,Vanderbilt,SEC,L,51,58,,11,6,L 1
18,Tue Jan 22 2013,REG,@,Missouri,SEC,L,65,71,,11,7,L 2
19,Sat Jan 26 2013,REG,,Arkansas,SEC,W,75,54,,12,7,W 1
20,Wed Jan 30 2013,REG,@,Florida,SEC,L,36,75,,12,8,L 1
21,Sat Feb 2 2013,REG,,Georgia,SEC,L,56,67,,12,9,L 2
22,Tue Feb 5 2013,REG,@,Kentucky,SEC,L,55,77,,12,10,L 3
23,Sun Feb 10 2013,REG,,Tennessee,SEC,L,61,66,,12,11,L 4
24,Thu Feb 14 2013,REG,,Louisiana State,SEC,L,46,64,,12,12,L 5
25,Sat Feb 16 2013,REG,@,Alabama,SEC,L,58,68,,12,13,L 6
26,Wed Feb 20 2013,REG,,Mississippi,SEC,W,63,62,,13,13,W 1
27,Sat Feb 23 2013,REG,@,Georgia,SEC,L,54,62,OT,13,14,L 1
28,Thu Feb 28 2013,REG,,Missouri,SEC,L,68,90,,13,15,L 2
29,Sat Mar 2 2013,REG,@,Texas A&M,SEC,L,56,74,,13,16,L 3
30,Wed Mar 6 2013,REG,,Mississippi State,SEC,W,79,72,,14,16,W 1
31,Sat Mar 9 2013,REG,@,Vanderbilt,SEC,L,64,74,,14,17,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Mississippi State,SEC,L,59,70,,14,18,L 2
