G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Alabama,SEC,L,67,70,,0,1,L 1
2,Tue Nov 13 2012,REG,,Tennessee State,OVC,W,78,71,,1,1,W 1
3,Fri Nov 16 2012,REG,@,Hofstra,CAA,L,63,66,,1,2,L 1
4,Sat Nov 17 2012,REG,N,Marshall,CUSA,W,78,77,,2,2,W 1
5,Sun Nov 18 2012,REG,N,District of Columbia,,W,96,48,,3,2,W 2
6,Wed Nov 21 2012,REG,,Southwest State (MN),,W,81,72,,4,2,W 3
7,Wed Nov 28 2012,REG,,North Dakota,Big Sky,W,71,70,,5,2,W 4
8,Sat Dec 1 2012,REG,,Nebraska-Omaha,Summit,W,78,63,,6,2,W 5
9,Tue Dec 4 2012,REG,@,Minnesota,Big Ten,L,64,88,,6,3,L 1
10,Thu Dec 6 2012,REG,,Dakota State,,W,83,52,,7,3,W 1
11,Sun Dec 9 2012,REG,,Cal State Bakersfield,Ind,W,69,63,,8,3,W 2
12,Sat Dec 15 2012,REG,@,Montana,Big Sky,W,68,67,2OT,9,3,W 3
13,Wed Dec 19 2012,REG,@,Belmont,OVC,L,49,76,,9,4,L 1
14,Sat Dec 22 2012,REG,@,New Mexico,MWC,W,70,65,,10,4,W 1
15,Sat Dec 29 2012,REG,@,North Dakota State,Summit,L,62,65,,10,5,L 1
16,Thu Jan 3 2013,REG,@,Missouri-Kansas City,Summit,W,77,61,,11,5,W 1
17,Sat Jan 5 2013,REG,@,South Dakota,Summit,L,71,74,,11,6,L 1
18,Thu Jan 10 2013,REG,,Oakland,Summit,W,81,74,,12,6,W 1
19,Sat Jan 12 2013,REG,,IPFW,Summit,W,83,57,,13,6,W 2
20,Thu Jan 17 2013,REG,@,Western Illinois,Summit,W,59,53,,14,6,W 3
21,Sat Jan 19 2013,REG,@,IUPUI,Summit,W,80,65,,15,6,W 4
22,Sat Jan 26 2013,REG,,North Dakota State,Summit,W,69,53,,16,6,W 5
23,Thu Jan 31 2013,REG,,South Dakota,Summit,W,67,54,,17,6,W 6
24,Sat Feb 2 2013,REG,,Missouri-Kansas City,Summit,W,88,57,,18,6,W 7
25,Thu Feb 7 2013,REG,@,IPFW,Summit,W,80,74,,19,6,W 8
26,Sat Feb 9 2013,REG,@,Oakland,Summit,L,83,88,,19,7,L 1
27,Thu Feb 14 2013,REG,,IUPUI,Summit,W,82,45,,20,7,W 1
28,Sat Feb 16 2013,REG,,Western Illinois,Summit,W,64,55,,21,7,W 2
29,Wed Feb 20 2013,REG,@,Cal State Bakersfield,Ind,L,78,79,2OT,21,8,L 1
30,Sat Feb 23 2013,REG,@,Murray State,OVC,L,62,73,,21,9,L 2
31,Thu Feb 28 2013,REG,@,Nebraska-Omaha,Summit,W,100,82,,22,9,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,IUPUI,Summit,W,66,49,,23,9,W 2
33,Mon Mar 11 2013,CTOURN,N,IPFW,Summit,W,72,56,,24,9,W 3
34,Tue Mar 12 2013,CTOURN,N,North Dakota State,Summit,W,73,67,,25,9,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,Michigan,Big Ten,L,56,71,,25,10,L 1
