G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Central Florida,CUSA,L,56,74,,0,1,L 1
2,Fri Nov 16 2012,REG,,Maryland-Eastern Shore,MEAC,W,78,59,,1,1,W 1
3,Sat Nov 17 2012,REG,,Loyola (IL),Horizon,W,68,50,,2,1,W 2
4,Sun Nov 18 2012,REG,,Western Michigan,MAC,L,53,58,,2,2,L 1
5,Tue Nov 20 2012,REG,,Bradley,MVC,W,82,63,,3,2,W 1
6,Mon Nov 26 2012,REG,@,Stetson,A-Sun,W,63,54,,4,2,W 2
7,Fri Nov 30 2012,REG,,Georgia,SEC,W,64,53,,5,2,W 3
8,Wed Dec 5 2012,REG,@,Oklahoma State,Big 12,L,49,61,,5,3,L 1
9,Tue Dec 18 2012,REG,,Youngstown State,Horizon,W,72,54,,6,3,W 1
10,Fri Dec 21 2012,REG,,Bowling Green State,MAC,W,87,84,3OT,7,3,W 2
11,Sat Dec 29 2012,REG,,George Mason,CAA,W,61,57,,8,3,W 3
12,Wed Jan 2 2013,REG,@,Central Florida,CUSA,W,65,56,,9,3,W 4
13,Sun Jan 6 2013,REG,,Syracuse,Big East,L,44,55,,9,4,L 1
14,Wed Jan 9 2013,REG,,Villanova,Big East,L,53,61,,9,5,L 2
15,Sat Jan 12 2013,REG,@,Louisville,Big East,L,38,64,,9,6,L 3
16,Thu Jan 17 2013,REG,@,Rutgers,Big East,L,67,70,,9,7,L 4
17,Sat Jan 19 2013,REG,,Georgetown,Big East,W,61,58,,10,7,W 1
18,Wed Jan 23 2013,REG,@,Seton Hall,Big East,L,47,55,,10,8,L 1
19,Sat Jan 26 2013,REG,,Notre Dame,Big East,L,65,73,,10,9,L 2
20,Mon Jan 28 2013,REG,@,Marquette,Big East,L,50,63,,10,10,L 3
21,Sun Feb 3 2013,REG,@,Connecticut,Big East,L,64,69,OT,10,11,L 4
22,Wed Feb 6 2013,REG,,Marquette,Big East,L,47,70,,10,12,L 5
23,Sat Feb 9 2013,REG,@,Villanova,Big East,L,40,68,,10,13,L 6
24,Wed Feb 13 2013,REG,,Providence,Big East,L,66,76,,10,14,L 7
25,Sun Feb 17 2013,REG,,Louisville,Big East,L,41,59,,10,15,L 8
26,Wed Feb 20 2013,REG,@,St. John's (NY),Big East,L,54,69,,10,16,L 9
27,Wed Feb 27 2013,REG,@,Pittsburgh,Big East,L,44,64,,10,17,L 10
28,Sun Mar 3 2013,REG,,DePaul,Big East,W,83,73,,11,17,W 1
29,Wed Mar 6 2013,REG,,Connecticut,Big East,W,65,51,,12,17,W 2
30,Sat Mar 9 2013,REG,@,Cincinnati,Big East,L,53,61,OT,12,18,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 12 2013,CTOURN,N,Seton Hall,Big East,L,42,46,OT,12,19,L 2
