G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Kansas,Big 12,L,55,74,,0,1,L 1
2,Mon Nov 12 2012,REG,,Lyon,,W,89,61,,1,1,W 1
3,Thu Nov 15 2012,REG,,McNeese State,Southland,W,64,53,,2,1,W 2
4,Sun Nov 18 2012,REG,@,Chattanooga,Southern,W,77,65,,3,1,W 3
5,Mon Nov 19 2012,REG,N,Louisiana Tech,WAC,L,63,67,,3,2,L 1
6,Tue Nov 20 2012,REG,N,Troy,Sun Belt,L,56,59,,3,3,L 2
7,Sat Nov 24 2012,REG,@,Illinois-Chicago,Horizon,L,45,56,,3,4,L 3
8,Mon Nov 26 2012,REG,,Hannibal-LaGrange,,W,96,55,,4,4,W 1
9,Thu Nov 29 2012,REG,@,New Orleans,Ind,W,83,67,,5,4,W 2
10,Sat Dec 1 2012,REG,@,Southeastern Louisiana,Southland,W,61,58,,6,4,W 3
11,Tue Dec 4 2012,REG,@,Missouri,SEC,L,65,81,,6,5,L 1
12,Sat Dec 8 2012,REG,,Central Arkansas,Southland,L,85,88,,6,6,L 2
13,Wed Dec 19 2012,REG,,New Orleans,Ind,W,94,71,,7,6,W 1
14,Sat Dec 22 2012,REG,@,Missouri-Kansas City,Summit,W,66,65,,8,6,W 2
15,Sat Dec 29 2012,REG,,Tennessee-Martin,OVC,W,65,60,,9,6,W 3
16,Thu Jan 3 2013,REG,,Austin Peay,OVC,W,86,84,,10,6,W 4
17,Sat Jan 5 2013,REG,,Murray State,OVC,L,66,74,,10,7,L 1
18,Thu Jan 10 2013,REG,@,Belmont,OVC,L,72,107,,10,8,L 2
19,Sat Jan 12 2013,REG,@,Tennessee State,OVC,L,69,81,,10,9,L 3
20,Thu Jan 17 2013,REG,,Morehead State,OVC,L,59,75,,10,10,L 4
21,Sat Jan 19 2013,REG,,Tennessee Tech,OVC,W,74,62,,11,10,W 1
22,Thu Jan 24 2013,REG,@,Southern Illinois-Edwardsville,OVC,L,77,80,,11,11,L 1
23,Sat Jan 26 2013,REG,@,Eastern Illinois,OVC,L,72,78,OT,11,12,L 2
24,Sat Feb 2 2013,REG,,Eastern Kentucky,OVC,L,72,81,,11,13,L 3
25,Thu Feb 7 2013,REG,,Southern Illinois-Edwardsville,OVC,W,76,67,,12,13,W 1
26,Sat Feb 9 2013,REG,,Eastern Illinois,OVC,W,77,64,,13,13,W 2
27,Sat Feb 16 2013,REG,@,Tennessee-Martin,OVC,W,96,74,,14,13,W 3
28,Wed Feb 20 2013,REG,@,Jacksonville State,OVC,L,65,67,,14,14,L 1
29,Sat Feb 23 2013,REG,,Ball State,MAC,L,82,85,,14,15,L 2
30,Thu Feb 28 2013,REG,@,Austin Peay,OVC,W,108,81,,15,15,W 1
31,Sat Mar 2 2013,REG,@,Murray State,OVC,W,84,68,,16,15,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 6 2013,CTOURN,N,Eastern Illinois,OVC,W,78,68,,17,15,W 3
33,Thu Mar 7 2013,CTOURN,N,Eastern Kentucky,OVC,L,69,84,,17,16,L 1
