G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,@,Wisconsin,Big Ten,L,47,87,,0,1,L 1
2,Tue Nov 13 2012,REG,@,Marquette,Big East,L,53,64,,0,2,L 2
3,Thu Nov 15 2012,REG,@,New Mexico State,WAC,L,56,81,,0,3,L 3
4,Tue Nov 20 2012,REG,,Louisiana College,,W,91,49,,1,3,W 1
5,Wed Nov 28 2012,REG,@,Louisiana Tech,WAC,L,62,99,,1,4,L 1
6,Sat Dec 1 2012,REG,,Southeast Missouri State,OVC,L,58,61,,1,5,L 2
7,Mon Dec 10 2012,REG,@,Louisiana-Monroe,Sun Belt,L,61,68,OT,1,6,L 3
8,Sun Dec 16 2012,REG,@,North Texas,Sun Belt,L,40,45,,1,7,L 4
9,Wed Dec 19 2012,REG,@,Florida,SEC,L,43,82,,1,8,L 5
10,Sat Dec 29 2012,REG,,Spring Hill,,W,71,61,,2,8,W 1
11,Thu Jan 3 2013,REG,,Oral Roberts,Southland,L,72,86,,2,9,L 1
12,Sat Jan 5 2013,REG,,Central Arkansas,Southland,W,72,68,,3,9,W 1
13,Mon Jan 7 2013,REG,@,Lamar,Southland,W,67,63,,4,9,W 2
14,Sat Jan 12 2013,REG,,Nicholls State,Southland,W,70,65,,5,9,W 3
15,Thu Jan 17 2013,REG,@,Stephen F. Austin,Southland,L,40,52,,5,10,L 1
16,Sat Jan 19 2013,REG,@,Northwestern State,Southland,L,68,103,,5,11,L 2
17,Thu Jan 24 2013,REG,,Sam Houston State,Southland,W,69,65,,6,11,W 1
18,Sat Jan 26 2013,REG,,Texas A&M-Corpus Christi,Southland,W,67,53,,7,11,W 2
19,Thu Jan 31 2013,REG,@,Central Arkansas,Southland,W,70,69,,8,11,W 3
20,Sat Feb 2 2013,REG,@,Oral Roberts,Southland,L,59,65,,8,12,L 1
21,Sat Feb 9 2013,REG,@,Nicholls State,Southland,W,73,62,,9,12,W 1
22,Thu Feb 14 2013,REG,,Northwestern State,Southland,L,76,79,,9,13,L 1
23,Sat Feb 16 2013,REG,,Stephen F. Austin,Southland,W,54,50,,10,13,W 1
24,Tue Feb 19 2013,REG,@,McNeese State,Southland,L,58,65,,10,14,L 1
25,Sat Feb 23 2013,REG,@,Winthrop,Big South,L,52,66,,10,15,L 2
26,Thu Feb 28 2013,REG,@,Texas A&M-Corpus Christi,Southland,L,64,78,,10,16,L 3
27,Sat Mar 2 2013,REG,@,Sam Houston State,Southland,L,45,54,,10,17,L 4
28,Thu Mar 7 2013,REG,,McNeese State,Southland,W,79,68,,11,17,W 1
29,Sat Mar 9 2013,REG,,Lamar,Southland,W,86,72,,12,17,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,McNeese State,Southland,W,85,65,,13,17,W 3
31,Fri Mar 15 2013,CTOURN,N,Stephen F. Austin,Southland,L,57,68,,13,18,L 1
