G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Coppin State,MEAC,W,87,73,,1,0,W 1
2,Tue Nov 13 2012,REG,,Long Beach State,Big West,W,62,44,,2,0,W 2
3,Mon Nov 19 2012,REG,N,Illinois,Big Ten,L,64,94,,2,1,L 1
4,Tue Nov 20 2012,REG,N,Texas,Big 12,W,59,53,OT,3,1,W 1
5,Wed Nov 21 2012,REG,N,Marquette,Big East,L,64,72,,3,2,L 1
6,Sun Nov 25 2012,REG,,San Diego State,MWC,L,60,66,,3,3,L 2
7,Mon Dec 3 2012,REG,@,Nebraska,Big Ten,L,51,63,,3,4,L 3
8,Wed Dec 5 2012,REG,@,New Mexico,MWC,L,67,75,,3,5,L 4
9,Sat Dec 8 2012,REG,,Minnesota,Big Ten,L,57,71,,3,6,L 5
10,Sat Dec 15 2012,REG,,California-Riverside,Big West,W,70,26,,4,6,W 1
11,Thu Dec 20 2012,REG,,California-Irvine,Big West,L,54,61,,4,7,L 1
12,Sat Dec 22 2012,REG,@,Georgia,SEC,L,56,64,,4,8,L 2
13,Sun Dec 30 2012,REG,,Dayton,A-10,W,63,61,OT,5,8,W 1
14,Thu Jan 3 2013,REG,,Stanford,Pac-12,W,71,69,,6,8,W 2
15,Sat Jan 5 2013,REG,,California,Pac-12,L,64,72,,6,9,L 1
16,Thu Jan 10 2013,REG,@,Colorado,Pac-12,L,60,66,,6,10,L 2
17,Sat Jan 12 2013,REG,@,Utah,Pac-12,W,76,59,,7,10,W 1
18,Thu Jan 17 2013,REG,,Oregon,Pac-12,L,74,76,,7,11,L 1
19,Sat Jan 19 2013,REG,,Oregon State,Pac-12,W,69,68,,8,11,W 1
20,Thu Jan 24 2013,REG,@,Arizona State,Pac-12,L,93,98,OT,8,12,L 1
21,Sat Jan 26 2013,REG,@,Arizona,Pac-12,L,50,74,,8,13,L 2
22,Wed Jan 30 2013,REG,@,UCLA,Pac-12,W,75,71,OT,9,13,W 1
23,Thu Feb 7 2013,REG,,Washington State,Pac-12,W,72,68,,10,13,W 2
24,Sun Feb 10 2013,REG,,Washington,Pac-12,W,71,60,,11,13,W 3
25,Thu Feb 14 2013,REG,@,Stanford,Pac-12,W,65,64,,12,13,W 4
26,Sun Feb 17 2013,REG,@,California,Pac-12,L,68,76,,12,14,L 1
27,Sun Feb 24 2013,REG,,UCLA,Pac-12,L,59,75,,12,15,L 2
28,Wed Feb 27 2013,REG,,Arizona,Pac-12,W,89,78,,13,15,W 1
29,Sat Mar 2 2013,REG,,Arizona State,Pac-12,W,57,56,,14,15,W 2
30,Wed Mar 6 2013,REG,@,Washington,Pac-12,L,57,65,,14,16,L 1
31,Sat Mar 9 2013,REG,@,Washington State,Pac-12,L,51,76,,14,17,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Utah,Pac-12,L,66,69,,14,18,L 3
