G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Missouri,SEC,L,69,83,,0,1,L 1
2,Wed Nov 14 2012,REG,,Western Illinois,Summit,W,62,50,,1,1,W 1
3,Tue Nov 20 2012,REG,,Southern Illinois,MVC,L,55,71,,1,2,L 1
4,Sat Nov 24 2012,REG,@,Texas-Pan American,GWC,L,66,77,,1,3,L 2
5,Sat Dec 1 2012,REG,,Chicago State,GWC,W,71,57,,2,3,W 1
6,Wed Dec 5 2012,REG,@,Northern Illinois,MAC,L,54,65,,2,4,L 1
7,Sat Dec 8 2012,REG,@,Western Illinois,Summit,L,38,55,,2,5,L 2
8,Mon Dec 17 2012,REG,,Eureka,,W,77,74,,3,5,W 1
9,Wed Dec 19 2012,REG,,Robert Morris (IL),,W,81,49,,4,5,W 2
10,Fri Dec 28 2012,REG,@,Saint Louis,A-10,L,41,68,,4,6,L 1
11,Thu Jan 3 2013,REG,@,Morehead State,OVC,L,64,68,,4,7,L 2
12,Sat Jan 5 2013,REG,@,Eastern Kentucky,OVC,L,72,78,,4,8,L 3
13,Thu Jan 10 2013,REG,,Jacksonville State,OVC,L,62,75,,4,9,L 4
14,Sat Jan 12 2013,REG,,Tennessee Tech,OVC,W,58,54,,5,9,W 1
15,Thu Jan 17 2013,REG,@,Austin Peay,OVC,W,66,53,,6,9,W 2
16,Sat Jan 19 2013,REG,@,Murray State,OVC,L,61,70,,6,10,L 1
17,Thu Jan 24 2013,REG,,Southeast Missouri State,OVC,W,80,77,,7,10,W 1
18,Sat Jan 26 2013,REG,,Tennessee-Martin,OVC,L,62,65,,7,11,L 1
19,Sat Feb 2 2013,REG,,Eastern Illinois,OVC,W,49,45,,8,11,W 1
20,Thu Feb 7 2013,REG,@,Southeast Missouri State,OVC,L,67,76,,8,12,L 1
21,Sat Feb 9 2013,REG,@,Tennessee-Martin,OVC,L,68,77,,8,13,L 2
22,Thu Feb 14 2013,REG,,Murray State,OVC,W,65,60,,9,13,W 1
23,Sat Feb 16 2013,REG,,Austin Peay,OVC,L,71,83,,9,14,L 1
24,Wed Feb 20 2013,REG,,Tennessee State,OVC,L,73,83,,9,15,L 2
25,Sat Feb 23 2013,REG,@,Central Arkansas,Southland,L,78,80,,9,16,L 3
26,Wed Feb 27 2013,REG,@,Belmont,OVC,L,43,73,,9,17,L 4
27,Sat Mar 2 2013,REG,@,Eastern Illinois,OVC,L,46,61,,9,18,L 5
