G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,@,New Orleans,Ind,W,72,55,,1,0,W 1
2,Sat Nov 17 2012,REG,,Benedictine-Springfield,,W,100,62,,2,0,W 2
3,Tue Nov 20 2012,REG,@,Southern Illinois-Edwardsville,OVC,W,71,55,,3,0,W 3
4,Sat Nov 24 2012,REG,@,Saint Louis,A-10,L,51,61,,3,1,L 1
5,Wed Nov 28 2012,REG,,Fresno State,MWC,W,57,54,,4,1,W 1
6,Wed Dec 5 2012,REG,@,Western Kentucky,Sun Belt,L,57,58,,4,2,L 1
7,Sat Dec 15 2012,REG,@,Green Bay,Horizon,W,72,70,,5,2,W 1
8,Mon Dec 17 2012,REG,,New Orleans,Ind,W,74,61,,6,2,W 2
9,Thu Dec 20 2012,REG,N,California-Davis,Big West,L,70,78,,6,3,L 1
10,Fri Dec 21 2012,REG,N,Nicholls State,Southland,W,65,53,,7,3,W 1
11,Sat Dec 22 2012,REG,@,Utah State,WAC,L,58,70,,7,4,L 1
12,Sun Dec 30 2012,REG,@,Missouri State,MVC,L,59,70,,7,5,L 2
13,Wed Jan 2 2013,REG,,Bradley,MVC,L,60,66,,7,6,L 3
14,Sat Jan 5 2013,REG,@,Evansville,MVC,L,68,85,,7,7,L 4
15,Wed Jan 9 2013,REG,@,Wichita State,MVC,L,76,82,,7,8,L 5
16,Sat Jan 12 2013,REG,,Indiana State,MVC,W,76,71,,8,8,W 1
17,Tue Jan 15 2013,REG,@,Bradley,MVC,L,66,69,,8,9,L 1
18,Sun Jan 20 2013,REG,,Illinois State,MVC,L,56,70,,8,10,L 2
19,Wed Jan 23 2013,REG,@,Northern Iowa,MVC,L,45,58,,8,11,L 3
20,Sun Jan 27 2013,REG,,Creighton,MVC,L,51,81,,8,12,L 4
21,Wed Jan 30 2013,REG,,Drake,MVC,L,56,61,,8,13,L 5
22,Sat Feb 2 2013,REG,@,Illinois State,MVC,L,47,83,,8,14,L 6
23,Tue Feb 5 2013,REG,,Wichita State,MVC,W,64,62,,9,14,W 1
24,Sat Feb 9 2013,REG,@,Indiana State,MVC,L,65,66,,9,15,L 1
25,Wed Feb 13 2013,REG,,Evansville,MVC,W,65,56,,10,15,W 1
26,Sat Feb 16 2013,REG,,Missouri State,MVC,W,62,54,,11,15,W 2
27,Tue Feb 19 2013,REG,@,Creighton,MVC,L,45,59,,11,16,L 1
28,Sat Feb 23 2013,REG,,Miami (OH),MAC,W,74,68,OT,12,16,W 1
29,Wed Feb 27 2013,REG,,Northern Iowa,MVC,W,63,57,,13,16,W 2
30,Sat Mar 2 2013,REG,@,Drake,MVC,W,66,63,,14,16,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 7 2013,CTOURN,N,Missouri State,MVC,L,53,61,,14,17,L 1
