G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Western Kentucky,Sun Belt,W,67,64,OT,1,0,W 1
2,Thu Nov 15 2012,REG,@,Georgia,SEC,W,62,60,OT,2,0,W 2
3,Mon Nov 19 2012,REG,@,Sam Houston State,Southland,W,61,49,,3,0,W 3
4,Tue Nov 20 2012,REG,N,California-Irvine,Big West,W,69,65,,4,0,W 4
5,Wed Nov 21 2012,REG,N,Liberty,Big South,W,74,56,,5,0,W 5
6,Tue Nov 27 2012,REG,,Denver,WAC,W,61,50,,6,0,W 6
7,Sat Dec 1 2012,REG,@,New Mexico State,WAC,L,60,68,,6,1,L 1
8,Tue Dec 4 2012,REG,@,Arizona,Pac-12,L,55,63,,6,2,L 2
9,Sat Dec 8 2012,REG,@,Louisiana Tech,WAC,L,55,65,,6,3,L 3
10,Sat Dec 15 2012,REG,,Grambling,SWAC,W,93,45,,7,3,W 1
11,Tue Dec 18 2012,REG,@,Georgia State,CAA,W,69,67,,8,3,W 2
12,Sat Dec 22 2012,REG,N,Wichita State,MVC,L,51,59,,8,4,L 1
13,Fri Dec 28 2012,REG,@,Morehead State,OVC,W,94,58,,9,4,W 1
14,Mon Dec 31 2012,REG,,William Carey,,W,89,59,,10,4,W 2
15,Thu Jan 3 2013,REG,,Dillard,,W,135,41,,11,4,W 3
16,Wed Jan 9 2013,REG,@,Rice,CUSA,W,75,52,,12,4,W 4
17,Sat Jan 12 2013,REG,,Houston,CUSA,W,73,54,,13,4,W 5
18,Wed Jan 16 2013,REG,@,Southern Methodist,CUSA,W,74,70,,14,4,W 6
19,Sat Jan 19 2013,REG,,Alabama-Birmingham,CUSA,W,74,59,,15,4,W 7
20,Wed Jan 23 2013,REG,,Marshall,CUSA,W,102,46,,16,4,W 8
21,Sat Jan 26 2013,REG,@,Tulsa,CUSA,W,62,59,,17,4,W 9
22,Sat Feb 2 2013,REG,@,Alabama-Birmingham,CUSA,W,79,75,,18,4,W 10
23,Wed Feb 6 2013,REG,@,Central Florida,CUSA,L,58,60,,18,5,L 1
24,Sat Feb 9 2013,REG,,Memphis,CUSA,L,76,89,,18,6,L 2
25,Wed Feb 13 2013,REG,,Tulane,CUSA,W,71,60,,19,6,W 1
26,Sat Feb 16 2013,REG,@,East Carolina,CUSA,W,86,82,OT,20,6,W 2
27,Wed Feb 20 2013,REG,,Texas-El Paso,CUSA,W,45,39,,21,6,W 3
28,Sat Feb 23 2013,REG,@,Memphis,CUSA,L,73,89,,21,7,L 1
29,Sat Mar 2 2013,REG,,East Carolina,CUSA,W,88,69,,22,7,W 1
30,Tue Mar 5 2013,REG,@,Marshall,CUSA,L,84,88,,22,8,L 1
31,Sat Mar 9 2013,REG,,Central Florida,CUSA,W,70,62,,23,8,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Alabama-Birmingham,CUSA,W,81,66,,24,8,W 2
33,Fri Mar 15 2013,CTOURN,N,Texas-El Paso,CUSA,W,85,67,,25,8,W 3
34,Sat Mar 16 2013,CTOURN,N,Memphis,CUSA,L,79,91,2OT,25,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Wed Mar 20 2013,NIT,,Charleston Southern,Big South,W,78,71,,26,9,W 1
36,Mon Mar 25 2013,NIT,,Louisiana Tech,WAC,W,63,52,,27,9,W 2
37,Wed Mar 27 2013,NIT,,Brigham Young,WCC,L,62,79,,27,10,L 1
