G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Gonzaga,WCC,L,65,103,,0,1,L 1
2,Fri Nov 16 2012,REG,N,Green Bay,Horizon,L,54,66,,0,2,L 2
3,Sat Nov 17 2012,REG,N,Cal State Fullerton,Big West,L,69,112,,0,3,L 3
4,Sun Nov 18 2012,REG,@,Nevada,MWC,L,61,79,,0,4,L 4
5,Wed Nov 21 2012,REG,,Carroll (MT),,W,68,58,,1,4,W 1
6,Thu Nov 29 2012,REG,@,Texas Christian,Big 12,L,52,61,,1,5,L 1
7,Sat Dec 1 2012,REG,,San Diego Christian,,W,95,65,,2,5,W 1
8,Tue Dec 4 2012,REG,,San Diego,WCC,L,53,67,,2,6,L 1
9,Mon Dec 17 2012,REG,,North Dakota,Big Sky,W,79,67,,3,6,W 1
10,Fri Dec 21 2012,REG,@,Denver,WAC,L,47,72,,3,7,L 1
11,Sat Dec 29 2012,REG,,Northern Colorado,Big Sky,W,51,50,,4,7,W 1
12,Sat Jan 5 2013,REG,@,Northern Arizona,Big Sky,W,90,77,,5,7,W 2
13,Mon Jan 7 2013,REG,@,Sacramento State,Big Sky,L,59,64,,5,8,L 1
14,Thu Jan 10 2013,REG,,Weber State,Big Sky,L,74,81,,5,9,L 2
15,Sat Jan 12 2013,REG,,Idaho State,Big Sky,L,53,54,,5,10,L 3
16,Thu Jan 17 2013,REG,@,Montana,Big Sky,L,67,73,,5,11,L 4
17,Mon Jan 21 2013,REG,@,Montana State,Big Sky,L,68,76,,5,12,L 5
18,Thu Jan 24 2013,REG,,Portland State,Big Sky,W,76,63,,6,12,W 1
19,Sat Jan 26 2013,REG,,Eastern Washington,Big Sky,W,69,55,,7,12,W 2
20,Thu Jan 31 2013,REG,,Sacramento State,Big Sky,W,79,67,,8,12,W 3
21,Sat Feb 2 2013,REG,,Northern Arizona,Big Sky,W,78,67,,9,12,W 4
22,Thu Feb 7 2013,REG,@,Idaho State,Big Sky,W,81,79,OT,10,12,W 5
23,Sat Feb 9 2013,REG,@,Weber State,Big Sky,L,58,75,,10,13,L 1
24,Thu Feb 14 2013,REG,@,Portland State,Big Sky,L,69,90,,10,14,L 2
25,Sat Feb 16 2013,REG,@,Eastern Washington,Big Sky,L,72,86,,10,15,L 3
26,Sat Feb 23 2013,REG,,Cal State Northridge,Big West,W,73,72,,11,15,W 1
27,Thu Feb 28 2013,REG,,Montana State,Big Sky,L,61,62,,11,16,L 1
28,Mon Mar 4 2013,REG,,Montana,Big Sky,L,74,86,OT,11,17,L 2
29,Thu Mar 7 2013,REG,@,Northern Colorado,Big Sky,L,58,66,,11,18,L 3
30,Sat Mar 9 2013,REG,@,North Dakota,Big Sky,L,61,68,,11,19,L 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,North Dakota,Big Sky,L,52,69,,11,20,L 5
