G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Iowa State,Big 12,L,59,82,,0,1,L 1
2,Sun Nov 11 2012,REG,@,Nebraska,Big Ten,L,55,66,,0,2,L 2
3,Wed Nov 14 2012,REG,N,South Dakota,Summit,W,83,79,,1,2,W 1
4,Thu Nov 15 2012,REG,N,North Carolina Central,MEAC,L,55,59,,1,3,L 1
5,Fri Nov 16 2012,REG,@,Wyoming,MWC,L,60,67,,1,4,L 2
6,Sat Nov 24 2012,REG,@,Tulane,CUSA,L,65,68,,1,5,L 3
7,Sat Dec 1 2012,REG,,Champion Baptist,,W,90,36,,2,5,W 1
8,Mon Dec 10 2012,REG,,William Carey,,W,77,50,,3,5,W 2
9,Thu Dec 13 2012,REG,@,Louisiana-Monroe,Sun Belt,W,68,39,,4,5,W 3
10,Tue Dec 18 2012,REG,@,Texas Christian,Big 12,L,57,68,,4,6,L 1
11,Sat Dec 22 2012,REG,@,Texas A&M,SEC,W,53,51,,5,6,W 1
12,Fri Dec 28 2012,REG,,Spring Hill,,W,67,46,,6,6,W 2
13,Wed Jan 2 2013,REG,,Texas Southern,SWAC,W,63,57,,7,6,W 3
14,Fri Jan 4 2013,REG,,Prairie View,SWAC,W,50,45,,8,6,W 4
15,Sun Jan 6 2013,REG,@,Grambling,SWAC,W,82,43,,9,6,W 5
16,Tue Jan 8 2013,REG,@,Jackson State,SWAC,W,80,67,,10,6,W 6
17,Sat Jan 12 2013,REG,,Arkansas-Pine Bluff,SWAC,W,84,50,,11,6,W 7
18,Mon Jan 14 2013,REG,,Mississippi Valley State,SWAC,W,88,54,,12,6,W 8
19,Sat Jan 19 2013,REG,@,Alabama State,SWAC,W,79,67,,13,6,W 9
20,Mon Jan 21 2013,REG,@,Alabama A&M,SWAC,W,82,68,,14,6,W 10
21,Sat Jan 26 2013,REG,@,Alcorn State,SWAC,L,57,61,,14,7,L 1
22,Sat Feb 2 2013,REG,,Grambling,SWAC,W,59,31,,15,7,W 1
23,Mon Feb 4 2013,REG,,Jackson State,SWAC,W,78,58,,16,7,W 2
24,Sat Feb 9 2013,REG,@,Arkansas-Pine Bluff,SWAC,L,52,55,,16,8,L 1
25,Mon Feb 11 2013,REG,@,Mississippi Valley State,SWAC,W,78,74,,17,8,W 1
26,Sat Feb 16 2013,REG,,Alabama State,SWAC,W,58,49,,18,8,W 2
27,Mon Feb 18 2013,REG,,Alabama A&M,SWAC,W,81,67,,19,8,W 3
28,Sat Feb 23 2013,REG,,Alcorn State,SWAC,W,61,48,,20,8,W 4
29,Thu Feb 28 2013,REG,@,Texas Southern,SWAC,L,66,79,,20,9,L 1
30,Sat Mar 2 2013,REG,@,Prairie View,SWAC,W,61,39,,21,9,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 15 2013,CTOURN,N,Alabama A&M,SWAC,W,72,59,,22,9,W 2
32,Sat Mar 16 2013,CTOURN,N,Prairie View,SWAC,W,45,44,,23,9,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Thu Mar 21 2013,NCAA,N,Gonzaga,WCC,L,58,64,,23,10,L 1
