G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Tue Nov 13 2012,REG,,Detroit Mercy,Horizon,W,77,74,,1,0,W 1
2,Thu Nov 15 2012,REG,@,College of Charleston,Southern,W,64,53,,2,0,W 2
3,Fri Nov 16 2012,REG,N,Murray State,OVC,L,67,72,,2,1,L 1
4,Sun Nov 18 2012,REG,N,Baylor,Big 12,L,78,97,,2,2,L 2
5,Wed Nov 21 2012,REG,,Holy Cross,Patriot,W,65,53,,3,2,W 1
6,Sat Nov 24 2012,REG,,Florida Gulf Coast,A-Sun,W,79,68,,4,2,W 2
7,Thu Nov 29 2012,REG,,South Carolina,SEC,W,89,65,,5,2,W 3
8,Sat Dec 1 2012,REG,,NJIT,GWC,W,57,49,,6,2,W 4
9,Tue Dec 4 2012,REG,@,San Francisco,WCC,L,65,81,,6,3,L 1
10,Sat Dec 8 2012,REG,,Fordham,A-10,W,58,47,,7,3,W 1
11,Sat Dec 15 2012,REG,N,St. Francis (NY),NEC,W,77,60,,8,3,W 2
12,Fri Dec 21 2012,REG,,North Carolina-Asheville,Big South,L,65,72,,8,4,L 1
13,Wed Jan 2 2013,REG,@,Villanova,Big East,L,86,98,OT,8,5,L 2
14,Sat Jan 5 2013,REG,@,Cincinnati,Big East,W,53,52,,9,5,W 1
15,Wed Jan 9 2013,REG,,Rutgers,Big East,L,56,58,,9,6,L 1
16,Sat Jan 12 2013,REG,,Georgetown,Big East,L,51,67,,9,7,L 2
17,Tue Jan 15 2013,REG,,Notre Dame,Big East,W,67,63,,10,7,W 1
18,Sat Jan 19 2013,REG,@,DePaul,Big East,W,71,62,,11,7,W 2
19,Wed Jan 23 2013,REG,@,Rutgers,Big East,W,72,60,,12,7,W 3
20,Sun Jan 27 2013,REG,,Seton Hall,Big East,W,71,67,,13,7,W 4
21,Wed Jan 30 2013,REG,,DePaul,Big East,W,79,74,OT,14,7,W 5
22,Sat Feb 2 2013,REG,@,Georgetown,Big East,L,56,68,,14,8,L 1
23,Wed Feb 6 2013,REG,,Connecticut,Big East,W,71,65,,15,8,W 1
24,Sun Feb 10 2013,REG,@,Syracuse,Big East,L,58,77,,15,9,L 1
25,Thu Feb 14 2013,REG,@,Louisville,Big East,L,58,72,,15,10,L 2
26,Wed Feb 20 2013,REG,,South Florida,Big East,W,69,54,,16,10,W 1
27,Sun Feb 24 2013,REG,,Pittsburgh,Big East,L,47,63,,16,11,L 1
28,Sat Mar 2 2013,REG,@,Providence,Big East,L,59,62,,16,12,L 2
29,Tue Mar 5 2013,REG,@,Notre Dame,Big East,L,40,66,,16,13,L 3
30,Sat Mar 9 2013,REG,,Marquette,Big East,L,67,69,OT,16,14,L 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,Villanova,Big East,L,53,66,,16,15,L 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 19 2013,NIT,@,Saint Joseph's,A-10,W,63,61,,17,15,W 1
33,Sun Mar 24 2013,NIT,@,Virginia,ACC,L,50,68,,17,16,L 1
