G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Miami (FL),ACC,L,79,87,,0,1,L 1
2,Tue Nov 13 2012,REG,,Florida A&M,MEAC,W,88,66,,1,1,W 1
3,Mon Nov 19 2012,REG,,Southeastern,,W,81,59,,2,1,W 2
4,Mon Nov 26 2012,REG,,South Florida,Big East,L,54,63,,2,2,L 1
5,Wed Nov 28 2012,REG,@,Virginia Commonwealth,A-10,L,56,92,,2,3,L 2
6,Mon Dec 3 2012,REG,@,Bethune-Cookman,MEAC,L,63,86,,2,4,L 3
7,Thu Dec 6 2012,REG,,Florida Atlantic,Sun Belt,L,78,88,,2,5,L 4
8,Sun Dec 9 2012,REG,,Florida International,Sun Belt,L,79,82,,2,6,L 5
9,Sat Dec 15 2012,REG,@,Richmond,A-10,L,57,76,,2,7,L 6
10,Tue Dec 18 2012,REG,@,Florida Atlantic,Sun Belt,W,69,68,,3,7,W 1
11,Thu Dec 20 2012,REG,@,Central Florida,CUSA,L,66,83,,3,8,L 1
12,Mon Dec 31 2012,REG,@,Mercer,A-Sun,L,64,70,,3,9,L 2
13,Wed Jan 2 2013,REG,@,Kennesaw State,A-Sun,W,70,60,,4,9,W 1
14,Sat Jan 5 2013,REG,,North Florida,A-Sun,L,74,90,,4,10,L 1
15,Mon Jan 7 2013,REG,,Jacksonville,A-Sun,W,81,72,,5,10,W 1
16,Thu Jan 10 2013,REG,@,East Tennessee State,A-Sun,W,72,70,,6,10,W 2
17,Sat Jan 12 2013,REG,@,South Carolina Upstate,A-Sun,W,66,64,,7,10,W 3
18,Thu Jan 17 2013,REG,,Northern Kentucky,A-Sun,W,71,59,,8,10,W 4
19,Sat Jan 19 2013,REG,,Lipscomb,A-Sun,W,85,69,,9,10,W 5
20,Fri Jan 25 2013,REG,@,Florida Gulf Coast,A-Sun,L,65,96,,9,11,L 1
21,Thu Jan 31 2013,REG,@,Jacksonville,A-Sun,L,70,71,,9,12,L 2
22,Sat Feb 2 2013,REG,@,North Florida,A-Sun,L,59,64,,9,13,L 3
23,Thu Feb 7 2013,REG,,South Carolina Upstate,A-Sun,W,73,66,,10,13,W 1
24,Sat Feb 9 2013,REG,,East Tennessee State,A-Sun,L,61,62,,10,14,L 1
25,Thu Feb 14 2013,REG,@,Lipscomb,A-Sun,W,76,66,,11,14,W 1
26,Sat Feb 16 2013,REG,@,Northern Kentucky,A-Sun,W,62,46,,12,14,W 2
27,Fri Feb 22 2013,REG,,Florida Gulf Coast,A-Sun,W,80,71,,13,14,W 3
28,Thu Feb 28 2013,REG,,Kennesaw State,A-Sun,W,91,77,,14,14,W 4
29,Sat Mar 2 2013,REG,,Mercer,A-Sun,L,65,77,,14,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 7 2013,CTOURN,N,East Tennessee State,A-Sun,W,67,46,,15,15,W 1
31,Fri Mar 8 2013,CTOURN,N,Florida Gulf Coast,A-Sun,L,58,72,,15,16,L 1
