G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Marist,MAAC,W,60,57,,1,0,W 1
2,Sun Nov 11 2012,REG,,Mount Ida College,,W,93,57,,2,0,W 2
3,Tue Nov 13 2012,REG,@,Rider,MAAC,W,54,46,,3,0,W 3
4,Sun Nov 18 2012,REG,,Sacred Heart,NEC,L,62,64,,3,1,L 1
5,Sat Nov 24 2012,REG,,Canisius,MAAC,W,82,75,,4,1,W 1
6,Sun Nov 25 2012,REG,@,Connecticut,Big East,L,62,73,,4,2,L 1
7,Wed Nov 28 2012,REG,@,Cornell,Ivy,W,76,53,,5,2,W 1
8,Sat Dec 1 2012,REG,,Eastern Illinois,OVC,W,66,52,,6,2,W 2
9,Tue Dec 11 2012,REG,@,St. Francis (NY),NEC,W,77,61,,7,2,W 3
10,Tue Dec 18 2012,REG,@,Sacred Heart,NEC,W,64,59,,8,2,W 4
11,Fri Dec 21 2012,REG,@,Maryland,ACC,L,69,76,,8,3,L 1
12,Fri Dec 28 2012,REG,@,Seton Hall,Big East,L,59,60,,8,4,L 2
13,Tue Jan 1 2013,REG,@,Manhattan,MAAC,W,50,44,,9,4,W 1
14,Sat Jan 5 2013,REG,,New Hampshire,AEC,W,65,49,,10,4,W 2
15,Wed Jan 9 2013,REG,@,Binghamton,AEC,W,62,37,,11,4,W 3
16,Sat Jan 12 2013,REG,,Hartford,AEC,W,73,59,,12,4,W 4
17,Tue Jan 15 2013,REG,,Boston University,AEC,W,75,48,,13,4,W 5
18,Fri Jan 18 2013,REG,@,Vermont,AEC,L,73,81,,13,5,L 1
19,Wed Jan 23 2013,REG,@,Maryland-Baltimore County,AEC,W,67,60,,14,5,W 1
20,Sat Jan 26 2013,REG,,Maine,AEC,W,79,69,,15,5,W 2
21,Tue Jan 29 2013,REG,@,Albany (NY),AEC,W,65,49,,16,5,W 3
22,Sat Feb 2 2013,REG,@,New Hampshire,AEC,W,56,54,,17,5,W 4
23,Sun Feb 10 2013,REG,@,Hartford,AEC,L,55,60,,17,6,L 1
24,Tue Feb 12 2013,REG,,Binghamton,AEC,W,73,47,,18,6,W 1
25,Fri Feb 15 2013,REG,,Vermont,AEC,W,65,48,,19,6,W 2
26,Tue Feb 19 2013,REG,,Maryland-Baltimore County,AEC,W,83,39,,20,6,W 3
27,Sun Feb 24 2013,REG,@,Maine,AEC,W,69,53,,21,6,W 4
28,Thu Feb 28 2013,REG,@,Boston University,AEC,W,71,55,,22,6,W 5
29,Sun Mar 3 2013,REG,,Albany (NY),AEC,W,75,70,,23,6,W 6
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,N,Binghamton,AEC,W,72,49,,24,6,W 7
31,Sun Mar 10 2013,CTOURN,N,Albany (NY),AEC,L,59,61,,24,7,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 20 2013,NIT,@,Massachusetts,A-10,W,71,58,,25,7,W 1
33,Fri Mar 22 2013,NIT,@,Iowa,Big Ten,L,63,75,,25,8,L 1
