G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,N,San Diego State,MWC,W,62,49,,1,0,W 1
2,Sun Nov 18 2012,REG,,Wagner,NEC,W,88,57,,2,0,W 2
3,Wed Nov 21 2012,REG,,Princeton,Ivy,W,73,53,,3,0,W 3
4,Sun Nov 25 2012,REG,,Colgate,Patriot,W,87,51,,4,0,W 4
5,Fri Nov 30 2012,REG,@,Arkansas,SEC,W,91,82,,5,0,W 5
6,Mon Dec 3 2012,REG,,Eastern Michigan,MAC,W,84,48,,6,0,W 6
7,Thu Dec 6 2012,REG,,Long Beach State,Big West,W,84,53,,7,0,W 7
8,Sat Dec 8 2012,REG,,Monmouth,NEC,W,108,56,,8,0,W 8
9,Sat Dec 15 2012,REG,,Canisius,MAAC,W,85,61,,9,0,W 9
10,Mon Dec 17 2012,REG,,Detroit Mercy,Horizon,W,72,68,,10,0,W 10
11,Sat Dec 22 2012,REG,N,Temple,A-10,L,79,83,,10,1,L 1
12,Sat Dec 29 2012,REG,,Alcorn State,SWAC,W,57,36,,11,1,W 1
13,Mon Dec 31 2012,REG,,Central Connecticut State,NEC,W,96,62,,12,1,W 2
14,Wed Jan 2 2013,REG,,Rutgers,Big East,W,78,53,,13,1,W 3
15,Sun Jan 6 2013,REG,@,South Florida,Big East,W,55,44,,14,1,W 4
16,Wed Jan 9 2013,REG,@,Providence,Big East,W,72,66,,15,1,W 5
17,Sat Jan 12 2013,REG,,Villanova,Big East,W,72,61,,16,1,W 6
18,Sat Jan 19 2013,REG,@,Louisville,Big East,W,70,68,,17,1,W 7
19,Mon Jan 21 2013,REG,,Cincinnati,Big East,W,57,55,,18,1,W 8
20,Sat Jan 26 2013,REG,@,Villanova,Big East,L,71,75,OT,18,2,L 1
21,Sat Feb 2 2013,REG,@,Pittsburgh,Big East,L,55,65,,18,3,L 2
22,Mon Feb 4 2013,REG,,Notre Dame,Big East,W,63,47,,19,3,W 1
23,Sun Feb 10 2013,REG,,St. John's (NY),Big East,W,77,58,,20,3,W 2
24,Wed Feb 13 2013,REG,@,Connecticut,Big East,L,58,66,,20,4,L 1
25,Sat Feb 16 2013,REG,@,Seton Hall,Big East,W,76,65,,21,4,W 1
26,Wed Feb 20 2013,REG,,Providence,Big East,W,84,59,,22,4,W 2
27,Sat Feb 23 2013,REG,,Georgetown,Big East,L,46,57,,22,5,L 1
28,Mon Feb 25 2013,REG,@,Marquette,Big East,L,71,74,,22,6,L 2
29,Sat Mar 2 2013,REG,,Louisville,Big East,L,53,58,,22,7,L 3
30,Wed Mar 6 2013,REG,,DePaul,Big East,W,78,57,,23,7,W 1
31,Sat Mar 9 2013,REG,@,Georgetown,Big East,L,39,61,,23,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Seton Hall,Big East,W,75,63,,24,8,W 1
33,Thu Mar 14 2013,CTOURN,N,Pittsburgh,Big East,W,62,59,,25,8,W 2
34,Fri Mar 15 2013,CTOURN,N,Georgetown,Big East,W,58,55,OT,26,8,W 3
35,Sat Mar 16 2013,CTOURN,N,Louisville,Big East,L,61,78,,26,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
36,Thu Mar 21 2013,NCAA,N,Montana,Big Sky,W,81,34,,27,9,W 1
37,Sat Mar 23 2013,NCAA,N,California,Pac-12,W,66,60,,28,9,W 2
38,Thu Mar 28 2013,NCAA,N,Indiana,Big Ten,W,61,50,,29,9,W 3
39,Sat Mar 30 2013,NCAA,N,Marquette,Big East,W,55,39,,30,9,W 4
40,Sat Apr 6 2013,NCAA,N,Michigan,Big Ten,L,56,61,,30,10,L 1
