G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Tue Nov 13 2012,REG,@,Kent State,MAC,W,80,66,,1,0,W 1
2,Sat Nov 17 2012,REG,,Rice,CUSA,W,77,63,,2,0,W 2
3,Sun Nov 25 2012,REG,,Delaware,CAA,W,80,75,,3,0,W 3
4,Wed Nov 28 2012,REG,@,Buffalo,MAC,W,54,39,,4,0,W 4
5,Sat Dec 1 2012,REG,,Wagner,NEC,W,70,62,,5,0,W 5
6,Wed Dec 5 2012,REG,@,Villanova,Big East,W,76,61,,6,0,W 6
7,Sat Dec 8 2012,REG,N,Duke,ACC,L,67,90,,6,1,L 1
8,Wed Dec 12 2012,REG,,Towson,CAA,W,72,61,,7,1,W 1
9,Mon Dec 17 2012,REG,,Alcorn State,SWAC,W,63,46,,8,1,W 2
10,Wed Dec 19 2012,REG,,Canisius,MAAC,L,62,72,,8,2,L 1
11,Sat Dec 22 2012,REG,N,Syracuse,Big East,W,83,79,,9,2,W 1
12,Mon Dec 31 2012,REG,,Bowling Green State,MAC,W,75,57,,10,2,W 2
13,Sun Jan 6 2013,REG,@,Kansas,Big 12,L,62,69,,10,3,L 1
14,Thu Jan 10 2013,REG,@,Xavier,A-10,L,52,57,,10,4,L 2
15,Sat Jan 12 2013,REG,,Saint Louis,A-10,W,64,54,,11,4,W 1
16,Wed Jan 16 2013,REG,@,George Washington,A-10,W,55,53,,12,4,W 2
17,Sat Jan 19 2013,REG,,St. Bonaventure,A-10,L,78,81,,12,5,L 1
18,Wed Jan 23 2013,REG,,Pennsylvania,Ivy,W,76,69,,13,5,W 1
19,Sat Jan 26 2013,REG,@,Butler,A-10,L,71,83,,13,6,L 1
20,Wed Jan 30 2013,REG,,Richmond,A-10,W,71,64,,14,6,W 1
21,Sat Feb 2 2013,REG,@,Saint Joseph's,A-10,L,69,70,,14,7,L 1
22,Wed Feb 6 2013,REG,,Charlotte,A-10,W,89,88,,15,7,W 1
23,Sat Feb 9 2013,REG,@,Dayton,A-10,W,72,71,,16,7,W 2
24,Thu Feb 14 2013,REG,,Duquesne,A-10,L,83,84,,16,8,L 1
25,Sat Feb 16 2013,REG,@,Massachusetts,A-10,W,83,82,,17,8,W 1
26,Thu Feb 21 2013,REG,,La Salle,A-10,W,82,74,,18,8,W 2
27,Sun Feb 24 2013,REG,@,Charlotte,A-10,W,71,51,,19,8,W 3
28,Thu Feb 28 2013,REG,,Detroit Mercy,Horizon,W,83,78,,20,8,W 4
29,Sat Mar 2 2013,REG,,Rhode Island,A-10,W,76,70,,21,8,W 5
30,Wed Mar 6 2013,REG,@,Fordham,A-10,W,74,55,,22,8,W 6
31,Sun Mar 10 2013,REG,,Virginia Commonwealth,A-10,W,84,76,,23,8,W 7
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Massachusetts,A-10,L,74,79,,23,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Fri Mar 22 2013,NCAA,N,North Carolina State,ACC,W,76,72,,24,9,W 1
34,Sun Mar 24 2013,NCAA,N,Indiana,Big Ten,L,52,58,,24,10,L 1
