G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Crowley's Ridge,,W,107,32,,1,0,W 1
2,Thu Nov 15 2012,REG,,Coastal Carolina,Big South,W,71,69,,2,0,W 2
3,Sat Nov 17 2012,REG,@,East Tennessee State,A-Sun,W,65,62,,3,0,W 3
4,Tue Nov 20 2012,REG,,Evansville,MVC,L,50,62,,3,1,L 1
5,Wed Nov 28 2012,REG,@,Loyola (IL),Horizon,L,78,81,,3,2,L 2
6,Fri Nov 30 2012,REG,@,Lipscomb,A-Sun,L,64,80,,3,3,L 3
7,Mon Dec 3 2012,REG,,Berea,,W,69,45,,4,3,W 1
8,Thu Dec 6 2012,REG,,Green Bay,Horizon,W,74,68,,5,3,W 2
9,Sat Dec 8 2012,REG,@,Gardner-Webb,Big South,L,41,61,,5,4,L 1
10,Sat Dec 15 2012,REG,@,Milwaukee,Horizon,W,69,58,,6,4,W 1
11,Tue Dec 18 2012,REG,@,Auburn,SEC,L,62,81,,6,5,L 1
12,Sat Dec 22 2012,REG,@,Oklahoma State,Big 12,L,42,78,,6,6,L 2
13,Sat Dec 29 2012,REG,@,Jacksonville State,OVC,L,62,83,,6,7,L 3
14,Thu Jan 3 2013,REG,,Tennessee State,OVC,L,66,72,,6,8,L 4
15,Sat Jan 5 2013,REG,,Belmont,OVC,L,52,83,,6,9,L 5
16,Thu Jan 10 2013,REG,@,Eastern Illinois,OVC,W,77,73,,7,9,W 1
17,Sat Jan 12 2013,REG,@,Southern Illinois-Edwardsville,OVC,L,54,58,,7,10,L 1
18,Sat Jan 19 2013,REG,@,Southeast Missouri State,OVC,L,62,74,,7,11,L 2
19,Thu Jan 24 2013,REG,,Murray State,OVC,L,39,47,,7,12,L 3
20,Sat Jan 26 2013,REG,,Austin Peay,OVC,W,70,52,,8,12,W 1
21,Thu Jan 31 2013,REG,@,Tennessee State,OVC,L,65,84,,8,13,L 1
22,Sat Feb 2 2013,REG,@,Belmont,OVC,L,52,74,,8,14,L 2
23,Sat Feb 9 2013,REG,,Jacksonville State,OVC,W,78,64,,9,14,W 1
24,Thu Feb 14 2013,REG,@,Eastern Kentucky,OVC,L,69,80,,9,15,L 1
25,Sat Feb 16 2013,REG,@,Morehead State,OVC,L,63,65,,9,16,L 2
26,Thu Feb 21 2013,REG,,Tennessee-Martin,OVC,W,83,68,,10,16,W 1
27,Sat Feb 23 2013,REG,,Missouri-Kansas City,Summit,W,68,62,,11,16,W 2
28,Thu Feb 28 2013,REG,,Eastern Kentucky,OVC,L,54,69,,11,17,L 1
29,Sat Mar 2 2013,REG,,Morehead State,OVC,W,72,66,,12,17,W 1
