G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Cal State Bakersfield,Ind,W,62,60,,1,0,W 1
2,Fri Nov 16 2012,REG,,Oklahoma,Big 12,L,59,63,,1,1,L 1
3,Sat Nov 24 2012,REG,@,Samford,Southern,W,65,58,,2,1,W 1
4,Wed Nov 28 2012,REG,@,North Texas,Sun Belt,W,72,59,,3,1,W 2
5,Sat Dec 1 2012,REG,@,Texas,Big 12,L,54,70,,3,2,L 1
6,Mon Dec 3 2012,REG,@,Texas-Pan American,GWC,W,60,51,,4,2,W 1
7,Thu Dec 13 2012,REG,,Houston Baptist,GWC,W,81,47,,5,2,W 2
8,Wed Dec 19 2012,REG,@,Oklahoma State,Big 12,L,44,69,,5,3,L 1
9,Sat Dec 29 2012,REG,,New Mexico State,WAC,W,68,47,,6,3,W 1
10,Mon Dec 31 2012,REG,,Denver,WAC,L,35,50,,6,4,L 1
11,Wed Jan 2 2013,REG,,Boise State,MWC,L,46,64,,6,5,L 2
12,Sat Jan 5 2013,REG,,Louisiana Tech,WAC,L,52,55,,6,6,L 3
13,Thu Jan 10 2013,REG,@,Texas-San Antonio,WAC,W,75,67,,7,6,W 1
14,Sat Jan 12 2013,REG,@,Texas State,WAC,W,91,74,,8,6,W 2
15,Thu Jan 17 2013,REG,,Seattle,WAC,L,44,61,,8,7,L 1
16,Sat Jan 19 2013,REG,,Idaho,WAC,L,64,77,,8,8,L 2
17,Thu Jan 24 2013,REG,@,Utah State,WAC,W,74,68,,9,8,W 1
18,Sat Jan 26 2013,REG,@,San Jose State,WAC,W,66,47,,10,8,W 2
19,Sat Feb 2 2013,REG,@,Louisiana Tech,WAC,L,51,64,,10,9,L 1
20,Thu Feb 7 2013,REG,,Texas State,WAC,W,75,50,,11,9,W 1
21,Sat Feb 9 2013,REG,,Texas-San Antonio,WAC,W,68,63,,12,9,W 2
22,Thu Feb 14 2013,REG,@,Idaho,WAC,W,71,68,,13,9,W 3
23,Sat Feb 16 2013,REG,@,Seattle,WAC,W,65,63,,14,9,W 4
24,Wed Feb 20 2013,REG,,Texas-Pan American,GWC,W,63,48,,15,9,W 5
25,Sat Feb 23 2013,REG,,California-Irvine,Big West,L,70,77,,15,10,L 1
26,Thu Feb 28 2013,REG,,San Jose State,WAC,W,81,74,,16,10,W 1
27,Sat Mar 2 2013,REG,,Utah State,WAC,W,61,46,,17,10,W 2
28,Thu Mar 7 2013,REG,@,Denver,WAC,L,55,84,,17,11,L 1
29,Sat Mar 9 2013,REG,@,New Mexico State,WAC,L,66,69,,17,12,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,Utah State,WAC,W,83,78,,18,12,W 1
31,Fri Mar 15 2013,CTOURN,N,Texas-San Antonio,WAC,W,69,53,,19,12,W 2
32,Sat Mar 16 2013,CTOURN,N,New Mexico State,WAC,L,55,64,,19,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CIT,,Oral Roberts,Southland,L,76,84,,19,14,L 2
