G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Cal Poly,Big West,W,53,46,,1,0,W 1
2,Mon Nov 12 2012,REG,,Centenary (LA),,W,75,47,,2,0,W 2
3,Thu Nov 15 2012,REG,,Southern Methodist,CUSA,L,61,64,,2,1,L 1
4,Sun Nov 18 2012,REG,,Prairie View,SWAC,W,44,39,,3,1,W 1
5,Tue Nov 20 2012,REG,,Navy,Patriot,W,47,45,,4,1,W 2
6,Fri Nov 23 2012,REG,N,Northwestern,Big Ten,L,31,55,,4,2,L 1
7,Sat Nov 24 2012,REG,N,Alabama-Birmingham,CUSA,W,76,73,,5,2,W 1
8,Thu Nov 29 2012,REG,,Southern Utah,Big Sky,W,61,52,,6,2,W 2
9,Tue Dec 4 2012,REG,,Houston,CUSA,L,48,54,,6,3,L 1
10,Sat Dec 8 2012,REG,@,Tulsa,CUSA,L,49,50,,6,4,L 2
11,Tue Dec 18 2012,REG,,Southern,SWAC,W,68,57,,7,4,W 1
12,Sat Dec 22 2012,REG,@,Rice,CUSA,W,65,63,,8,4,W 2
13,Sun Dec 30 2012,REG,,Mississippi Valley State,SWAC,W,67,64,,9,4,W 3
14,Sat Jan 5 2013,REG,,Texas Tech,Big 12,L,53,62,,9,5,L 1
15,Wed Jan 9 2013,REG,@,Oklahoma State,Big 12,L,45,63,,9,6,L 2
16,Sat Jan 12 2013,REG,@,Baylor,Big 12,L,40,51,,9,7,L 3
17,Wed Jan 16 2013,REG,,Kansas State,Big 12,L,54,67,,9,8,L 4
18,Sat Jan 19 2013,REG,,Iowa State,Big 12,L,50,63,,9,9,L 5
19,Wed Jan 23 2013,REG,@,West Virginia,Big 12,L,50,71,,9,10,L 6
20,Sat Jan 26 2013,REG,,Baylor,Big 12,L,56,82,,9,11,L 7
21,Sat Feb 2 2013,REG,@,Texas,Big 12,L,43,60,,9,12,L 8
22,Wed Feb 6 2013,REG,,Kansas,Big 12,W,62,55,,10,12,W 1
23,Sat Feb 9 2013,REG,,West Virginia,Big 12,L,50,63,,10,13,L 1
24,Mon Feb 11 2013,REG,@,Oklahoma,Big 12,L,48,75,,10,14,L 2
25,Sat Feb 16 2013,REG,@,Iowa State,Big 12,L,53,87,,10,15,L 3
26,Tue Feb 19 2013,REG,,Texas,Big 12,L,59,68,,10,16,L 4
27,Sat Feb 23 2013,REG,@,Kansas,Big 12,L,48,74,,10,17,L 5
28,Wed Feb 27 2013,REG,,Oklahoma State,Big 12,L,47,64,,10,18,L 6
29,Sat Mar 2 2013,REG,@,Texas Tech,Big 12,L,63,72,,10,19,L 7
30,Tue Mar 5 2013,REG,@,Kansas State,Big 12,L,68,79,,10,20,L 8
31,Sat Mar 9 2013,REG,,Oklahoma,Big 12,W,70,67,,11,20,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Texas,Big 12,L,57,70,,11,21,L 1
