G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,N,Morgan State,MEAC,L,59,71,,0,1,L 1
2,Sat Nov 10 2012,REG,N,Holy Cross,Patriot,W,60,56,,1,1,W 1
3,Sun Nov 11 2012,REG,@,Old Dominion,CAA,W,79,70,,2,1,W 2
4,Sat Nov 17 2012,REG,,South Carolina Upstate,A-Sun,W,67,59,,3,1,W 3
5,Wed Nov 21 2012,REG,@,Brigham Young,WCC,L,62,81,,3,2,L 1
6,Thu Nov 29 2012,REG,@,Oregon,Pac-12,L,78,95,,3,3,L 2
7,Sat Dec 1 2012,REG,@,Cal State Bakersfield,Ind,L,52,85,,3,4,L 3
8,Tue Dec 4 2012,REG,@,Mississippi State,SEC,L,42,53,,3,5,L 4
9,Sat Dec 8 2012,REG,@,South Carolina Upstate,A-Sun,L,77,88,,3,6,L 5
10,Fri Dec 21 2012,REG,@,Texas A&M-Corpus Christi,Southland,W,75,45,,4,6,W 1
11,Sat Dec 29 2012,REG,,Utah State,WAC,L,67,71,,4,7,L 1
12,Mon Dec 31 2012,REG,,San Jose State,WAC,L,67,80,,4,8,L 2
13,Thu Jan 3 2013,REG,@,New Mexico State,WAC,L,62,82,,4,9,L 3
14,Sun Jan 6 2013,REG,@,Denver,WAC,L,50,75,,4,10,L 4
15,Thu Jan 10 2013,REG,,Texas-Arlington,WAC,L,67,75,,4,11,L 5
16,Sat Jan 12 2013,REG,,Louisiana Tech,WAC,L,71,73,,4,12,L 6
17,Sat Jan 19 2013,REG,,Texas State,WAC,L,78,81,OT,4,13,L 7
18,Thu Jan 24 2013,REG,@,Seattle,WAC,W,78,75,,5,13,W 1
19,Sat Jan 26 2013,REG,@,Idaho,WAC,L,70,74,,5,14,L 1
20,Thu Jan 31 2013,REG,,Denver,WAC,L,57,71,,5,15,L 2
21,Sat Feb 2 2013,REG,,New Mexico State,WAC,L,62,75,,5,16,L 3
22,Thu Feb 7 2013,REG,@,Louisiana Tech,WAC,L,49,74,,5,17,L 4
23,Sat Feb 9 2013,REG,@,Texas-Arlington,WAC,L,63,68,,5,18,L 5
24,Tue Feb 12 2013,REG,,Cal State Bakersfield,Ind,L,52,61,,5,19,L 6
25,Sat Feb 16 2013,REG,@,Texas State,WAC,W,73,62,,6,19,W 1
26,Sat Feb 23 2013,REG,,Nicholls State,Southland,W,76,58,,7,19,W 2
27,Thu Feb 28 2013,REG,,Idaho,WAC,W,74,56,,8,19,W 3
28,Sat Mar 2 2013,REG,,Seattle,WAC,L,37,53,,8,20,L 1
29,Sat Mar 9 2013,REG,@,Utah State,WAC,L,51,71,,8,21,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Tue Mar 12 2013,CTOURN,N,San Jose State,WAC,W,67,49,,9,21,W 1
31,Thu Mar 14 2013,CTOURN,N,Louisiana Tech,WAC,W,73,67,,10,21,W 2
32,Fri Mar 15 2013,CTOURN,N,Texas-Arlington,WAC,L,53,69,,10,22,L 1
