G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Fordham,A-10,W,86,76,,1,0,W 1
2,Tue Nov 13 2012,REG,,Texas-Tyler,,W,86,66,,2,0,W 2
3,Sat Nov 17 2012,REG,,Southern Methodist,CUSA,L,75,78,,2,1,L 1
4,Thu Nov 22 2012,REG,N,Charlotte,A-10,L,64,73,,2,2,L 2
5,Fri Nov 23 2012,REG,N,Loyola Marymount,WCC,L,63,78,,2,3,L 3
6,Sat Nov 24 2012,REG,N,California-Riverside,Big West,W,81,69,,3,3,W 1
7,Fri Nov 30 2012,REG,,Utah,Pac-12,L,69,74,,3,4,L 1
8,Wed Dec 5 2012,REG,,Oral Roberts,Southland,L,77,86,,3,5,L 2
9,Sat Dec 8 2012,REG,,Texas-Pan American,GWC,W,73,58,,4,5,W 1
10,Sat Dec 15 2012,REG,@,Texas,Big 12,L,63,75,,4,6,L 1
11,Mon Dec 17 2012,REG,@,Northwestern,Big Ten,L,68,74,,4,7,L 2
12,Thu Dec 20 2012,REG,@,Central Michigan,MAC,L,80,92,,4,8,L 3
13,Sat Dec 29 2012,REG,,San Jose State,WAC,L,55,72,,4,9,L 4
14,Mon Dec 31 2012,REG,,Utah State,WAC,L,57,81,,4,10,L 5
15,Thu Jan 3 2013,REG,@,Denver,WAC,L,53,64,,4,11,L 6
16,Sat Jan 5 2013,REG,@,New Mexico State,WAC,L,67,78,,4,12,L 7
17,Thu Jan 10 2013,REG,,Louisiana Tech,WAC,L,67,84,,4,13,L 8
18,Sat Jan 12 2013,REG,,Texas-Arlington,WAC,L,74,91,,4,14,L 9
19,Sat Jan 19 2013,REG,@,Texas-San Antonio,WAC,W,81,78,OT,5,14,W 1
20,Thu Jan 24 2013,REG,@,Idaho,WAC,W,78,73,,6,14,W 2
21,Sat Jan 26 2013,REG,@,Seattle,WAC,W,86,83,,7,14,W 3
22,Thu Jan 31 2013,REG,,New Mexico State,WAC,L,72,86,,7,15,L 1
23,Sat Feb 2 2013,REG,,Denver,WAC,L,64,79,,7,16,L 2
24,Thu Feb 7 2013,REG,@,Texas-Arlington,WAC,L,50,75,,7,17,L 3
25,Sat Feb 9 2013,REG,@,Louisiana Tech,WAC,L,69,84,,7,18,L 4
26,Sat Feb 16 2013,REG,,Texas-San Antonio,WAC,L,62,73,,7,19,L 5
27,Sat Feb 23 2013,REG,@,Lamar,Southland,W,74,61,,8,19,W 1
28,Thu Feb 28 2013,REG,,Seattle,WAC,W,67,65,,9,19,W 2
29,Sat Mar 2 2013,REG,,Idaho,WAC,L,81,90,,9,20,L 1
30,Thu Mar 7 2013,REG,@,Utah State,WAC,L,61,77,,9,21,L 2
31,Sat Mar 9 2013,REG,@,San Jose State,WAC,W,90,67,,10,21,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 12 2013,CTOURN,N,Seattle,WAC,W,68,56,,11,21,W 2
33,Thu Mar 14 2013,CTOURN,N,Denver,WAC,W,72,68,,12,21,W 3
34,Fri Mar 15 2013,CTOURN,N,New Mexico State,WAC,L,65,74,,12,22,L 1
