G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Fresno State,MWC,W,55,53,,1,0,W 1
2,Mon Nov 12 2012,REG,,Coppin State,MEAC,W,69,46,,2,0,W 2
3,Mon Nov 19 2012,REG,@,Chaminade,,L,73,86,,2,1,L 1
4,Tue Nov 20 2012,REG,N,Southern California,Pac-12,L,53,59,OT,2,2,L 2
5,Wed Nov 21 2012,REG,N,Mississippi State,SEC,W,69,55,,3,2,W 1
6,Tue Nov 27 2012,REG,,Sam Houston State,Southland,W,65,37,,4,2,W 2
7,Sat Dec 1 2012,REG,,Texas-Arlington,WAC,W,70,54,,5,2,W 3
8,Tue Dec 4 2012,REG,N,Georgetown,Big East,L,41,64,,5,3,L 1
9,Sat Dec 8 2012,REG,N,UCLA,Pac-12,L,63,65,,5,4,L 2
10,Sat Dec 15 2012,REG,,Texas State,WAC,W,75,63,,6,4,W 1
11,Wed Dec 19 2012,REG,,North Carolina,ACC,W,85,67,,7,4,W 2
12,Sat Dec 22 2012,REG,@,Michigan State,Big Ten,L,56,67,,7,5,L 1
13,Sat Dec 29 2012,REG,,Rice,CUSA,W,57,41,,8,5,W 1
14,Sat Jan 5 2013,REG,@,Baylor,Big 12,L,79,86,OT,8,6,L 1
15,Wed Jan 9 2013,REG,,West Virginia,Big 12,L,53,57,OT,8,7,L 2
16,Sat Jan 12 2013,REG,@,Iowa State,Big 12,L,62,82,,8,8,L 3
17,Sat Jan 19 2013,REG,,Kansas,Big 12,L,59,64,,8,9,L 4
18,Mon Jan 21 2013,REG,@,Oklahoma,Big 12,L,67,73,,8,10,L 5
19,Sat Jan 26 2013,REG,,Texas Tech,Big 12,W,73,57,,9,10,W 1
20,Wed Jan 30 2013,REG,@,Kansas State,Big 12,L,57,83,,9,11,L 1
21,Sat Feb 2 2013,REG,,Texas Christian,Big 12,W,60,43,,10,11,W 1
22,Mon Feb 4 2013,REG,@,West Virginia,Big 12,L,58,60,,10,12,L 1
23,Sat Feb 9 2013,REG,,Oklahoma State,Big 12,L,59,72,,10,13,L 2
24,Wed Feb 13 2013,REG,,Iowa State,Big 12,W,89,86,2OT,11,13,W 1
25,Sat Feb 16 2013,REG,@,Kansas,Big 12,L,47,73,,11,14,L 1
26,Tue Feb 19 2013,REG,@,Texas Christian,Big 12,W,68,59,,12,14,W 1
27,Sat Feb 23 2013,REG,,Kansas State,Big 12,L,69,81,,12,15,L 1
28,Wed Feb 27 2013,REG,,Oklahoma,Big 12,W,92,86,OT,13,15,W 1
29,Sat Mar 2 2013,REG,@,Oklahoma State,Big 12,L,65,78,,13,16,L 1
30,Mon Mar 4 2013,REG,,Baylor,Big 12,W,79,70,,14,16,W 1
31,Sat Mar 9 2013,REG,@,Texas Tech,Big 12,W,71,69,OT,15,16,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Texas Christian,Big 12,W,70,57,,16,16,W 3
33,Thu Mar 14 2013,CTOURN,N,Kansas State,Big 12,L,49,66,,16,17,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Wed Mar 20 2013,CBI,@,Houston,CUSA,L,72,73,,16,18,L 2
