G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Loyola (IL),Horizon,L,50,62,,0,1,L 1
2,Mon Nov 12 2012,REG,@,Minnesota,Big Ten,L,56,82,,0,2,L 2
3,Wed Nov 14 2012,REG,@,Northern Iowa,MVC,L,81,84,OT,0,3,L 3
4,Wed Nov 21 2012,REG,N,Samford,Southern,W,82,69,,1,3,W 1
5,Thu Nov 22 2012,REG,@,Florida Gulf Coast,A-Sun,L,66,72,,1,4,L 1
6,Wed Nov 28 2012,REG,,Texas A&M-Corpus Christi,Southland,W,80,68,,2,4,W 1
7,Sat Dec 1 2012,REG,@,Cleveland State,Horizon,L,73,78,,2,5,L 1
8,Wed Dec 5 2012,REG,@,Detroit Mercy,Horizon,L,73,79,,2,6,L 2
9,Sat Dec 8 2012,REG,@,Eastern Illinois,OVC,W,67,59,,3,6,W 1
10,Sat Dec 29 2012,REG,,Illinois-Chicago,Horizon,W,74,55,,4,6,W 2
11,Mon Dec 31 2012,REG,,Chicago State,GWC,L,53,58,,4,7,L 1
12,Wed Jan 9 2013,REG,@,Kent State,MAC,W,70,58,,5,7,W 1
13,Sat Jan 12 2013,REG,,Central Michigan,MAC,W,76,72,OT,6,7,W 2
14,Wed Jan 16 2013,REG,@,Western Michigan,MAC,L,56,79,,6,8,L 1
15,Sat Jan 19 2013,REG,@,Ohio,MAC,L,67,76,,6,9,L 2
16,Wed Jan 23 2013,REG,,Akron,MAC,L,56,71,,6,10,L 3
17,Sat Jan 26 2013,REG,,Bowling Green State,MAC,W,75,62,,7,10,W 1
18,Wed Jan 30 2013,REG,@,Ball State,MAC,W,85,78,,8,10,W 2
19,Sat Feb 2 2013,REG,@,Northern Illinois,MAC,W,69,64,,9,10,W 3
20,Wed Feb 6 2013,REG,,Miami (OH),MAC,W,65,64,,10,10,W 4
21,Sat Feb 9 2013,REG,,Eastern Michigan,MAC,W,60,52,,11,10,W 5
22,Wed Feb 13 2013,REG,@,Buffalo,MAC,L,60,75,,11,11,L 1
23,Sat Feb 16 2013,REG,@,Central Michigan,MAC,W,73,64,,12,11,W 1
24,Sat Feb 23 2013,REG,,McNeese State,Southland,W,79,66,,13,11,W 2
25,Wed Feb 27 2013,REG,,Western Michigan,MAC,L,62,65,,13,12,L 1
26,Sat Mar 2 2013,REG,,Ball State,MAC,L,72,86,,13,13,L 2
27,Tue Mar 5 2013,REG,,Northern Illinois,MAC,W,70,46,,14,13,W 1
28,Sat Mar 9 2013,REG,@,Eastern Michigan,MAC,W,78,67,,15,13,W 2
