G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,College of Charleston,Southern,L,58,75,,0,1,L 1
2,Fri Nov 16 2012,REG,N,Radford,Big South,W,75,67,,1,1,W 1
3,Sat Nov 17 2012,REG,@,Eastern Kentucky,OVC,L,69,71,OT,1,2,L 1
4,Sun Nov 18 2012,REG,N,Kennesaw State,A-Sun,W,69,63,,2,2,W 1
5,Mon Nov 19 2012,REG,N,Cincinnati Christian,,W,79,40,,3,2,W 2
6,Mon Nov 26 2012,REG,@,Loyola (MD),MAAC,L,53,65,,3,3,L 1
7,Sat Dec 1 2012,REG,@,Maryland-Baltimore County,AEC,L,62,66,,3,4,L 2
8,Wed Dec 5 2012,REG,@,Vermont,AEC,W,68,64,,4,4,W 1
9,Sat Dec 8 2012,REG,@,Georgetown,Big East,L,40,46,,4,5,L 1
10,Wed Dec 12 2012,REG,@,Temple,A-10,L,61,72,,4,6,L 2
11,Sat Dec 15 2012,REG,,North Dakota State,Summit,L,48,65,,4,7,L 3
12,Wed Dec 19 2012,REG,,Coppin State,MEAC,L,61,64,,4,8,L 4
13,Sat Dec 29 2012,REG,@,Oregon State,Pac-12,W,67,66,OT,5,8,W 1
14,Wed Jan 2 2013,REG,@,North Carolina-Wilmington,CAA,W,79,74,,6,8,W 2
15,Sat Jan 5 2013,REG,@,Drexel,CAA,W,69,66,,7,8,W 3
16,Wed Jan 9 2013,REG,,William & Mary,CAA,W,99,86,2OT,8,8,W 4
17,Sat Jan 12 2013,REG,,Northeastern,CAA,L,59,70,,8,9,L 1
18,Wed Jan 16 2013,REG,@,Delaware,CAA,W,69,66,,9,9,W 1
19,Sat Jan 19 2013,REG,,James Madison,CAA,W,73,47,,10,9,W 2
20,Mon Jan 21 2013,REG,,Georgia State,CAA,L,69,71,,10,10,L 1
21,Wed Jan 23 2013,REG,,George Mason,CAA,L,67,77,,10,11,L 2
22,Sat Jan 26 2013,REG,@,William & Mary,CAA,L,56,63,,10,12,L 3
23,Wed Jan 30 2013,REG,@,Old Dominion,CAA,W,68,66,,11,12,W 1
24,Mon Feb 4 2013,REG,,North Carolina-Wilmington,CAA,W,81,68,,12,12,W 2
25,Wed Feb 6 2013,REG,,Delaware,CAA,W,85,65,,13,12,W 3
26,Sat Feb 9 2013,REG,@,Georgia State,CAA,W,90,82,OT,14,12,W 4
27,Tue Feb 12 2013,REG,@,James Madison,CAA,L,70,75,,14,13,L 1
28,Sat Feb 16 2013,REG,@,Hofstra,CAA,W,57,50,,15,13,W 1
29,Sat Feb 23 2013,REG,,Drexel,CAA,W,72,71,,16,13,W 2
30,Tue Feb 26 2013,REG,@,George Mason,CAA,W,85,81,OT,17,13,W 3
31,Sat Mar 2 2013,REG,,Hofstra,CAA,W,67,64,,18,13,W 4
