G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Mississippi State,SEC,W,56,53,,1,0,W 1
2,Mon Nov 12 2012,REG,@,Texas A&M,SEC,L,65,83,,1,1,L 1
3,Sun Nov 18 2012,REG,N,Louisiana Tech,WAC,L,46,70,,1,2,L 2
4,Mon Nov 19 2012,REG,@,Chattanooga,Southern,W,68,61,,2,2,W 1
5,Tue Nov 20 2012,REG,N,Southeast Missouri State,OVC,W,59,56,,3,2,W 2
6,Sun Nov 25 2012,REG,,Alabama State,SWAC,W,66,62,,4,2,W 3
7,Tue Nov 27 2012,REG,,Alabama-Birmingham,CUSA,L,55,75,,4,3,L 1
8,Thu Nov 29 2012,REG,@,Arkansas-Little Rock,Sun Belt,L,56,58,,4,4,L 2
9,Sat Dec 1 2012,REG,,Western Kentucky,Sun Belt,L,71,75,,4,5,L 3
10,Sat Dec 8 2012,REG,,Utah Valley,GWC,L,82,86,2OT,4,6,L 4
11,Thu Dec 13 2012,REG,@,Alabama State,SWAC,L,68,74,,4,7,L 5
12,Sat Dec 15 2012,REG,,Georgia State,CAA,W,57,56,,5,7,W 1
13,Wed Dec 19 2012,REG,@,Utah Valley,GWC,L,64,67,OT,5,8,L 1
14,Thu Dec 27 2012,REG,,Florida Atlantic,Sun Belt,L,54,61,,5,9,L 2
15,Thu Jan 3 2013,REG,@,North Texas,Sun Belt,L,59,76,,5,10,L 3
16,Sat Jan 5 2013,REG,,Arkansas-Little Rock,Sun Belt,W,67,64,,6,10,W 1
17,Thu Jan 10 2013,REG,,Louisiana-Monroe,Sun Belt,W,64,55,,7,10,W 2
18,Thu Jan 17 2013,REG,@,Florida Atlantic,Sun Belt,L,59,80,,7,11,L 1
19,Sat Jan 19 2013,REG,@,Florida International,Sun Belt,L,55,61,,7,12,L 2
20,Thu Jan 24 2013,REG,,Arkansas State,Sun Belt,W,74,67,OT,8,12,W 1
21,Sat Jan 26 2013,REG,@,Louisiana-Monroe,Sun Belt,W,71,64,OT,9,12,W 2
22,Thu Jan 31 2013,REG,@,Western Kentucky,Sun Belt,L,61,65,,9,13,L 1
23,Sat Feb 2 2013,REG,,Louisiana-Lafayette,Sun Belt,W,71,52,,10,13,W 1
24,Thu Feb 7 2013,REG,@,South Alabama,Sun Belt,L,62,65,,10,14,L 1
25,Sat Feb 9 2013,REG,@,Middle Tennessee,Sun Belt,L,41,93,,10,15,L 2
26,Thu Feb 14 2013,REG,,Florida International,Sun Belt,W,69,61,,11,15,W 1
27,Sat Feb 16 2013,REG,,North Texas,Sun Belt,L,61,63,,11,16,L 1
28,Thu Feb 21 2013,REG,@,Louisiana-Lafayette,Sun Belt,L,66,76,,11,17,L 2
29,Sat Feb 23 2013,REG,@,Arkansas State,Sun Belt,L,50,58,,11,18,L 3
30,Thu Feb 28 2013,REG,,Middle Tennessee,Sun Belt,L,56,66,,11,19,L 4
31,Sat Mar 2 2013,REG,,South Alabama,Sun Belt,L,49,53,,11,20,L 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Florida Atlantic,Sun Belt,W,81,79,OT,12,20,W 1
33,Sat Mar 9 2013,CTOURN,N,Arkansas State,Sun Belt,L,63,68,OT,12,21,L 1
