G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Louisiana State-Shreveport,,W,110,54,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Northern Kentucky,A-Sun,W,76,56,,2,0,W 2
3,Fri Nov 16 2012,REG,N,San Diego,WCC,W,63,51,,3,0,W 3
4,Sat Nov 17 2012,REG,N,Cal State Northridge,Big West,L,76,92,,3,1,L 1
5,Wed Nov 21 2012,REG,,Jackson State,SWAC,W,86,66,,4,1,W 1
6,Sat Nov 24 2012,REG,,Stephen F. Austin,Southland,L,41,57,,4,2,L 1
7,Wed Nov 28 2012,REG,@,Wichita State,MVC,L,60,86,,4,3,L 2
8,Wed Dec 5 2012,REG,,Missouri State,MVC,W,61,42,,5,3,W 1
9,Sat Dec 8 2012,REG,,Texas Christian,Big 12,W,50,49,,6,3,W 2
10,Sat Dec 15 2012,REG,@,Arkansas-Little Rock,Sun Belt,L,65,72,,6,4,L 1
11,Wed Dec 19 2012,REG,@,Creighton,MVC,L,54,71,,6,5,L 2
12,Sat Dec 22 2012,REG,@,Oral Roberts,Southland,W,72,68,,7,5,W 1
13,Sat Dec 29 2012,REG,N,Florida State,ACC,L,63,82,,7,6,L 1
14,Wed Jan 2 2013,REG,,Buffalo,MAC,W,63,57,,8,6,W 1
15,Sun Jan 6 2013,REG,@,Southern Methodist,CUSA,W,48,47,,9,6,W 2
16,Wed Jan 9 2013,REG,@,Marshall,CUSA,L,61,79,,9,7,L 1
17,Sat Jan 12 2013,REG,,Rice,CUSA,W,64,51,,10,7,W 1
18,Wed Jan 16 2013,REG,,Texas-El Paso,CUSA,W,45,42,,11,7,W 2
19,Sat Jan 19 2013,REG,@,Tulane,CUSA,L,72,75,,11,8,L 1
20,Wed Jan 23 2013,REG,@,Houston,CUSA,W,87,72,,12,8,W 1
21,Sat Jan 26 2013,REG,,Southern Mississippi,CUSA,L,59,62,,12,9,L 1
22,Sat Feb 2 2013,REG,@,Memphis,CUSA,L,64,94,,12,10,L 2
23,Wed Feb 6 2013,REG,,Alabama-Birmingham,CUSA,L,63,70,,12,11,L 3
24,Sat Feb 9 2013,REG,@,Texas-El Paso,CUSA,W,74,70,,13,11,W 1
25,Sat Feb 16 2013,REG,,Houston,CUSA,W,101,92,3OT,14,11,W 2
26,Wed Feb 20 2013,REG,,East Carolina,CUSA,L,63,72,,14,12,L 1
27,Sat Feb 23 2013,REG,@,Central Florida,CUSA,L,75,83,,14,13,L 2
28,Sat Mar 2 2013,REG,,Tulane,CUSA,W,78,66,,15,13,W 1
29,Wed Mar 6 2013,REG,,Southern Methodist,CUSA,L,65,71,,15,14,L 1
30,Sat Mar 9 2013,REG,@,Rice,CUSA,W,77,71,,16,14,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,East Carolina,CUSA,W,79,72,,17,14,W 2
32,Fri Mar 15 2013,CTOURN,N,Memphis,CUSA,L,74,85,,17,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CBI,@,Wright State,Horizon,L,52,72,,17,16,L 2
