G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Indiana State,MVC,W,86,59,,1,0,W 1
2,Tue Nov 13 2012,REG,,California-Irvine,Big West,W,80,79,OT,2,0,W 2
3,Thu Nov 15 2012,REG,,James Madison,CAA,W,100,70,,3,0,W 3
4,Mon Nov 19 2012,REG,N,Georgetown,Big East,L,70,78,,3,1,L 1
5,Tue Nov 20 2012,REG,N,Georgia,SEC,W,60,56,,4,1,W 1
6,Sun Nov 25 2012,REG,,Cal Poly,Big West,L,68,70,,4,2,L 1
7,Wed Nov 28 2012,REG,,Cal State Northridge,Big West,W,82,56,,5,2,W 1
8,Sat Dec 1 2012,REG,N,San Diego State,MWC,L,69,78,,5,3,L 1
9,Sat Dec 8 2012,REG,N,Texas,Big 12,W,65,63,,6,3,W 1
10,Sat Dec 15 2012,REG,,Prairie View,SWAC,W,95,53,,7,3,W 2
11,Tue Dec 18 2012,REG,,Long Beach State,Big West,W,89,70,,8,3,W 3
12,Sat Dec 22 2012,REG,,Fresno State,MWC,W,91,78,,9,3,W 4
13,Fri Dec 28 2012,REG,,Missouri,SEC,W,97,94,OT,10,3,W 5
14,Thu Jan 3 2013,REG,,California,Pac-12,W,79,65,,11,3,W 6
15,Sat Jan 5 2013,REG,,Stanford,Pac-12,W,68,60,,12,3,W 7
16,Thu Jan 10 2013,REG,@,Utah,Pac-12,W,57,53,,13,3,W 8
17,Sat Jan 12 2013,REG,@,Colorado,Pac-12,W,78,75,,14,3,W 9
18,Thu Jan 17 2013,REG,,Oregon State,Pac-12,W,74,64,,15,3,W 10
19,Sat Jan 19 2013,REG,,Oregon,Pac-12,L,67,76,,15,4,L 1
20,Thu Jan 24 2013,REG,@,Arizona,Pac-12,W,84,73,,16,4,W 1
21,Sat Jan 26 2013,REG,@,Arizona State,Pac-12,L,60,78,,16,5,L 1
22,Wed Jan 30 2013,REG,,Southern California,Pac-12,L,71,75,OT,16,6,L 2
23,Thu Feb 7 2013,REG,,Washington,Pac-12,W,59,57,,17,6,W 1
24,Sat Feb 9 2013,REG,,Washington State,Pac-12,W,76,62,,18,6,W 2
25,Thu Feb 14 2013,REG,@,California,Pac-12,L,63,76,,18,7,L 1
26,Sat Feb 16 2013,REG,@,Stanford,Pac-12,W,88,80,,19,7,W 1
27,Sun Feb 24 2013,REG,@,Southern California,Pac-12,W,75,59,,20,7,W 2
28,Wed Feb 27 2013,REG,,Arizona State,Pac-12,W,79,74,OT,21,7,W 3
29,Sat Mar 2 2013,REG,,Arizona,Pac-12,W,74,69,,22,7,W 4
30,Wed Mar 6 2013,REG,@,Washington State,Pac-12,L,61,73,,22,8,L 1
31,Sat Mar 9 2013,REG,@,Washington,Pac-12,W,61,54,,23,8,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Arizona State,Pac-12,W,80,75,,24,8,W 2
33,Fri Mar 15 2013,CTOURN,N,Arizona,Pac-12,W,66,64,,25,8,W 3
34,Sat Mar 16 2013,CTOURN,N,Oregon,Pac-12,L,69,78,,25,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Minnesota,Big Ten,L,63,83,,25,10,L 2
