G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Willamette,,W,104,47,,1,0,W 1
2,Fri Nov 16 2012,REG,,Sacramento State,Big Sky,L,71,74,,1,1,L 1
3,Wed Nov 21 2012,REG,,Idaho State,Big Sky,W,57,46,,2,1,W 1
4,Fri Nov 23 2012,REG,,Central Michigan,MAC,W,67,51,,3,1,W 2
5,Sat Nov 24 2012,REG,,Wright State,Horizon,W,66,54,,4,1,W 3
6,Wed Nov 28 2012,REG,@,Southern Methodist,CUSA,L,55,62,,4,2,L 1
7,Fri Nov 30 2012,REG,@,Texas State,WAC,W,74,69,,5,2,W 1
8,Wed Dec 5 2012,REG,,Boise State,MWC,W,76,55,,6,2,W 2
9,Sat Dec 8 2012,REG,@,Brigham Young,WCC,L,58,61,,6,3,L 1
10,Tue Dec 18 2012,REG,,Southern Methodist,CUSA,W,62,53,,7,3,W 1
11,Fri Dec 21 2012,REG,,Cal State Northridge,Big West,L,71,76,,7,4,L 1
12,Fri Dec 28 2012,REG,,College of Idaho,,W,72,38,,8,4,W 1
13,Wed Jan 2 2013,REG,@,Arizona State,Pac-12,L,54,55,OT,8,5,L 1
14,Sat Jan 5 2013,REG,@,Arizona,Pac-12,L,57,60,,8,6,L 2
15,Thu Jan 10 2013,REG,,UCLA,Pac-12,L,53,57,,8,7,L 3
16,Sat Jan 12 2013,REG,,Southern California,Pac-12,L,59,76,,8,8,L 4
17,Wed Jan 16 2013,REG,@,Washington State,Pac-12,L,65,75,,8,9,L 5
18,Sat Jan 19 2013,REG,@,Washington,Pac-12,W,74,65,,9,9,W 1
19,Thu Jan 24 2013,REG,,California,Pac-12,L,57,62,,9,10,L 1
20,Sun Jan 27 2013,REG,,Stanford,Pac-12,L,56,87,,9,11,L 2
21,Sat Feb 2 2013,REG,,Colorado,Pac-12,W,58,55,,10,11,W 1
22,Wed Feb 6 2013,REG,@,Oregon State,Pac-12,L,64,82,,10,12,L 1
23,Sat Feb 9 2013,REG,@,Oregon,Pac-12,L,64,73,,10,13,L 2
24,Wed Feb 13 2013,REG,,Arizona State,Pac-12,W,60,55,,11,13,W 1
25,Sun Feb 17 2013,REG,,Arizona,Pac-12,L,64,68,,11,14,L 1
26,Thu Feb 21 2013,REG,@,Colorado,Pac-12,L,50,60,,11,15,L 2
27,Thu Feb 28 2013,REG,@,California,Pac-12,L,46,64,,11,16,L 3
28,Sun Mar 3 2013,REG,@,Stanford,Pac-12,L,66,84,,11,17,L 4
29,Thu Mar 7 2013,REG,,Oregon State,Pac-12,W,72,61,,12,17,W 1
30,Sat Mar 9 2013,REG,,Oregon,Pac-12,W,72,62,,13,17,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,Southern California,Pac-12,W,69,66,,14,17,W 3
32,Thu Mar 14 2013,CTOURN,N,California,Pac-12,W,79,69,OT,15,17,W 4
33,Fri Mar 15 2013,CTOURN,N,Oregon,Pac-12,L,45,64,,15,18,L 1
