G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Georgia Southern,Southern,W,85,54,,1,0,W 1
2,Tue Nov 13 2012,REG,,Northern Illinois,MAC,W,69,46,,2,0,W 2
3,Thu Nov 15 2012,REG,@,Nebraska,Big Ten,L,48,50,,2,1,L 1
4,Sun Nov 18 2012,REG,@,Kent State,MAC,W,88,83,OT,3,1,W 1
5,Fri Nov 23 2012,REG,,Chicago State,GWC,W,67,46,,4,1,W 2
6,Sat Nov 24 2012,REG,N,Bethune-Cookman,MEAC,W,77,64,,5,1,W 3
7,Sun Dec 2 2012,REG,@,Saint Louis,A-10,L,49,62,,5,2,L 1
8,Wed Dec 5 2012,REG,,IPFW,Summit,W,63,52,,6,2,W 1
9,Sat Dec 8 2012,REG,@,New Mexico,MWC,L,52,65,,6,3,L 1
10,Sat Dec 15 2012,REG,@,Missouri State,MVC,W,62,54,,7,3,W 1
11,Mon Dec 17 2012,REG,@,Oakland,Summit,L,68,70,,7,4,L 1
12,Thu Dec 20 2012,REG,,IUPUI,Summit,W,89,69,,8,4,W 1
13,Sat Dec 22 2012,REG,,Purdue Calumet,,W,79,51,,9,4,W 2
14,Sat Dec 29 2012,REG,@,Murray State,OVC,W,66,64,,10,4,W 3
15,Wed Jan 2 2013,REG,,Loyola (IL),Horizon,L,54,63,,10,5,L 1
16,Fri Jan 4 2013,REG,,Cleveland State,Horizon,W,74,50,,11,5,W 1
17,Wed Jan 9 2013,REG,@,Illinois-Chicago,Horizon,W,75,70,,12,5,W 2
18,Sat Jan 12 2013,REG,@,Milwaukee,Horizon,W,76,52,,13,5,W 3
19,Thu Jan 17 2013,REG,@,Detroit Mercy,Horizon,W,89,88,,14,5,W 4
20,Sat Jan 19 2013,REG,,Wright State,Horizon,W,69,63,,15,5,W 5
21,Wed Jan 23 2013,REG,,Green Bay,Horizon,W,73,61,,16,5,W 6
22,Wed Jan 30 2013,REG,@,Youngstown State,Horizon,L,68,80,,16,6,L 1
23,Fri Feb 1 2013,REG,,Milwaukee,Horizon,W,71,40,,17,6,W 1
24,Tue Feb 5 2013,REG,,Illinois-Chicago,Horizon,W,86,61,,18,6,W 2
25,Sat Feb 9 2013,REG,@,Cleveland State,Horizon,W,80,72,,19,6,W 3
26,Tue Feb 12 2013,REG,@,Wright State,Horizon,W,68,61,,20,6,W 4
27,Sat Feb 16 2013,REG,,Detroit Mercy,Horizon,L,74,84,,20,7,L 1
28,Tue Feb 19 2013,REG,@,Loyola (IL),Horizon,W,85,76,,21,7,W 1
29,Sat Feb 23 2013,REG,,Eastern Kentucky,OVC,W,82,60,,22,7,W 2
30,Tue Feb 26 2013,REG,,Youngstown State,Horizon,W,73,64,,23,7,W 3
31,Sat Mar 2 2013,REG,@,Green Bay,Horizon,W,75,56,,24,7,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,,Green Bay,Horizon,W,70,69,,25,7,W 5
33,Tue Mar 12 2013,CTOURN,,Wright State,Horizon,W,62,54,,26,7,W 6
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Thu Mar 21 2013,NCAA,N,Michigan State,Big Ten,L,54,65,,26,8,L 1
