G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Nicholls State,Southland,W,80,65,,1,0,W 1
2,Fri Nov 16 2012,REG,@,Oregon,Pac-12,L,48,74,,1,1,L 1
3,Thu Nov 22 2012,REG,N,Davidson,Southern,L,62,75,,1,2,L 2
4,Fri Nov 23 2012,REG,N,Marist,MAAC,L,33,50,,1,3,L 3
5,Sun Nov 25 2012,REG,N,Texas-El Paso,CUSA,W,73,49,,2,3,W 1
6,Sat Dec 1 2012,REG,,Villanova,Big East,L,52,62,,2,4,L 1
7,Thu Dec 6 2012,REG,@,Xavier,A-10,W,66,64,OT,3,4,W 1
8,Sat Dec 15 2012,REG,,Alabama A&M,SWAC,W,71,46,,4,4,W 2
9,Mon Dec 17 2012,REG,,Cornell,Ivy,W,66,55,,5,4,W 3
10,Fri Dec 21 2012,REG,N,Middle Tennessee,Sun Belt,L,52,56,,5,5,L 1
11,Sat Dec 29 2012,REG,,Butler,A-10,L,49,68,,5,6,L 2
12,Wed Jan 2 2013,REG,,William & Mary,CAA,W,64,50,,6,6,W 1
13,Thu Jan 10 2013,REG,,Kentucky,SEC,L,58,60,,6,7,L 1
14,Sat Jan 12 2013,REG,@,Arkansas,SEC,L,33,56,,6,8,L 2
15,Tue Jan 15 2013,REG,,Mississippi,SEC,L,79,89,OT,6,9,L 3
16,Sat Jan 19 2013,REG,@,South Carolina,SEC,W,58,51,,7,9,W 1
17,Wed Jan 23 2013,REG,,Auburn,SEC,W,73,61,,8,9,W 2
18,Sat Jan 26 2013,REG,@,Missouri,SEC,L,59,81,,8,10,L 1
19,Tue Jan 29 2013,REG,@,Tennessee,SEC,L,57,58,,8,11,L 2
20,Sat Feb 2 2013,REG,,Alabama,SEC,L,54,58,,8,12,L 3
21,Wed Feb 6 2013,REG,@,Louisiana State,SEC,L,56,57,,8,13,L 4
22,Sat Feb 9 2013,REG,,Arkansas,SEC,W,67,49,,9,13,W 1
23,Wed Feb 13 2013,REG,,Tennessee,SEC,L,46,58,,9,14,L 1
24,Sat Feb 16 2013,REG,,Texas A&M,SEC,W,63,56,,10,14,W 1
25,Wed Feb 20 2013,REG,@,Kentucky,SEC,L,70,74,,10,15,L 1
26,Sat Feb 23 2013,REG,@,Mississippi State,SEC,W,72,31,,11,15,W 1
27,Wed Feb 27 2013,REG,,Georgia,SEC,W,63,62,,12,15,W 2
28,Sat Mar 2 2013,REG,@,Auburn,SEC,W,62,55,,13,15,W 3
29,Wed Mar 6 2013,REG,@,Florida,SEC,L,40,66,,13,16,L 1
30,Sat Mar 9 2013,REG,,South Carolina,SEC,W,74,64,,14,16,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Arkansas,SEC,W,75,72,,15,16,W 2
32,Fri Mar 15 2013,CTOURN,N,Kentucky,SEC,W,64,48,,16,16,W 3
33,Sat Mar 16 2013,CTOURN,N,Mississippi,SEC,L,52,64,,16,17,L 1
