G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Siena,MAAC,W,54,53,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Connecticut,Big East,L,49,67,,1,1,L 1
3,Sat Nov 17 2012,REG,@,Northeastern,CAA,W,66,55,,2,1,W 1
4,Wed Nov 21 2012,REG,,Yale,Ivy,W,65,52,,3,1,W 2
5,Tue Nov 27 2012,REG,@,Harvard,Ivy,W,85,78,,4,1,W 3
6,Sat Dec 1 2012,REG,@,Rhode Island,A-10,L,66,76,,4,2,L 1
7,Wed Dec 5 2012,REG,,Towson,CAA,L,64,68,,4,3,L 2
8,Sat Dec 8 2012,REG,@,Quinnipiac,NEC,W,53,46,,5,3,W 1
9,Wed Dec 12 2012,REG,,Dartmouth,Ivy,W,52,50,,6,3,W 2
10,Sun Dec 16 2012,REG,@,Niagara,MAAC,L,58,68,,6,4,L 1
11,Sat Dec 22 2012,REG,,Fairleigh Dickinson,NEC,W,76,62,,7,4,W 1
12,Sat Dec 29 2012,REG,,College of Charleston,Southern,L,50,62,,7,5,L 1
13,Wed Jan 2 2013,REG,@,New Hampshire,AEC,W,64,51,,8,5,W 1
14,Sat Jan 5 2013,REG,,Albany (NY),AEC,W,70,45,,9,5,W 2
15,Tue Jan 8 2013,REG,@,Boston University,AEC,L,53,63,,9,6,L 1
16,Sat Jan 12 2013,REG,,Maryland-Baltimore County,AEC,W,68,53,,10,6,W 1
17,Wed Jan 16 2013,REG,,Binghamton,AEC,W,61,37,,11,6,W 2
18,Fri Jan 18 2013,REG,,Stony Brook,AEC,W,81,73,,12,6,W 3
19,Tue Jan 22 2013,REG,@,Maine,AEC,L,68,71,,12,7,L 1
20,Sat Jan 26 2013,REG,@,Albany (NY),AEC,W,50,43,,13,7,W 1
21,Wed Jan 30 2013,REG,@,Hartford,AEC,W,49,43,,14,7,W 2
22,Wed Feb 6 2013,REG,,New Hampshire,AEC,W,63,48,,15,7,W 3
23,Sat Feb 9 2013,REG,@,Maryland-Baltimore County,AEC,W,67,55,,16,7,W 4
24,Tue Feb 12 2013,REG,,Boston University,AEC,L,59,64,,16,8,L 1
25,Fri Feb 15 2013,REG,@,Stony Brook,AEC,L,48,65,,16,9,L 2
26,Wed Feb 20 2013,REG,,Maine,AEC,W,73,61,,17,9,W 1
27,Sat Feb 23 2013,REG,,Canisius,MAAC,W,87,79,,18,9,W 2
28,Thu Feb 28 2013,REG,@,Binghamton,AEC,W,78,61,,19,9,W 3
29,Sun Mar 3 2013,REG,,Hartford,AEC,L,58,61,,19,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,N,New Hampshire,AEC,W,61,42,,20,10,W 1
31,Sun Mar 10 2013,CTOURN,N,Maryland-Baltimore County,AEC,W,85,72,,21,10,W 2
32,Sat Mar 16 2013,CTOURN,,Albany (NY),AEC,L,49,53,,21,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,CBI,@,Santa Clara,WCC,L,67,77,,21,12,L 2
