G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,District of Columbia,,W,78,58,,1,0,W 1
2,Sun Nov 11 2012,REG,,Marshall,CUSA,W,80,68,,2,0,W 2
3,Thu Nov 15 2012,REG,N,Purdue,Big Ten,W,89,81,OT,3,0,W 3
4,Fri Nov 16 2012,REG,N,Alabama,SEC,L,55,77,,3,1,L 1
5,Tue Nov 20 2012,REG,,Columbia,Ivy,L,57,75,,3,2,L 2
6,Sun Nov 25 2012,REG,@,La Salle,A-10,L,74,77,OT,3,3,L 3
7,Sat Dec 1 2012,REG,@,Vanderbilt,SEC,W,62,52,,4,3,W 1
8,Wed Dec 5 2012,REG,,Temple,A-10,L,61,76,,4,4,L 1
9,Sat Dec 8 2012,REG,@,Pennsylvania,Ivy,W,68,55,,5,4,W 1
10,Tue Dec 11 2012,REG,,Saint Joseph's,A-10,W,65,61,,6,4,W 2
11,Sun Dec 16 2012,REG,,Delaware,CAA,W,75,65,,7,4,W 3
12,Sat Dec 22 2012,REG,@,Monmouth,NEC,W,83,56,,8,4,W 4
13,Fri Dec 28 2012,REG,,NJIT,GWC,W,70,60,,9,4,W 5
14,Wed Jan 2 2013,REG,,St. John's (NY),Big East,W,98,86,OT,10,4,W 6
15,Wed Jan 9 2013,REG,@,South Florida,Big East,W,61,53,,11,4,W 7
16,Sat Jan 12 2013,REG,@,Syracuse,Big East,L,61,72,,11,5,L 1
17,Wed Jan 16 2013,REG,,Pittsburgh,Big East,L,43,58,,11,6,L 2
18,Sat Jan 19 2013,REG,@,Providence,Big East,L,66,69,,11,7,L 3
19,Tue Jan 22 2013,REG,,Louisville,Big East,W,73,64,,12,7,W 1
20,Sat Jan 26 2013,REG,,Syracuse,Big East,W,75,71,OT,13,7,W 2
21,Wed Jan 30 2013,REG,@,Notre Dame,Big East,L,60,65,,13,8,L 1
22,Sun Feb 3 2013,REG,,Providence,Big East,L,52,55,,13,9,L 2
23,Tue Feb 5 2013,REG,@,DePaul,Big East,W,94,71,,14,9,W 1
24,Sat Feb 9 2013,REG,,South Florida,Big East,W,68,40,,15,9,W 2
25,Tue Feb 12 2013,REG,@,Cincinnati,Big East,L,50,68,,15,10,L 1
26,Sat Feb 16 2013,REG,@,Connecticut,Big East,W,70,61,,16,10,W 1
27,Mon Feb 18 2013,REG,,Rutgers,Big East,W,71,63,,17,10,W 2
28,Sat Feb 23 2013,REG,,Marquette,Big East,W,60,56,,18,10,W 3
29,Mon Feb 25 2013,REG,@,Seton Hall,Big East,L,65,66,,18,11,L 1
30,Sun Mar 3 2013,REG,@,Pittsburgh,Big East,L,64,73,OT,18,12,L 2
31,Wed Mar 6 2013,REG,,Georgetown,Big East,W,67,57,,19,12,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,St. John's (NY),Big East,W,66,53,,20,12,W 2
33,Thu Mar 14 2013,CTOURN,N,Louisville,Big East,L,55,74,,20,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Fri Mar 22 2013,NCAA,N,North Carolina,ACC,L,71,78,,20,14,L 2
