G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Florida Gulf Coast,A-Sun,W,80,57,,1,0,W 1
2,Tue Nov 13 2012,REG,,Wichita State,MVC,L,51,53,,1,1,L 1
3,Sat Nov 17 2012,REG,@,Winthrop,Big South,W,90,54,,2,1,W 1
4,Thu Nov 22 2012,REG,N,Memphis,CUSA,W,78,65,,3,1,W 2
5,Fri Nov 23 2012,REG,N,Duke,ACC,L,58,67,,3,2,L 1
6,Sat Nov 24 2012,REG,N,Missouri,SEC,L,65,68,,3,3,L 2
7,Wed Nov 28 2012,REG,,Stetson,A-Sun,W,92,56,,4,3,W 1
8,Sat Dec 1 2012,REG,,Belmont,OVC,W,75,65,,5,3,W 2
9,Fri Dec 7 2012,REG,@,Old Dominion,CAA,W,83,70,,6,3,W 3
10,Sat Dec 15 2012,REG,,Alabama,SEC,W,73,54,,7,3,W 4
11,Tue Dec 18 2012,REG,,Western Kentucky,Sun Belt,W,76,44,,8,3,W 5
12,Fri Dec 21 2012,REG,,Longwood,Big South,W,93,56,,9,3,W 6
13,Sat Dec 29 2012,REG,,Fairleigh Dickinson,NEC,W,96,67,,10,3,W 7
14,Wed Jan 2 2013,REG,@,East Tennessee State,A-Sun,W,109,58,,11,3,W 8
15,Sat Jan 5 2013,REG,,Lehigh,Patriot,W,59,55,,12,3,W 9
16,Wed Jan 9 2013,REG,,Dayton,A-10,W,74,62,,13,3,W 10
17,Sat Jan 12 2013,REG,@,St. Bonaventure,A-10,W,72,65,,14,3,W 11
18,Thu Jan 17 2013,REG,,Saint Joseph's,A-10,W,92,86,OT,15,3,W 12
19,Sat Jan 19 2013,REG,@,Duquesne,A-10,W,90,63,,16,3,W 13
20,Thu Jan 24 2013,REG,@,Richmond,A-10,L,74,86,OT,16,4,L 1
21,Sat Jan 26 2013,REG,,La Salle,A-10,L,61,69,,16,5,L 2
22,Wed Jan 30 2013,REG,@,Rhode Island,A-10,W,70,64,,17,5,W 1
23,Sat Feb 2 2013,REG,,Fordham,A-10,W,81,65,,18,5,W 2
24,Sat Feb 9 2013,REG,@,Charlotte,A-10,W,68,61,,19,5,W 3
25,Thu Feb 14 2013,REG,,Massachusetts,A-10,W,86,68,,20,5,W 4
26,Sat Feb 16 2013,REG,,George Washington,A-10,W,84,57,,21,5,W 5
27,Tue Feb 19 2013,REG,@,Saint Louis,A-10,L,62,76,,21,6,L 1
28,Sat Feb 23 2013,REG,@,Xavier,A-10,W,75,71,,22,6,W 1
29,Sat Mar 2 2013,REG,,Butler,A-10,W,84,52,,23,6,W 2
30,Wed Mar 6 2013,REG,,Richmond,A-10,W,93,82,,24,6,W 3
31,Sun Mar 10 2013,REG,@,Temple,A-10,L,76,84,,24,7,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Saint Joseph's,A-10,W,82,79,,25,7,W 1
33,Sat Mar 16 2013,CTOURN,N,Massachusetts,A-10,W,71,62,,26,7,W 2
34,Sun Mar 17 2013,CTOURN,N,Saint Louis,A-10,L,56,62,,26,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,Akron,MAC,W,88,42,,27,8,W 1
36,Sat Mar 23 2013,NCAA,N,Michigan,Big Ten,L,53,78,,27,9,L 1
