G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Citadel,Southern,L,76,84,,0,1,L 1
2,Sun Nov 11 2012,REG,N,Army,Patriot,L,74,80,,0,2,L 2
3,Tue Nov 13 2012,REG,,Central Pennsylvania College,,W,116,81,,1,2,W 1
4,Thu Nov 15 2012,REG,@,Virginia Tech,ACC,L,80,95,,1,3,L 1
5,Wed Nov 21 2012,REG,@,Old Dominion,CAA,W,76,71,,2,3,W 1
6,Sat Nov 24 2012,REG,,Elon,Southern,W,90,81,,3,3,W 2
7,Wed Nov 28 2012,REG,@,West Virginia,Big 12,L,69,94,,3,4,L 1
8,Sat Dec 1 2012,REG,,Morgan State,MEAC,L,80,81,OT,3,5,L 2
9,Mon Dec 3 2012,REG,,Virginia-Lynchburg,,W,102,61,,4,5,W 1
10,Sat Dec 8 2012,REG,@,Wright State,Horizon,L,59,92,,4,6,L 1
11,Sat Dec 22 2012,REG,@,George Washington,A-10,L,67,76,,4,7,L 2
12,Wed Jan 2 2013,REG,,Shenandoah,,W,110,54,,5,7,W 1
13,Sat Jan 5 2013,REG,@,Presbyterian,Big South,W,86,77,,6,7,W 2
14,Wed Jan 9 2013,REG,,Liberty,Big South,W,82,69,,7,7,W 3
15,Sat Jan 12 2013,REG,,Winthrop,Big South,W,72,54,,8,7,W 4
16,Wed Jan 16 2013,REG,,Campbell,Big South,W,76,57,,9,7,W 5
17,Sat Jan 19 2013,REG,@,Coastal Carolina,Big South,L,49,72,,9,8,L 1
18,Wed Jan 23 2013,REG,@,High Point,Big South,L,69,96,,9,9,L 2
19,Sat Jan 26 2013,REG,,Gardner-Webb,Big South,L,49,63,,9,10,L 3
20,Wed Jan 30 2013,REG,@,Radford,Big South,W,70,69,,10,10,W 1
21,Wed Feb 6 2013,REG,@,Longwood,Big South,W,93,60,,11,10,W 2
22,Fri Feb 8 2013,REG,,North Carolina-Asheville,Big South,L,79,90,,11,11,L 1
23,Wed Feb 13 2013,REG,,Radford,Big South,L,79,82,,11,12,L 2
24,Sat Feb 16 2013,REG,@,Campbell,Big South,L,78,87,,11,13,L 3
25,Tue Feb 19 2013,REG,,High Point,Big South,L,67,78,,11,14,L 4
26,Thu Feb 21 2013,REG,@,Charleston Southern,Big South,L,69,92,,11,15,L 5
27,Sat Feb 23 2013,REG,@,Marist,MAAC,L,74,112,,11,16,L 6
28,Tue Feb 26 2013,REG,@,Liberty,Big South,W,83,66,,12,16,W 1
29,Sat Mar 2 2013,REG,,Longwood,Big South,W,94,80,,13,16,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 7 2013,CTOURN,N,Longwood,Big South,W,90,86,,14,16,W 3
31,Sat Mar 9 2013,CTOURN,N,Charleston Southern,Big South,L,65,71,,14,17,L 1
